symbol,b1_p,b1_v
300161,30.13,65
834682,7.06,38
002741,20.96,20
002284,10.4,2037
688561,87.92,65
600993,28.76,10
002332,13.2,159
300604,57.49,6
002132,6.11,3066
688408,176.5,290
301155,123.18,1
600062,13.37,439
600582,4.38,2011
000155,26.53,1740
300726,100.05,30
000951,16.88,15
300953,130.53,4
300465,12.16,1115
002755,12.72,50
600898,5.17,354
831039,8.8,5
300029,6.8,399
600211,52.36,42
600572,5.0,1958
603123,8.14,84
002564,4.74,469
603377,8.96,116
831856,9.48,10
603129,172.99,21
600962,10.61,422
002213,18.04,10
430489,15.59,10
002215,6.37,238
300434,10.86,117
300374,13.42,242
003020,45.86,29
300519,20.19,5
000731,10.38,2814
000681,23.9,1115
000539,6.14,646
603058,9.67,941
002192,130.15,119
600436,437.15,8
600048,15.62,1358
002408,10.5,2018
300108,4.32,1175
301050,243.8,7
600173,6.5,52
601718,2.98,5294
301091,32.95,71
300774,21.99,249
688676,32.65,22
600037,8.68,189
688499,293.0,555
300332,11.2,115
870436,20.55,10
603967,14.3,614
600242,2.73,1293
002991,76.3,107
002458,11.3,1108
601139,8.83,1016
600261,4.37,1337
000790,6.35,3717
600655,10.29,151
300898,33.1,116
300506,7.76,808
688186,44.61,10
603315,27.54,1
300274,145.8,55
002126,12.56,65
300083,14.27,1653
002121,5.84,3327
300175,4.86,23
600306,17.4,101
603555,2.78,4564
603131,27.25,22
871553,5.94,12
300298,29.91,34
600759,2.82,7994
603507,40.9,262
688256,95.1,13
603917,23.8,17
601058,14.78,156
605060,17.0,150
300639,29.51,63
831768,12.26,5
689009,70.06,3
300110,4.8,33
300052,32.66,1348
603876,37.61,1
600496,4.26,2086
603888,23.76,31
688518,49.27,120
002212,19.17,271
300343,17.02,751
688698,26.76,2
600280,2.9,1962
002497,28.66,152
301070,35.68,53
600290,2.9,593
002756,148.02,325
002398,7.3,403
300075,18.0,155
002597,51.34,4
600389,41.12,9
600209,5.86,119
601717,11.59,49
603843,4.66,775
000883,5.24,830
002853,17.33,46
600330,16.23,285
300827,90.55,1
603328,7.99,330
600831,6.18,463
832089,14.17,0
688116,149.01,3
002623,34.16,119
688519,50.2,5
300407,8.98,92
837092,28.02,11
600025,6.59,139
830946,17.6,61
831832,19.75,106
300548,33.04,32
830964,5.14,815
002466,106.99,113
300521,14.09,66
002566,9.03,261
002205,8.13,46
603363,12.7,609
605299,19.12,165
688568,78.86,3
000002,19.75,631
001979,13.34,546
603081,13.63,581
301068,30.62,51
836675,9.19,148
002191,15.13,1071
300630,55.03,3
688488,15.57,150
002042,4.56,2208
002026,18.41,1663
688266,58.63,7
688558,45.08,28
600558,3.69,975
300984,61.65,22
600816,4.61,609
301111,48.25,139
300530,35.49,63
603218,32.95,330
002141,6.48,6205
002824,45.35,6
000058,6.73,2243
833454,13.63,2
600640,15.24,97
603818,14.17,33
002590,10.57,464
830799,15.53,6
002918,28.62,188
300894,49.16,48
002129,41.74,299
601900,8.55,255
600573,10.1,353
300861,77.77,8
605259,33.34,81
300218,17.31,192
002505,3.82,3019
002460,142.84,73
300158,8.19,526
002868,11.03,9
002897,56.6,50
002737,16.46,2929
300553,38.8,38
002174,15.24,248
002147,4.79,120
835508,12.58,5
688272,47.21,1
600728,8.32,182
688101,20.1,154
601615,26.09,1267
605268,12.83,383
300132,11.28,396
430418,16.0,20
603100,21.16,136
601928,8.08,462
832225,9.41,14
002864,31.33,21
600713,4.9,2274
002555,27.01,56
002433,7.46,1770
000040,3.9,909
603628,13.37,188
300425,5.54,143
000017,3.56,699
300016,9.17,6872
300256,3.26,3162
300451,11.17,23
600734,3.02,12684
002424,7.59,1967
603879,7.94,173
601086,3.96,254
002223,37.77,2
605507,28.82,217
000919,7.64,587
002244,4.65,418
300348,15.66,121
871396,14.01,9
600545,3.0,2151
688221,18.59,128
430510,21.3,67
002066,11.07,758
301177,127.1,2
002107,7.4,5119
601860,3.34,5904
603663,27.7,8
300470,44.67,4
002326,51.21,363
300948,24.52,254
000007,6.08,155
605266,76.56,3
600483,16.28,157
002667,19.96,279
603698,18.35,117
000032,20.73,108
688260,16.66,17
603439,15.78,51
000816,4.1,6708
605336,34.1,1
300772,43.97,37
600905,7.5,3822
835305,18.47,58
688177,25.76,8
002538,10.29,668
688318,152.2,3
300910,79.82,2
688669,46.94,160
603688,63.11,9
002335,36.35,69
836892,17.12,13
688626,56.92,9
003042,25.88,10
600227,3.79,3633
300761,37.79,5
601020,13.56,130
300081,18.38,25
605388,18.18,151
300724,114.13,7
001216,16.71,461
300094,4.52,3390
000039,17.16,730
600771,43.05,265
002547,4.54,2760
839167,21.01,6
002488,8.78,831
603139,21.77,14
002181,4.55,411
300573,136.79,11
603600,12.34,87
002837,40.89,330
600664,3.54,3285
600739,19.51,367
600369,5.29,6461
430198,9.94,10
605305,96.27,11
600380,12.84,459
833509,20.51,32
002044,7.84,1104
300148,5.36,2526
002102,3.94,1099
603666,75.12,24
605555,40.8,164
688028,46.12,3
300304,6.91,1996
600526,6.18,784
600838,6.54,434
001219,30.6,111
002187,8.72,173
688767,69.9,23
600157,1.81,69917
002204,4.35,2558
600969,7.96,37
002581,21.35,63
300172,5.46,1909
300112,14.12,258
688269,124.75,1
301024,48.61,6
600959,3.29,870
688799,41.16,2
688779,23.43,172
601908,9.17,3446
300552,40.28,165
300651,27.87,62
300079,8.82,4123
300820,89.9,48
600319,5.55,17
002315,16.97,18
835640,21.9,1
000833,6.66,497
002841,81.38,6
601567,16.31,305
688369,71.1,8
002157,9.66,106
605133,28.7,1
300440,9.69,94
601599,3.35,1645
601800,8.57,944
600212,4.08,463
300842,79.97,5
600100,6.02,1659
603166,8.69,143
600644,7.87,769
300170,8.58,1569
002935,36.81,75
300164,5.98,1650
688099,130.15,45
600207,6.77,246
601155,29.13,576
600416,21.89,234
600955,45.63,21
000786,35.82,20
603606,51.16,25
002960,48.55,6
603300,13.44,330
688092,37.84,26
600343,13.79,449
600027,5.34,6561
601360,12.72,8609
300993,28.7,22
000803,22.98,143
603611,19.4,86
688315,41.28,28
603258,30.0,564
300887,67.7,4
002903,17.93,114
603920,22.3,94
603596,69.6,11
300266,3.89,3404
600982,4.68,2162
600089,21.17,2037
000078,3.52,4660
000592,3.15,7407
688737,58.5,4
002034,17.27,901
603099,10.95,57
000590,9.87,7
600829,6.71,68
600090,1.18,12673
688660,11.85,608
600626,3.98,2532
833427,11.11,50
603117,3.97,229
301015,30.29,1
601002,5.16,1761
600359,8.37,75
002540,7.68,17
002234,17.16,6
688622,59.95,241
600633,8.8,315
688212,37.77,14
600081,13.66,193
300768,41.23,32
600674,12.49,912
688025,77.0,5
002202,16.47,1348
002317,12.08,908
600783,12.91,676
688063,197.0,2
000931,7.67,979
688466,21.56,50
300859,22.6,28
003022,36.43,241
688121,38.44,14
605599,13.46,596
300315,4.85,5576
300919,151.5,17
002344,4.89,34
601088,22.52,90
603882,111.36,3
001217,19.31,117
300401,14.38,536
002319,13.13,3
300253,16.75,476
688235,144.51,23
600657,3.73,1334
600511,31.52,277
600586,9.25,136
688585,10.7,18
002380,14.59,561
600622,2.92,562
300268,18.54,18
300317,7.57,2530
300279,7.34,547
600195,13.07,345
000042,8.05,795
002299,24.16,31
300551,16.81,376
688128,29.56,110
603444,421.85,2
688022,64.9,4
002100,10.69,355
603232,16.1,881
688305,106.99,10
002045,14.99,620
603185,166.98,28
002400,5.12,5199
300752,34.75,31
000593,6.41,1498
688198,254.11,5
002797,7.31,3267
301046,50.7,113
600998,14.71,198
600256,6.53,4703
603063,40.3,28
688196,58.43,4
002052,2.18,1638
600595,4.4,739
688133,218.01,2
603225,14.85,873
002337,4.4,480
000738,30.27,176
002885,26.08,684
601069,12.28,358
600936,3.04,1077
002575,4.37,116
000892,4.5,1138
300239,7.05,304
600128,7.41,113
002585,27.08,78
300503,12.86,46
300444,6.65,1602
000611,3.09,760
600105,5.37,1019
003816,3.12,11084
002810,61.51,16
603685,12.52,80
300980,42.26,15
000656,4.47,4531
002439,28.53,35
688127,22.99,422
300468,20.19,244
002580,8.17,383
000989,10.86,13
603998,6.8,1747
688683,24.56,14
301167,36.49,112
000510,5.9,127
002487,38.74,38
600628,7.74,213
603885,17.75,2
600703,37.55,286
603112,13.19,103
601882,24.76,69
300918,10.22,60
300585,14.05,74
837242,12.87,18
300146,26.95,74
002714,53.35,13
000659,4.12,843
002393,21.6,28
603516,20.27,57
600097,11.51,141
000029,7.83,201
002198,7.87,370
603676,9.29,130
300776,255.9,3
601636,17.1,1186
600819,5.58,86
600537,4.72,50
601991,3.23,7009
600965,6.49,648
600221,1.86,32363
002688,6.12,298
300145,3.26,3782
600420,10.36,213
000591,11.2,15276
600800,4.72,237
600529,43.89,75
000012,9.93,424
000657,16.07,37
831305,28.33,8
002969,5.69,213
600216,17.08,124
002168,4.28,830
002434,14.73,40
600375,10.11,5
603708,16.64,35
603203,36.87,35
601098,9.57,140
002136,16.25,113
002437,2.9,4534
000875,9.09,727
300320,16.14,476
002271,52.67,2
000777,15.72,38
600169,2.87,3876
300055,13.02,289
000835,2.91,1215
000819,18.43,1261
002075,5.82,2884
688608,304.94,2
688200,511.71,3
300129,9.24,319
000637,4.83,478
688618,44.35,2
000829,18.44,333
839729,15.1,115
300917,32.69,44
000513,40.2,1227
002454,8.4,1860
300004,6.85,174
300237,2.94,7640
002206,8.87,479
300377,12.36,323
603538,35.5,157
000862,8.86,1476
000690,5.91,2110
600509,6.4,503
688679,12.81,72
300941,51.07,261
605068,36.15,3
002124,6.44,367
000826,4.45,209
600499,24.82,1718
600929,7.45,472
300027,3.96,2765
300930,32.43,15
603227,7.03,774
688656,63.0,41
300915,57.2,1
002475,49.2,43
301037,25.13,40
600675,3.0,1444
300523,22.09,20
831961,26.0,1
002501,2.01,1655
600023,4.04,312
002687,7.07,211
002472,27.57,170
300485,13.18,445
300872,33.35,269
300305,18.76,362
002668,5.52,665
688718,28.46,2
000011,11.66,232
300510,6.57,1384
301058,19.58,601
605177,27.63,52
603357,9.22,24
300012,26.86,230
300101,22.18,281
002789,11.99,79
688687,27.34,34
301053,29.9,5
000026,11.85,135
603016,23.2,36
603681,39.3,5
603778,4.65,1904
603585,19.17,79
000059,7.28,17
600596,24.95,23
002995,34.28,1
002314,3.12,3296
002463,16.58,265
603809,20.56,1
688379,22.0,231
000797,2.61,2030
000722,8.88,1058
000045,9.49,108
600775,9.95,14
002757,15.25,157
301041,29.77,126
002252,6.82,2034
832885,21.4,1
603707,42.0,286
603605,208.27,2
300073,86.86,66
000156,8.45,278
300036,30.04,44
002238,6.3,1907
002405,15.91,634
