symbol,b1_p,b1_v
603629,22.28,5
600491,6.88,55
002218,6.76,1561
002928,12.55,25
000509,2.9,1535
601200,12.58,706
002186,9.68,2
002208,7.76,1073
600754,58.6,81
300271,12.69,1663
603679,13.59,19
688032,702.0,3
301098,28.3,32
688739,76.13,90
601949,5.84,1042
002523,2.92,648
301059,20.59,277
300988,35.47,9
002589,3.93,478
002542,2.94,3268
000638,4.88,1015
600295,23.58,78
833819,5.92,663
300222,11.81,1038
002005,1.95,495
600177,6.89,1006
002926,9.85,380
300815,30.58,361
600973,5.92,922
002817,12.06,84
002696,5.91,519
688399,137.5,61
002571,6.93,211
603198,69.45,118
600868,2.97,3396
300718,16.88,68
300738,22.7,153
688625,56.13,55
002900,20.82,611
600743,1.98,7093
002614,12.88,845
600160,12.9,1206
603528,6.98,631
002459,92.7,1906
600791,3.97,775
300318,9.91,1914
688201,62.65,7
300614,48.0,281
002336,5.01,109
603976,34.11,68
600811,3.01,8646
300795,21.06,10
002778,18.11,266
300429,12.09,114
002401,10.11,10
002446,6.05,1998
603106,6.09,131
603926,16.28,5
000813,4.07,2811
600691,5.11,2333
601766,6.09,8660
600716,4.06,1572
600689,7.12,154
000958,5.1,577
603711,16.39,2
002956,18.43,41
002029,6.17,603
603773,20.52,12
000973,5.15,1412
300678,22.51,537
688538,3.08,11837
600649,4.11,349
002739,15.47,1165
000785,5.15,4628
603665,33.36,13
300249,7.2,511
600858,5.18,168
600755,7.21,963
688049,61.0,17
600392,19.61,1020
600966,10.34,972
301133,36.67,6
002155,10.35,1753
600651,3.09,3409
600533,3.1,1987
688007,34.35,280
600727,10.39,128
601801,5.18,155
301082,24.87,129
600665,3.1,678
002305,2.07,2107
600999,17.65,1036
002419,6.27,678
601888,219.4,54
002457,8.36,159
002133,3.12,2413
688308,70.65,2
002283,9.43,126
002179,100.56,25
688553,33.63,61
603690,48.15,409
300099,9.38,1070
301048,13.66,172
003040,26.32,558
300509,6.38,508
600246,10.65,10
000555,12.72,112
002916,121.8,5
600802,7.41,531
002413,7.43,3438
300520,19.12,71
002068,10.49,45
000926,4.25,201
300525,23.38,213
301027,17.07,12
600767,7.54,402
600500,8.55,803
002001,31.11,24
601368,5.38,1977
600820,5.37,296
300751,642.1,2
600636,10.74,147
688117,36.61,142
605196,10.72,293
300690,28.0,95
688768,111.44,4
301045,29.22,23
600096,19.61,548
000666,8.68,148
300067,4.35,1960
603987,21.73,14
000679,4.31,400
603398,19.78,260
000913,14.18,89
002169,12.06,101
600873,7.66,449
300457,30.71,397
688289,59.0,8
000975,8.78,916
300403,6.6,314
300497,16.33,2563
000417,4.4,690
601828,8.81,1149
600630,5.6,301
688613,55.26,321
300480,34.31,2
002183,6.61,2022
600563,232.4,66
603088,11.14,286
600732,23.35,829
603993,5.58,15682
300775,48.89,167
300376,10.04,1841
688076,41.32,40
600857,10.06,492
300370,2.23,3183
603613,107.5,64
002334,7.83,104
688636,141.0,14
000917,6.75,1000
300062,11.26,159
831445,19.27,26
688181,47.39,2
300225,14.58,167
603903,11.3,6
600975,6.78,2642
688151,36.28,279
600729,26.02,5
688167,218.88,5
600382,5.66,890
300139,12.48,314
300611,11.27,101
603379,22.78,40
603612,20.51,425
002083,4.6,1904
601966,36.55,278
002145,12.59,535
688155,113.51,5
688520,58.44,9
605178,34.42,33
688335,33.1,32
002207,5.69,884
300364,14.83,2116
002021,2.28,4124
301049,34.54,150
002726,10.45,726
002057,9.19,683
835185,147.8,6
002153,28.74,4
600459,25.44,11
603739,18.59,23
002732,26.83,71
002508,36.0,565
300962,19.83,132
603221,9.31,104
603878,7.0,828
002572,22.2,146
002237,11.69,327
600528,8.21,35
301023,77.64,1
000885,10.6,14
603995,57.86,52
603168,9.47,304
002489,3.56,3559
000735,7.12,870
002226,5.94,1472
300788,29.61,20
605001,8.36,3
301063,39.2,21
600708,2.38,2594
002293,14.33,158
002765,8.4,1817
002743,7.15,565
600650,9.57,403
300810,26.44,9
300577,22.85,9
600340,3.59,10880
002087,3.59,3358
600498,17.97,69
002453,18.14,304
688586,33.83,8
002115,6.01,1365
000584,6.05,1008
002331,8.43,159
600513,9.65,373
002109,6.04,824
002228,3.65,433
300369,15.85,169
002227,17.09,68
600565,2.43,9327
002887,9.78,41
300568,36.71,20
002917,11.03,142
603912,14.68,38
603619,14.98,273
600063,6.13,2586
300864,45.41,36
300512,15.96,46
600642,7.36,1247
600612,45.85,12
688336,18.54,15
600308,6.19,6019
600145,1.21,2692
300063,4.93,1233
603817,6.23,331
601588,2.48,3691
600789,7.49,1201
000898,3.74,6637
300781,23.78,347
300439,21.3,117
600520,8.77,55
603277,18.49,15
603076,36.32,45
600302,5.0,539
300091,6.3,1325
000767,3.76,2075
605077,41.8,12
600635,3.78,2574
603158,16.5,284
300392,7.59,66
002290,7.58,128
688187,82.0,330
000736,6.32,40
000581,21.53,760
002200,7.68,133
600647,12.84,2
600468,5.12,690
603727,20.52,192
603056,10.23,216
300979,89.04,1
688199,42.01,10
002077,7.67,57
300313,7.69,214
000601,5.12,2467
003004,27.12,11
003027,24.46,21
300526,21.86,156
603333,10.44,302
002681,3.87,1004
688789,261.79,2
831010,6.38,168
002395,10.36,47
600690,29.88,462
300867,27.56,522
600863,3.94,6155
603042,13.09,304
002399,17.09,5
002397,3.94,2312
605208,21.05,63
002577,11.91,1216
300528,6.55,585
603689,10.52,80
600598,14.56,1452
600603,3.97,1137
000551,10.55,335
300198,4.01,642
600961,9.29,95
000925,9.25,963
688513,46.4,40
688202,485.59,0
603815,7.97,1015
000548,4.0,430
603638,31.91,2
603518,12.07,403
600084,4.0,732
300823,22.83,28
688010,28.14,46
002697,5.32,744
603658,55.05,10
300017,6.69,8192
600748,4.04,1423
600060,13.44,1003
600584,31.02,518
603590,32.49,67
600077,2.7,1681
002062,4.06,285
688580,108.5,10
603200,22.95,84
300154,6.75,68
688596,25.85,128
600693,4.04,2760
300128,4.07,2339
600133,5.41,1744
601868,2.73,32553
300696,51.93,3
600797,6.8,1039
603118,9.55,481
002251,6.81,222
002593,4.09,449
002867,17.77,461
600201,16.35,126
300529,53.29,2
000818,37.1,28
600879,8.23,2100
000750,4.11,3956
601958,6.85,1524
000788,6.84,868
688557,27.44,10
002130,8.25,754
600104,20.63,2110
002745,15.13,37
600502,4.14,1777
600801,19.3,112
002818,12.51,52
300642,31.71,10
000877,15.31,458
300532,11.11,156
300138,16.69,37
603797,6.97,449
002611,5.57,1004
605020,30.69,97
600717,4.19,711
300765,15.33,27
003009,61.76,13
600761,12.51,361
688091,44.88,73
688123,67.79,19
300127,25.24,54
002388,5.63,136
603868,43.41,4
000768,36.5,508
300897,33.99,41
600012,7.07,14
300174,16.94,73
002016,5.65,97
600803,18.36,44
300251,12.84,5
601992,2.84,575
002307,4.26,1691
600190,2.85,2307
688819,42.8,11
600019,7.15,4751
002839,5.75,2594
688778,103.35,26
300906,31.88,135
688528,13.09,134
300891,16.01,184
600273,11.57,4066
300892,40.52,6
600137,14.64,5
000429,7.4,831
603165,19.25,1002
600968,2.92,15247
600744,5.85,1325
603609,10.24,160
600692,5.85,79
000966,7.33,816
000090,5.86,1065
300888,82.45,2
600805,4.4,2543
600702,227.29,1
605099,35.35,102
688111,264.33,3
000651,37.03,1782
002901,50.62,32
600704,5.92,1602
000899,5.93,322
600884,32.76,5
600208,2.98,506
002072,5.96,133
600848,14.87,82
600182,13.46,18
603156,28.4,74
002064,10.43,871
002430,30.0,83
688216,49.65,42
002619,1.49,23439
688160,34.5,0
600238,18.18,1489
600460,54.19,392
603535,30.29,129
000890,4.52,995
300461,19.64,3
000023,13.59,358
002137,6.04,881
300390,80.99,20
300968,13.75,211
600036,48.7,1345
002616,6.08,232
000608,3.05,409
603687,10.8,506
300190,6.09,4017
688097,46.66,124
603365,16.82,22
600119,7.69,126
603556,13.79,68
600032,15.46,735
603015,7.72,229
002869,15.54,326
688135,41.79,15
603171,35.18,6
300584,20.0,60
002279,4.71,243
000048,17.3,65
000936,6.27,719
600219,4.7,21370
002693,4.71,539
002316,4.72,1146
603896,57.99,10
000428,3.15,2575
002193,6.3,301
301047,345.69,4
002879,23.6,18
300111,3.15,2717
605162,12.76,372
600639,12.76,3
300662,62.2,171
600985,11.18,1795
603330,17.65,4
688004,35.16,81
603657,26.02,11
300875,62.67,31
301032,12.8,229
601369,13.01,77
601899,9.7,6539
002366,4.83,1435
000766,4.75,1829
601688,17.75,5244
300936,38.79,60
600970,11.43,41
688661,100.5,5
600602,6.49,814
603887,8.11,366
603356,13.05,25
601016,6.51,6425
300113,16.31,1210
300995,27.71,8
300236,40.83,5
002058,11.52,29
601375,4.91,3076
000955,4.91,694
000677,3.28,3258
002798,14.86,190
002574,4.92,1037
002491,4.92,1011
601099,3.28,6767
300879,19.76,106
603083,13.23,21
603126,8.29,915
688350,23.04,3
603955,13.23,5
002177,6.62,301
600497,4.99,1223
002117,8.32,496
300618,80.18,204
603317,26.81,500
000523,3.34,414
600481,10.06,1152
300410,11.74,130
601666,8.37,551
002210,3.37,2231
301108,60.17,48
300035,30.25,266
002661,11.84,460
002149,18.52,56
600475,11.83,122
600643,6.75,299
002417,5.08,2
002144,10.12,188
600448,3.38,684
600410,6.77,1260
688571,8.46,14
603551,10.2,134
002763,10.13,217
300664,6.79,797
002730,11.94,265
301081,20.37,261
002327,8.53,280
300006,6.81,3543
300224,17.08,375
300862,34.41,1
601188,3.49,517
002498,5.17,3120
002827,10.37,139
300229,10.34,333
688777,75.88,1
600004,12.05,593
600818,8.67,55
300822,22.47,68
300997,17.32,531
300971,39.87,5
300054,24.34,63
300766,15.62,702
603839,8.71,207
300259,5.22,2176
300498,19.25,228
002931,14.09,58
301067,48.94,18
600684,3.56,11780
603087,70.34,41
600782,5.27,8740
002224,5.28,1846
603138,15.88,32
002627,5.32,296
002435,5.27,1185
600030,26.4,2299
600305,15.94,1433
600435,10.67,439
600604,5.36,55
002767,12.53,255
603989,41.4,23
600022,1.78,151413
688316,50.15,7
688686,282.17,5
603322,12.61,53
605500,18.05,168
600167,9.01,1580
600887,41.45,664
600663,10.85,365
002383,7.24,1509
600623,9.09,1112
002515,5.47,157
300890,61.82,3
603387,20.05,87
603999,5.47,444
300178,1.82,7146
605296,40.31,120
601111,9.12,2639
603002,7.38,741
600724,3.67,49
002259,3.67,343
600066,11.02,2096
603519,14.76,28
603316,5.52,361
605151,20.29,1
000978,5.53,922
603226,7.36,87
688192,37.0,181
300334,9.21,254
688633,63.12,26
603706,14.78,3
600367,18.57,239
002076,1.85,8118
000976,5.55,4270
002061,5.57,752
605222,25.99,313
605258,31.8,6
600768,9.45,24
000541,5.65,199
000046,1.87,17403
000010,3.77,110
002455,13.25,131
002973,15.11,8
300350,7.55,1824
601298,5.68,1169
601126,20.89,466
688158,26.52,113
002980,30.4,5
002452,9.53,227
300001,24.87,55
688616,13.38,37
300679,52.48,17
000910,13.41,241
688280,15.25,195
603909,15.35,66
688169,813.0,1
300749,9.68,23
600608,5.81,105
688085,30.87,77
600714,13.53,199
300080,5.81,1172
605338,34.84,5
002677,17.35,233
002007,29.13,219
600568,1.96,3653
000698,5.86,1337
000572,5.85,230
300047,7.85,125
603588,17.56,14
002285,3.92,2638
002447,1.97,2047
000616,1.97,3613
603167,7.93,543
600333,5.93,397
300384,24.04,219
600678,6.02,2028
000997,18.11,137
300335,6.02,221
600278,8.08,229
300292,3.99,622
601975,2.01,7781
688217,72.71,2
000837,10.11,1264
600493,6.09,122
002081,6.07,4015
601669,8.08,16544
603388,8.13,24
688338,44.6,4
300537,16.26,321
002483,8.07,1235
300518,44.78,10
688456,28.53,10
002653,20.38,112
300635,16.29,48
600368,4.07,27
300933,12.22,1316
603828,4.07,1504
000923,14.29,218
603898,12.26,296
603338,80.26,0
601872,4.1,9789
600322,2.04,5945
001205,24.24,20
600658,4.12,26
002099,8.23,67
300023,6.18,162
000498,6.18,184
600489,8.23,114
600804,6.19,2002
600289,4.11,101
002705,24.7,160
300657,16.51,561
000961,4.13,8843
603041,12.38,125
601005,2.08,23001
600688,4.17,229
000606,2.07,4824
300433,22.97,320
002384,27.1,259
600117,4.18,1341
688509,6.28,1295
603800,21.05,1
300996,31.59,105
603980,6.32,23
605028,23.29,68
600893,63.46,230
688002,78.57,11
300097,8.46,707
300380,16.95,29
000559,6.37,1472
688013,25.42,5
601006,6.39,533
603181,19.16,102
600711,10.73,663
600933,19.28,7
300549,17.17,101
603288,105.1,72
688069,49.24,3
002014,8.58,884
002963,17.24,58
300809,44.88,278
600326,6.45,2036
600928,4.3,5569
000652,4.3,4063
601728,4.32,22892
601609,8.65,2083
000070,6.5,266
002348,2.18,1802
688027,173.4,17
002146,4.34,3289
688299,32.7,92
603866,28.4,141
300517,13.06,8
603318,8.75,2054
300989,43.5,66
300173,6.57,119
002700,4.39,345
688659,13.2,171
601128,6.61,902
600629,6.59,68
301033,61.12,4
002622,4.4,2054
688165,11.01,320
300288,13.24,154
600307,2.2,28412
600673,8.87,543
000732,2.21,5369
603659,160.61,2
688020,91.15,274
000407,4.43,2432
002856,11.14,11
300088,13.27,1138
605377,17.93,1
000413,2.24,19155
605488,26.73,28
601608,4.46,3832
000779,8.92,59
300854,29.18,270
300106,11.15,225
300102,8.99,1703
836720,27.15,10
600588,35.87,251
600589,2.25,2921
601168,13.61,382
002110,6.8,5016
002510,4.53,2268
688055,6.84,1152
600168,6.83,705
300105,6.82,2084
002209,6.83,439
002792,15.99,44
002011,13.7,918
002965,25.23,4
300446,9.27,59
300669,18.49,155
300155,6.96,1
300346,46.44,225
300041,18.53,91
000998,23.26,139
600064,9.33,954
000531,9.33,231
002842,9.37,406
002295,7.03,168
601919,18.69,2607
600737,9.39,312
002608,7.0,297
002056,18.86,592
300911,81.9,6
688161,63.72,43
600890,2.35,556
300756,28.41,14
002610,4.7,40403
300579,40.5,40
300048,7.14,169
600446,14.31,69
000532,11.91,59
002403,7.18,91
600570,62.12,1
300790,45.18,474
000157,7.16,2523
601236,11.92,1426
300835,71.99,17
300885,19.24,1
603895,22.01,126
603069,14.54,26
601969,12.01,1455
600139,2.43,1418
300857,28.96,88
000488,7.23,5523
301018,26.47,13
002482,2.42,2813
300242,4.87,847
300851,29.28,24
000715,4.87,105
600958,14.74,2901
600837,12.26,6114
000517,2.46,1276
002362,17.22,177
000810,9.84,1275
002175,2.45,1477
601990,9.91,220
603079,17.3,74
600051,7.47,35
001212,32.3,52
603009,7.49,1113
300939,49.92,137
000702,4.99,549
300644,20.04,8
003033,27.55,16
688255,40.15,16
001203,15.07,119
600561,5.03,93
688258,35.28,129
603948,27.85,3
688425,5.07,2568
300277,10.07,1416
002618,2.54,122
002392,5.03,1286
000639,5.08,702
002962,12.75,93
600901,5.09,6736
300576,35.75,681
300689,20.35,36
600877,15.66,182
300505,30.64,198
000333,73.81,19
300570,17.95,164
688313,12.88,160
301039,12.82,615
600350,5.15,1438
300789,25.69,149
002426,2.59,6715
000965,2.6,791
600720,10.39,888
603229,36.41,96
688579,12.96,2
002601,28.58,558
600176,18.19,554
300419,7.79,166
002747,25.95,63
603305,49.88,302
300590,28.85,52
601216,5.23,2554
301035,57.99,2
603959,15.76,216
000034,15.82,113
603881,36.92,195
000540,2.64,9599
000088,5.29,1378
300432,29.39,125
300061,10.62,306
300427,13.31,370
300970,29.16,155
603238,13.34,110
600297,2.67,26160
300477,8.05,308
002673,8.07,1880
300412,24.71,332
688089,61.44,2
000027,8.09,2617
300649,16.26,118
688501,21.92,58
002783,10.78,370
600619,8.13,170
300799,94.0,107
000996,8.16,296
688108,8.2,277
002981,21.93,28
000711,2.76,1021
002977,80.05,7
605006,13.89,4
003043,80.2,5
300087,30.39,34
605118,16.6,227
002576,16.6,53
601326,2.77,3033
300889,19.34,160
300666,52.58,83
002060,5.55,3471
600017,2.8,3011
688329,41.92,6
002602,8.38,2266
601699,11.31,306
600033,2.81,6227
605122,22.65,120
688166,36.7,24
688136,28.26,107
000402,5.66,36
601607,19.87,1090
300533,19.98,4
002325,2.86,4675
002122,2.86,715
301086,83.54,24
002278,5.83,613
002351,11.71,74
300742,34.88,98
300830,11.8,1384
300940,35.53,63
000586,8.92,166
300422,8.99,19
002479,5.93,5695
600751,2.97,4991
300492,45.55,2
002328,5.99,911
601156,21.86,4
601117,11.99,2263
300950,41.74,9
300349,12.05,2737
601512,9.05,100
300569,14.93,800
600895,15.06,452
600439,3.0,5817
688178,24.12,159
000625,15.19,141
601988,3.05,439893
600864,6.11,80
600196,48.94,143
002282,9.19,59
603577,9.26,155
002875,9.21,110
301198,37.19,126
600697,12.46,42
600726,3.11,372
603601,12.41,74
300899,31.2,31
300964,40.78,53
000560,3.13,7711
300676,87.8,70
002090,9.47,439
300488,28.36,60
605298,18.92,12
605166,15.92,25
002946,15.94,3
601199,6.38,132
002716,3.21,1890
300558,79.83,22
600794,3.22,4472
600503,3.21,7223
601921,9.63,399
301182,35.66,49
603700,19.37,3
002277,3.26,1788
601866,3.25,22351
600328,16.4,233
600193,6.57,600
603508,22.98,0
002151,39.25,1248
002431,3.26,6174
002753,9.84,218
600756,13.11,1
600823,3.27,4705
600567,3.29,28010
300395,65.71,19
002445,3.3,460
301090,13.23,846
600355,3.29,125
002377,3.31,1420
003021,79.74,1
600715,3.33,1389
600345,16.68,42
300243,13.32,461
300033,144.54,2
002769,6.71,631
002170,6.71,815
002448,6.76,1094
300291,6.84,464
002820,10.18,371
600055,23.8,117
600029,6.8,2598
300100,10.3,43
603759,17.07,124
603077,3.41,20297
600269,3.42,3989
603080,17.19,70
688722,13.69,629
600916,13.72,337
603660,6.88,229
688179,78.61,7
002340,10.35,5371
600611,3.45,734
002127,6.9,6409
000158,6.92,3478
300184,6.94,1351
002474,6.95,569
300641,6.99,553
002898,10.43,29
603950,17.4,49
601916,3.5,12535
002890,17.43,6
600458,13.84,57
002255,7.0,1458
603017,10.59,37
600094,3.53,7140
002598,10.68,179
000911,10.7,417
002184,14.29,427
002116,7.13,6
001896,7.14,101
002051,7.15,841
000631,3.57,292
600828,3.6,120
600161,28.96,236
688011,32.81,13
002239,3.65,10036
688057,25.73,14
000737,7.42,678
603385,11.1,54
603030,3.69,442
300420,3.71,1364
300059,37.11,2704
002911,11.19,237
300538,26.35,1
300295,11.37,75
002543,7.56,134
000830,15.25,860
002142,38.28,11
002106,11.5,655
603530,19.19,17
002807,3.85,322
601077,3.85,240
002418,3.84,3574
000728,7.7,2132
600679,11.64,97
002958,3.86,3350
000528,7.7,3120
600189,7.71,595
601198,11.62,1192
002281,23.28,109
605009,54.98,53
600050,3.93,1757
600067,3.94,3302
000886,3.96,1056
000622,3.94,148
300508,39.51,20
300072,7.93,1512
601838,11.99,308
002594,268.12,347
601399,3.95,3542
600098,8.07,438
688339,270.85,8
603978,27.42,18
601113,4.04,666
688699,187.18,33
600846,8.16,280
300871,28.48,124
600061,8.22,1054
603906,37.04,74
603928,12.34,442
002024,4.11,4663
600719,4.11,2701
688219,12.35,334
832278,12.15,2032
603095,25.14,3
000603,12.58,439
000761,4.19,2208
688609,12.61,160
600127,8.45,2298
600028,4.23,728
002185,12.71,348
300193,12.75,16
301076,34.2,6
000151,8.5,1342
300426,8.58,39
002123,17.19,290
603199,21.71,4
000987,8.7,1571
301036,30.57,12
603103,13.21,65
603136,17.61,36
300722,39.56,34
603108,13.4,124
601211,17.88,1594
601009,8.95,5915
600288,13.38,198
600371,13.42,643
600778,4.45,1644
300559,9.05,188
601811,9.06,127
603960,36.38,9
688655,18.26,29
000419,4.58,24
603128,13.68,501
603488,9.12,76
000020,9.15,80
300605,13.77,264
603848,13.85,60
002182,22.94,92
601328,4.61,790
600346,22.97,1499
300586,13.66,782
301001,32.33,61
002948,4.63,2324
002360,9.29,115
603392,221.44,1
688516,245.72,20
000718,4.71,594
688333,212.0,86
002053,9.46,226
605339,33.32,8
300909,43.05,7
603299,9.56,538
605365,19.16,75
300294,38.35,8
300378,24.0,463
600309,101.0,25
605368,14.45,394
002248,9.66,616
002876,62.34,8
002429,4.85,3816
300670,9.71,463
603323,4.86,1560
300008,4.91,5646
601857,4.91,15237
000060,4.91,104
300583,24.66,39
301180,29.49,3
688009,4.97,7631
600250,4.99,325
603177,15.06,48
301199,35.15,130
000410,5.03,749
002749,9.99,16
603383,35.9,17
000932,5.11,826
000600,5.09,724
000166,5.12,2060
600126,5.13,3696
002120,20.46,55
300302,10.29,100
002415,52.31,29
000617,5.17,4194
601619,5.16,9496
603159,15.66,40
600277,5.27,2273
300098,5.24,5163
002235,5.23,933
000501,10.51,45
000049,58.32,56
600683,5.34,468
002851,32.01,119
603983,31.87,317
000554,5.32,683
300162,10.82,253
001218,43.61,3
688106,27.8,103
003031,83.78,5
300596,44.74,50
002674,11.22,701
300743,11.25,55
603709,16.86,46
688070,33.73,3
600908,5.66,1220
600885,74.6,33
600376,5.66,276
600956,17.21,308
300931,11.61,204
002736,11.48,44
600638,5.73,350
301056,11.52,405
300084,5.79,2292
600919,5.82,3102
002517,5.81,1059
688278,29.27,19
300952,23.4,22
002548,5.87,2125
600525,5.98,40
600327,5.95,516
000782,5.95,1149
300668,17.88,48
000851,5.97,140
600738,6.07,477
603719,42.47,6
002406,6.12,678
002111,12.23,224
300849,12.26,15
002713,6.16,2368
002040,6.18,329
000589,6.15,1206
300992,24.75,90
300602,25.1,11
600784,6.33,745
603501,310.7,2
300270,6.39,60
300293,12.87,51
301000,64.28,8
301088,25.9,5
601606,12.99,79
301169,39.24,95
002679,13.13,595
000888,6.59,115
301057,19.84,87
002952,13.26,200
300648,60.15,20
002752,6.74,276
601696,13.44,358
300787,26.99,5
688621,121.6,5
601825,6.74,4860
603416,47.61,28
000993,13.58,761
300961,20.35,400
688517,13.64,1045
300011,6.86,420
688526,27.52,500
688365,13.85,34
600151,13.84,141
003028,41.89,10
688309,21.01,2
601038,14.08,335
301005,49.32,20
002201,21.02,262
000948,14.25,146
000859,7.08,1312
603321,7.11,514
000426,7.24,919
300923,28.97,13
605155,21.89,7
601519,7.37,332
002672,7.36,183
300078,7.37,599
002909,7.34,16
601788,14.93,1080
000025,14.95,179
002985,120.4,5
002375,7.49,90
002761,7.51,500
000719,7.52,402
000783,7.53,16528
601279,7.58,194
002825,22.63,66
300003,22.63,524
301055,22.74,233
603678,75.64,17
688389,22.98,30
300160,7.65,303
605158,7.68,415
300545,23.0,29
003039,31.03,122
600963,7.87,215
000037,7.84,1223
601901,7.84,4391
002167,7.89,63
000869,31.85,2
300935,55.82,35
002833,32.18,245
000582,8.04,28
600667,8.08,332
603725,8.15,241
300647,8.18,16
300333,8.18,58
002838,16.4,5136
600215,8.23,647
300554,16.49,59
300960,24.92,457
600135,8.34,189
600536,49.92,201
603013,16.71,268
603018,8.35,315
300192,8.31,28
603578,16.85,1
600983,8.51,806
002536,8.53,911
002921,17.08,91
002533,8.61,349
002010,8.69,52
300916,61.67,5
600696,35.29,23
000685,8.85,1086
300522,17.79,29
300232,8.94,2178
688129,17.89,23
300983,81.13,13
600118,27.15,103
300120,9.12,2204
603019,27.56,146
300040,9.28,1147
000988,27.82,31
300238,18.52,234
000968,9.35,108
300057,9.4,256
300177,9.45,910
300594,18.94,40
603380,38.27,17
002670,9.59,718
605378,28.85,362
600903,9.68,881
002456,9.7,1869
300660,29.3,62
603599,39.0,123
300665,9.75,446
300626,10.07,48
002216,20.21,397
300368,10.27,125
000800,10.28,2036
600138,10.38,82
603053,10.38,473
603186,41.78,22
600323,20.98,98
605011,21.06,30
002449,10.77,54
002008,54.0,319
601595,10.81,129
300582,21.63,406
002465,10.91,1433
688086,21.95,10
600506,11.18,10
601528,11.27,681
601952,11.9,40
603043,24.05,21
301017,24.14,13
300615,12.17,32
002690,37.45,45
603269,12.77,6
603429,26.09,121
688317,51.64,24
600648,13.23,1962
688981,52.98,90
300719,13.3,920
603367,13.35,332
603028,13.38,120
601601,27.11,78
603661,40.71,15
600746,13.79,25
600621,13.84,53
300855,70.49,79
300977,55.6,31
600597,14.52,385
688588,14.81,108
300846,15.11,616
300829,45.7,36
605179,15.15,19
300717,15.45,57
600363,31.02,1
300535,15.69,46
000895,31.54,10
300219,15.8,36
000021,15.83,1835
688396,64.6,85
300472,16.05,1023
605580,16.23,61
300955,32.87,126
002815,16.85,164
002080,34.01,552
603298,17.15,46
603045,17.15,267
300975,17.42,353
002250,17.96,523
600980,18.09,239
300715,18.52,95
000960,19.52,155
002254,19.61,413
002030,20.05,1435
300531,20.43,28
002922,20.3,746
301021,41.81,38
300652,21.98,46
600362,22.32,572
688139,90.81,8
300575,22.45,68
835174,22.5,31
300339,22.77,2464
300667,22.83,14
600111,45.79,855
300880,24.69,552
300727,26.7,8
301003,54.78,7
688393,30.47,13
300999,62.92,113
603208,63.08,98
002912,33.08,4
301052,35.64,43
600259,49.24,17
601318,50.41,105
688276,68.6,19
688366,125.88,2
836263,-,-
834415,-,-
833994,-,-
833874,-,-
832317,-,-
688262,-,-
688259,-,-
688234,-,-
688228,36.5,20
688220,-,-
688176,-,-
688173,-,-
688168,62.05,4
688100,34.37,2
688067,27.77,30
688062,-,-
605588,39.41,12
605277,30.47,444
603798,13.11,14
603682,6.07,1071
603656,12.44,59
603636,8.92,575
603618,7.23,145
603615,8.67,300
603389,5.21,60
603366,5.07,348
603256,8.56,239
603122,-,-
603059,23.12,45
601999,7.0,184
601997,6.51,4224
601989,4.21,30116
601963,8.89,187
601956,6.76,551
601886,6.59,636
601880,1.73,79448
601816,4.83,1308
601789,3.73,1458
601665,5.58,592
601577,7.81,9729
601558,-,-
601555,8.86,2427
601398,4.63,117652
601333,2.24,12748
601311,15.33,733
601299,-,-
601268,-,-
601258,1.63,129579
601229,7.13,30961
601166,19.04,599
601163,13.71,50
601162,4.04,27641
601138,11.91,3111
601000,2.75,6831
600991,-,-
600987,5.55,474
600978,-,-
600977,12.81,818
600960,3.99,149
600941,-,-
600917,8.39,1142
600909,5.4,2602
600899,-,-
600891,-,-
600889,6.2,903
600878,-,-
600861,23.0,564
600852,-,-
600849,-,-
600842,-,-
600840,-,-
600832,-,-
600813,-,-
600806,-,-
600799,-,-
600792,4.11,3122
600788,-,-
600786,-,-
600772,-,-
600762,-,-
600752,-,-
600747,-,-
600723,-,-
600709,-,-
600701,-,-
600700,-,-
600687,-,-
600686,6.28,380
600680,-,-
600677,-,-
600672,-,-
600670,-,-
600669,-,-
600661,9.72,491
600659,-,-
600656,-,-
600646,-,-
600634,-,-
600632,-,-
600631,-,-
600627,-,-
600625,-,-
600614,-,-
600607,-,-
600591,-,-
600562,18.37,57
600553,-,-
600549,22.63,685
600538,6.04,1338
600527,2.39,8973
600515,4.52,2786
600485,-,-
600480,9.91,793
600472,-,-
600470,7.08,2066
600432,-,-
600423,4.09,543
600409,8.7,6917
600401,-,-
600398,6.41,852
600390,5.32,467
600377,8.62,188
600358,4.41,1407
600357,-,-
600337,3.5,2267
600321,2.02,1220
600317,-,-
600296,-,-
600286,-,-
600271,13.38,324
600270,-,-
600266,4.5,2140
600263,-,-
600253,-,-
600247,-,-
600240,-,-
600231,2.65,6998
600230,14.24,126
600205,-,-
600198,8.85,156
600181,-,-
600175,-,-
600162,2.09,5969
600159,3.06,2333
600130,4.1,1621
600123,9.37,3851
600121,4.78,1584
600113,6.7,171
600107,5.94,681
600102,-,-
600092,-,-
600087,-,-
600086,-,-
600074,-,-
600072,-,-
600069,-,-
600068,-,-
600065,-,-
600059,12.23,671
600016,3.9,23635
600015,5.59,10196
600010,2.78,143821
600006,6.81,4117
600005,-,-
600003,-,-
600002,-,-
600001,-,-
600000,8.53,22045
301201,-,-
301196,-,-
301159,-,-
301158,-,-
301136,-,-
301123,-,-
301117,-,-
301116,-,-
301083,17.19,252
300958,27.01,122
300956,21.47,13
300886,30.34,88
