symbol,name,close,yest_close,b1_p,b1_v,volume
300855,图南股份,61.89,66.3,61.88,10,41833
688122,西部超导,87.0,93.2,87.0,129,76411
600773,西藏城投,24.23,25.96,24.22,77,382051
688388,嘉元科技,117.91,126.34,117.91,117,42990
300696,爱乐达,47.13,50.5,47.12,4,39761
603139,康惠制药,20.8,22.29,20.8,23,31726
300601,康泰生物,90.37,96.85,90.36,4,132383
300698,万马科技,25.65,27.49,25.65,13,29234
002606,大连电瓷,9.2,9.86,9.2,2149,210097
002057,中钢天源,8.5,9.11,8.49,1333,339144
300707,威唐工业,18.67,20.01,18.67,72,83910
300636,同和药业,23.33,25.01,23.31,100,66211
300767,震安科技,96.4,103.36,96.27,3,25899
000539,粤电力Ａ,5.4,5.79,5.4,756,383946
833266,生物谷,13.11,14.06,13.11,84,28346
300108,吉药控股,4.13,4.43,4.12,4124,777793
300809,华辰装备,42.12,45.19,42.11,95,44165
301041,金百泽,27.71,29.73,27.71,49,31198
301186,超达装备,42.0,45.07,41.94,2,49107
600993,马应龙,27.02,29.0,27.02,1,221332
300213,佳讯飞鸿,9.13,9.8,9.13,2283,1186709
600330,天通股份,14.42,15.48,14.42,678,422773
301119,正强股份,38.63,41.47,38.62,28,23243
600566,济川药业,28.97,31.1,28.97,28,431347
002338,奥普光电,22.26,23.9,22.26,65,75291
601985,中国核电,7.6,8.16,7.59,8748,2618803
300248,新开普,15.57,16.72,15.56,22,932744
002708,光洋股份,6.63,7.12,6.63,1960,139119
301075,多瑞医药,37.33,40.09,37.33,40,22341
600372,中航电子,20.65,22.18,20.65,62,275415
603396,金辰股份,103.06,110.7,103.06,90,56878
600644,乐山电力,7.27,7.81,7.27,71,266603
002317,众生药业,11.26,12.1,11.26,35,537845
002943,宇晶股份,48.2,51.8,48.2,93,92132
300617,安靠智电,63.83,68.6,63.8,2,29733
301113,雅艺科技,43.35,46.6,43.35,157,39102
002026,山东威达,16.8,18.06,16.8,1052,224456
002645,华宏科技,23.24,25.0,23.24,88,109972
002864,盘龙药业,29.84,32.1,29.8,6,83072
601226,华电重工,6.2,6.67,6.19,607,414502
300752,隆利科技,32.47,34.94,32.46,132,106011
688329,艾隆科技,39.31,42.32,39.3,28,9191
688555,泽达易盛,33.78,36.37,33.7,2,27695
300254,仟源医药,8.07,8.69,8.07,133,330388
603037,凯众股份,19.58,21.09,19.56,79,51503
688082,盛美上海,110.7,119.24,110.7,6,21129
600255,鑫科材料,2.97,3.2,2.96,24227,3207371
300115,长盈精密,19.33,20.83,19.33,274,292546
002411,延安必康,11.3,12.18,11.3,173,686505
000570,苏常柴Ａ,5.52,5.95,5.51,2288,359410
688107,安路科技-U,70.5,76.0,70.5,8,23380
600418,江淮汽车,15.58,16.8,15.58,545,913230
301213,观想科技,58.68,63.3,58.67,22,45304
600252,中恒集团,3.81,4.11,3.81,3131,2478674
688018,乐鑫科技,168.0,181.23,168.0,381,17425
002389,航天彩虹,26.12,28.18,26.11,7,294776
002275,桂林三金,15.89,17.15,15.89,299,139957
600343,航天动力,12.76,13.78,12.76,335,712856
688599,天合光能,66.83,72.18,66.82,12,235522
300491,通合科技,18.53,20.02,18.52,10,91338
600141,兴发集团,33.1,35.77,33.09,7,661691
603115,海星股份,24.52,26.5,24.5,32,61147
002590,万安科技,9.78,10.57,9.77,1024,276868
300327,中颖电子,61.4,66.37,61.4,242,98110
688516,奥特维,216.04,233.53,216.01,6,17103
688636,智明达,129.49,139.98,129.22,2,3638
603319,湘油泵,23.75,25.68,23.75,552,82664
000768,中航西飞,34.9,37.74,34.9,264,508068
600378,昊华科技,40.11,43.38,40.1,6,53583
000590,启迪药业,9.9,10.71,9.9,108,157183
300562,乐心医疗,15.36,16.62,15.35,18,218039
688187,时代电气,68.8,74.5,68.79,12,89305
688639,华恒生物,124.69,135.1,124.69,7,5541
000970,中科三环,15.08,16.35,15.08,3458,1485323
300984,金沃股份,64.59,70.05,64.59,24,19195
300721,怡达股份,45.18,49.0,45.16,1,21863
600866,星湖科技,5.18,5.62,5.18,3613,1175759
002017,东信和平,14.46,15.69,14.45,300,365274
603501,韦尔股份,286.0,310.42,285.82,1,94570
300204,舒泰神,16.12,17.5,16.12,7,172912
300007,汉威科技,27.3,29.64,27.3,131,272576
300247,融捷健康,4.31,4.68,4.31,401,818565
603948,建业股份,27.54,29.92,27.52,5,58685
688233,神工股份,80.5,87.46,80.5,40,39739
300683,海特生物,57.8,62.82,57.8,65,39088
000953,河化股份,5.96,6.48,5.95,1431,300163
000591,太阳能,10.2,11.09,10.2,8273,2220645
002013,中航机电,16.61,18.07,16.61,931,741720
000411,英特集团,13.67,14.88,13.66,92,123964
600682,南京新百,10.81,11.77,10.81,64,285314
688328,深科达,38.8,42.27,38.79,1,14300
300893,松原股份,34.76,37.88,34.75,3,26457
600422,昆药集团,10.9,11.88,10.9,1932,641469
002256,兆新股份,4.65,5.07,4.65,7888,2659257
300790,宇瞳光学,40.35,44.0,40.35,7,50326
603606,东方电缆,47.07,51.38,47.06,63,198284
688589,力合微,59.46,64.91,59.46,0,28410
002897,意华股份,46.68,50.96,46.68,26,37939
603650,彤程新材,43.61,47.61,43.61,7,90324
