,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell,inst_sell,cost
sz000719,7.07,83426.0,0.0,0.0,0.0,0.0,6.963677109369313
sz300139,14.41,6158834.0,0.0,0.0,0.0,0.0,14.908830669102102
sh600728,8.92,400071.0,0.0,0.0,0.0,0.0,8.841443162326525
sz300294,38.94,272580.0,0.0,0.0,0.0,0.0,38.06530134241635
sh601658,4.73,5102724.0,0.0,0.0,0.0,0.0,4.710427033586248
sz300801,25.55,38325.0,0.0,0.0,0.0,0.0,26.71480534774176
sh600543,6.91,3326474.0,0.0,0.0,0.0,0.0,6.816732189808439
sz002041,18.12,3407720.0,0.0,0.0,0.0,0.0,17.736394431256816
sh600337,4.73,187781.0,0.0,0.0,0.0,0.0,4.690229382291628
sz300236,50.97,10169127.0,0.0,0.0,0.0,0.0,51.145968158518656
sz002473,6.33,7602.0,0.0,0.0,0.0,0.0,6.240782839451569
sz300873,52.87,856494.0,0.0,0.0,0.0,0.0,53.92992205373231
sz002748,0.0,0.0,0.0,0.0,0.0,0.0,6.932417398578001
sz002087,4.01,569420.0,0.0,0.0,0.0,0.0,3.9448505570681323
sz002112,9.22,229578.0,0.0,0.0,0.0,0.0,9.19074591665203
sz002420,0.0,0.0,0.0,0.0,0.0,0.0,4.189963596650892
sz002830,12.55,2510.0,0.0,0.0,0.0,0.0,12.372419563459983
sh603666,89.56,841864.0,0.0,0.0,0.0,0.0,86.34625149425287
sz002236,22.85,3598875.0,0.0,0.0,0.0,0.0,23.036826333770485
sh600161,34.98,877998.0,0.0,0.0,0.0,0.0,34.74584926044199
sh600458,7.35,505680.0,0.0,0.0,0.0,0.0,7.283235264147623
sz002282,10.7,62060.0,0.0,0.0,0.0,0.0,10.615005916284572
sz002479,6.92,22836.0,0.0,0.0,0.0,0.0,6.858019025642232
sh603515,30.19,217368.0,0.0,0.0,0.0,0.0,29.963041388151268
sh600847,0.0,0.0,0.0,0.0,0.0,0.0,9.886205456570156
sz002059,4.66,32620.0,0.0,0.0,0.0,0.0,4.6900888686339295
sh600623,5.58,398412.0,0.0,0.0,0.0,0.0,5.5906902109933885
sh603355,36.57,43884.0,0.0,0.0,0.0,0.0,37.13121117184375
sz002128,10.19,1155546.0,0.0,0.0,0.0,0.0,10.14572165408833
sh600706,7.38,23616.0,0.0,0.0,0.0,0.0,7.362541110202598
sh603131,21.15,258030.0,0.0,0.0,0.0,0.0,21.2276358597855
sz002760,0.0,0.0,0.0,0.0,0.0,0.0,19.01036235903124
sz300260,22.21,686289.0,0.0,0.0,0.0,0.0,21.902275018880246
sz002522,6.9,136620.0,0.0,0.0,0.0,0.0,6.905988990070485
sh603823,14.35,48790.0,0.0,0.0,0.0,0.0,14.225205131820106
sz300130,13.6,221680.0,0.0,0.0,0.0,0.0,13.58978947782631
sz002645,8.33,26656.0,0.0,0.0,0.0,0.0,8.272296748710822
sz000633,4.08,104040.0,0.0,0.0,0.0,0.0,3.9813516004958833
sh603676,0.0,0.0,0.0,0.0,0.0,0.0,10.32170944940476
sz002853,24.38,19504.0,0.0,0.0,0.0,0.0,23.724677097312693
sz002700,3.64,52780.0,0.0,0.0,0.0,0.0,3.5569521561127213
sz300826,46.12,2794872.0,0.0,0.0,0.0,0.0,46.17178153273017
sz300719,24.21,2963304.0,0.0,0.0,0.0,0.0,23.738535290193465
sz300105,5.08,41656.0,0.0,0.0,0.0,0.0,5.013434956613264
sz300404,13.55,799450.0,0.0,0.0,0.0,0.0,13.194491065087622
sh600081,12.29,199098.0,0.0,0.0,0.0,0.0,12.573770313854418
sz002908,13.63,66787.0,0.0,0.0,0.0,0.0,13.645898266708306
sz300632,21.11,453865.0,0.0,0.0,0.0,0.0,21.070963239485835
sh601882,12.48,111072.0,0.0,0.0,0.0,0.0,12.242940481977916
sz000848,7.0,210000.0,0.0,0.0,0.0,0.0,6.967891318645182
sh603569,8.88,158064.0,0.0,0.0,0.0,0.0,8.937054407896682
sz002166,8.17,31863.0,0.0,0.0,0.0,0.0,8.098551117942314
sz002017,10.68,271272.0,0.0,0.0,0.0,0.0,10.81489393650995
sz002089,2.33,48464.0,0.0,0.0,0.0,0.0,2.3229121605089307
sh600152,6.32,68888.0,0.0,0.0,0.0,0.0,6.234879519624771
sz300050,6.7,495827.0,0.0,0.0,0.0,0.0,6.596473026384356
sz300367,3.74,97988.0,0.0,0.0,0.0,0.0,3.6889058224495654
sh600252,3.19,37961.0,0.0,0.0,0.0,0.0,3.164878705111473
sh603256,10.29,110103.0,0.0,0.0,0.0,0.0,10.30605152511276
sz300527,11.49,922647.0,0.0,0.0,0.0,0.0,12.19650520157872
sh601038,11.02,269990.0,0.0,0.0,0.0,0.0,11.16580576067888
sz300604,24.5,418950.0,0.0,0.0,0.0,0.0,24.504131828522468
sh600107,9.89,10879.0,0.0,0.0,0.0,0.0,9.761527137776403
sz300111,4.0,204400.0,0.0,0.0,0.0,0.0,3.852353461023058
sh603466,22.02,240018.0,0.0,0.0,0.0,0.0,22.538564301007682
sh600188,9.25,604950.0,0.0,0.0,0.0,0.0,9.233407970930832
sz002903,15.84,186912.0,0.0,0.0,0.0,0.0,15.68691629517097
sz002062,0.0,0.0,0.0,0.0,0.0,0.0,4.2311849699786945
sz002012,5.74,68880.0,0.0,0.0,0.0,0.0,5.79221040450795
sz002149,8.76,2270592.0,0.0,0.0,0.0,0.0,8.743546067044186
sz300830,19.9,19663190.0,0.0,0.0,0.0,0.0,18.923977739585073
sz001896,3.72,446772.0,0.0,0.0,0.0,0.0,3.670830188206086
sz002045,9.18,918.0,0.0,0.0,0.0,0.0,9.152076457147
sz002610,2.42,351384.0,0.0,0.0,0.0,0.0,2.392782441319574
sz002801,33.41,504491.0,0.0,0.0,0.0,0.0,32.95897310762035
sz000533,3.25,75400.0,0.0,0.0,0.0,0.0,3.3643840401442886
sz002155,8.87,2159863.0,0.0,0.0,0.0,0.0,8.857182683262176
sh600084,0.0,0.0,0.0,0.0,0.0,0.0,2.2677980080921256
sz002728,13.05,61335.0,0.0,0.0,0.0,0.0,12.974950896949064
sh603767,9.13,493020.0,0.0,0.0,0.0,0.0,8.992986593943648
sh600121,2.1,829290.0,0.0,0.0,0.0,0.0,2.0810963087869023
sh600746,0.0,0.0,0.0,0.0,0.0,0.0,5.9968218237314
sz000006,5.88,161112.0,0.0,0.0,0.0,0.0,5.805513369701852
sh600196,53.7,3839550.0,0.0,0.0,0.0,0.0,53.12643357640221
sz300489,42.66,123714.0,0.0,0.0,0.0,0.0,43.348681158459804
sh600808,2.63,63383.0,0.0,0.0,0.0,0.0,2.6103690029823268
sz300092,12.07,213639.0,0.0,0.0,0.0,0.0,11.670588052740316
sz300550,22.91,34365.0,0.0,0.0,0.0,0.0,22.57756818795571
sz300767,73.32,29328.0,0.0,0.0,0.0,0.0,73.6617675422814
sh600829,6.81,150501.0,0.0,0.0,0.0,0.0,6.91958804307066
sh600691,2.11,204459.0,0.0,0.0,0.0,0.0,2.090868447213202
sz300278,6.75,176175.0,0.0,0.0,0.0,0.0,6.5165070131172715
sz000520,3.41,170500.0,0.0,0.0,0.0,0.0,3.391557570262919
sz002840,10.2,16320.0,0.0,0.0,0.0,0.0,10.060962577447334
sz002960,33.14,516984.0,0.0,0.0,0.0,0.0,32.33460819029599
sz000868,3.89,533708.0,0.0,0.0,0.0,0.0,3.908043573196177
sh600567,3.12,615620.0,0.0,0.0,0.0,0.0,3.1108898129294675
sz000778,3.66,583770.0,0.0,0.0,0.0,0.0,3.6363164167869018
sz000786,35.0,1479625.0,0.0,0.0,0.0,0.0,35.405879803844776
sh603118,11.38,158182.0,0.0,0.0,0.0,0.0,11.275289482626794
sh600023,3.65,431430.0,0.0,0.0,0.0,0.0,3.6486926431628293
sz000590,9.83,41286.0,0.0,0.0,0.0,0.0,9.727273790683272
sz002580,6.26,78876.0,0.0,0.0,0.0,0.0,6.275953261242229
sz002266,4.92,46740.0,0.0,0.0,0.0,0.0,4.83857905263901
sh600880,3.86,20458.0,0.0,0.0,0.0,0.0,3.778042347192689
sh601965,13.56,402732.0,0.0,0.0,0.0,0.0,13.91151783928643
sz300175,5.31,697203.0,0.0,0.0,0.0,0.0,5.25537189037423
sz000559,6.14,450676.0,0.0,0.0,0.0,0.0,6.200606860924077
sh600517,6.57,92637.0,0.0,0.0,0.0,0.0,6.620700669364486
sh603819,14.06,57646.0,0.0,0.0,0.0,0.0,13.82834353712167
sz000612,7.24,11551420.0,0.0,0.0,0.0,0.0,7.110563715309074
sz000851,6.16,1814120.0,0.0,0.0,0.0,0.0,6.102749653431032
sh600926,13.64,5386872.0,0.0,0.0,0.0,0.0,13.675525630571542
sh603662,29.7,787050.0,0.0,0.0,0.0,0.0,29.51998140796945
sz002797,10.27,4992247.0,0.0,0.0,0.0,0.0,10.18624970392055
sz000688,10.95,817965.0,0.0,0.0,0.0,0.0,10.761878086394436
sz000982,1.16,150916.0,0.0,0.0,0.0,0.0,1.1508365882775644
sh603871,25.18,47842.0,0.0,0.0,0.0,0.0,25.403635161025452
sz002538,5.76,67392.0,0.0,0.0,0.0,0.0,5.67394864015603
sz300667,30.79,12347744.0,0.0,0.0,0.0,0.0,30.348231071346582
sh600421,9.38,2545000.0,0.0,0.0,0.0,0.0,10.032895881006866
sh601163,17.13,387138.0,0.0,0.0,0.0,0.0,17.28528038727979
sz300097,13.18,735444.0,0.0,0.30694415,0.0,0.0,13.671355103652516
sh600168,7.1,11360.0,0.0,0.0,0.0,0.0,7.112218455128467
sh600153,8.6,322500.0,0.0,0.0,0.0,0.0,8.54861564204961
sz300044,8.51,1271394.0,0.0,0.0,0.0,0.0,8.350832635736989
sh600331,2.18,302148.0,0.0,0.0,0.0,0.0,2.1816591429385754
sh603868,52.99,211960.0,0.0,0.0,0.0,0.0,52.839687627325816
sz002409,54.4,4107200.0,0.0,0.0,0.0,0.0,54.95341142801707
sz002328,5.45,60495.0,0.0,0.0,0.0,0.0,5.505621816878561
sz002146,7.16,289980.0,0.0,0.0,0.0,0.0,7.106378202860266
sh603703,10.89,42471.0,0.0,0.0,0.0,0.0,10.8780146856986
sh603718,20.4,571200.0,0.0,0.0,0.0,0.0,20.204534035863006
sz300024,13.75,457875.0,0.0,0.0,0.0,0.0,13.61760766112981
sh600978,1.06,466294.0,0.0,0.0,0.0,0.0,1.0668021519838602
sh600757,5.4,293760.0,0.0,0.0,0.0,0.0,5.352880775481774
sz002501,1.54,263186.0,0.0,0.0,0.0,0.0,1.5114456676136363
sz300048,5.71,147889.0,0.0,0.0,0.0,0.0,5.609834615099743
sz000068,3.14,12560.0,0.0,0.0,0.0,0.0,3.115530771967271
sh603429,37.15,724425.0,0.0,0.0,0.0,0.0,36.928383883558304
sz300135,3.62,260278.0,0.0,0.0,0.0,0.0,3.585517646746629
sz002512,6.23,492793.0,0.0,0.0,0.0,0.0,6.1544926929961115
sh600016,5.18,4149180.0,0.0,0.0,0.0,0.0,5.1610597559047315
sh603489,188.0,150400.0,0.0,0.0,0.0,0.0,188.07826200417537
sz002121,3.55,384820.0,0.0,0.0,0.0,0.0,3.513294157012004
sh603963,0.0,0.0,0.0,0.0,0.0,0.0,8.327258255715495
sz300409,15.2,4826000.0,0.0,0.0,0.0,0.0,15.468818426423054
sz002799,17.8,218940.0,0.0,0.0,0.0,0.0,17.670631916132788
sz000639,5.31,289926.0,0.0,0.0,0.0,0.0,5.291853592903889
sh601003,4.73,210958.0,0.0,0.0,0.0,0.0,4.709498420855415
sh603579,31.5,113400.0,0.0,0.0,0.0,0.0,32.26268225584594
sh600615,8.06,31434.0,0.0,0.0,0.0,0.0,8.035391355140186
sz300203,13.83,1867050.0,0.0,0.0,0.0,0.0,13.470459328905372
sh600242,2.91,292164.0,0.0,0.0,0.0,0.0,2.9250568855618146
sz002099,8.2,68880.0,0.0,0.0,0.0,0.0,8.241512313502982
sz002889,28.56,591192.0,0.0,0.0,0.0,0.0,28.607827795278258
sz000558,3.09,522519.0,0.0,0.0,0.0,0.0,3.0579953265415316
sh600320,2.91,112326.0,0.0,0.0,0.0,0.0,2.9004881982114057
sz300211,8.63,87163.0,0.0,0.0,0.0,0.0,8.46968626555236
sh603931,46.48,478744.0,0.0,0.0,0.0,0.0,46.31787400681044
sh600959,3.6,217800.0,0.0,0.0,0.0,0.0,3.5722667724500425
sz300045,12.03,1150068.0,0.0,0.0,0.0,0.0,11.884249519589725
sz002326,9.2,302680.0,0.0,0.0,0.0,0.0,9.066569378991275
sz002289,10.9,10900.0,0.0,0.0,0.0,0.0,10.838492119979666
sz002552,13.46,86144.0,0.0,0.0,0.0,0.0,13.875030503682762
sz002058,0.0,0.0,0.0,0.0,0.0,0.0,15.769131053005767
sh600815,0.0,0.0,0.0,0.0,0.0,0.0,2.2972532984407366
sz300324,6.05,2003760.0,0.0,0.0,0.0,0.0,5.635416702772568
sz300343,4.6,4965700.0,0.0,0.0,0.0,0.0,4.433340497688222
sh600643,8.03,269005.0,0.0,0.0,0.0,0.0,7.981992464832731
sz000835,1.52,279376.0,0.0,0.0,0.0,0.0,1.5682630860396212
sz300392,11.85,279660.0,0.0,0.0,0.0,0.0,11.454673817863398
sh600200,5.47,299209.0,0.0,0.0,0.0,0.0,5.358521015190581
sz300430,11.99,4430305.0,0.0,0.0,0.0,0.0,11.699972668529515
sz300707,21.72,1385736.0,0.0,0.0,0.0,0.0,22.02998524800403
sz300677,114.02,1869586.0,0.0,0.0,0.0,0.0,112.17222989779916
sh600208,3.17,888868.0,0.0,0.0,0.0,0.0,3.1593817115515517
sz002154,3.67,1041179.0,0.0,0.0,0.0,0.0,3.6984276064247315
sz300796,26.13,457275.0,0.0,0.0,0.0,0.0,26.56130963832243
sh600876,17.3,9349474.0,0.0,0.0,0.0,0.0,17.377721231443658
sz300127,22.73,14490375.0,0.0,0.0,0.0,0.0,22.752572883743884
sz300416,24.33,107052.0,0.0,0.0,0.0,0.0,23.985694067356015
sz300817,40.19,1503106.0,0.0,0.0,0.0,0.0,43.41252735980941
sz002529,0.0,0.0,0.0,0.0,0.0,0.0,5.682250338294994
sh600731,10.87,70655.0,0.0,0.0,0.0,0.0,10.910178391523363
sz002758,11.52,1152.0,0.0,0.0,0.0,0.0,11.458117011237885
sh603776,19.4,2483200.0,0.0,0.0,0.0,0.0,19.107118927973197
sz002335,21.93,627198.0,0.0,0.0,0.0,0.0,21.648786036983275
sz000780,0.0,0.0,0.0,0.0,0.0,0.0,2.8424756187626645
sz000796,12.96,261792.0,0.0,0.0,0.0,0.0,12.745518186849122
