,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell,inst_sell
sh603035,0,0,0,0,0,0
sz300578,17.39,353017.0,0.0,0.0,0.0,0.0
sz000895,24.52,132408.0,0.0,0.0,0.0,0.0
sz300481,0,0,0,0,0,0
sh600891,6.44,43148.0,0.0,0.0,0.0,0.0
sz300626,0,0,0,0,0,0
sz000703,12.4,507160.0,0.0,0.0,0.0,0.0
sz300596,0,0,0,0,0,0
sh603399,0,0,0,0,0,0
sz000090,5.05,653470.0,0.0,0.0,0.0,0.0
sh600136,8.3,6640.0,0.0,0.0,0.0,0.0
sh603196,10.5,658350.0,0.0,0.0,0.0,0.0
sz300676,58.65,592365.0,0.0,0.0,0.0,0.0
sz002687,6.55,5625140.0,0.0,0.0,0.0,0.0
sz300122,35.26,934390.0,0.0,0.0,0.0,0.0
sh603803,11.38,2403456.0,0.0,0.0,0.0,0.0
sh600240,2.7,414180.0,0.0,0.0,0.0,0.0
sh601949,4.62,27258.0,0.0,0.0,0.0,0.0
sh601333,3.38,94978.0,0.0,0.0,0.0,0.0
sh600868,2.96,18648.0,0.0,0.0,0.0,0.0
sz002668,4.62,382536.0,0.0,0.0,0.0,0.0
sh603183,17.33,95315.0,0.0,0.0,0.0,0.0
sh600791,3.96,792.0,0.0,0.0,0.0,0.0
sh600348,5.19,432846.0,0.0,0.0,0.0,0.0
sh603129,0,0,0,0,0,0
sz002267,7.73,513272.0,0.0,0.0,0.0,0.0
sz300106,5.63,15201.0,0.0,0.0,0.0,0.0
sz002380,0,0,0,0,0,0
sz002195,3.78,267624.0,0.0,0.0,0.0,0.0
sz000539,4.26,23004.0,0.0,0.0,0.0,0.0
sh603676,11.13,2226.0,0.0,0.0,0.0,0.0
sz002221,8.2,1194740.0,0.0,0.0,0.0,0.0
sh600526,4.88,82960.0,0.0,0.0,0.0,0.0
sz300518,22.47,40446.0,0.0,0.0,0.0,0.0
sh603991,18.88,16992.0,0.0,0.0,0.0,0.0
sz000803,12.11,1211.0,0.0,0.0,0.0,0.0
sz000068,4.01,224560.0,0.0,0.0,0.0,0.0
sh603536,8.72,13952.0,0.0,0.0,0.0,0.0
sh600219,2.19,146292.0,0.0,0.0,0.0,0.0
sh601999,5.42,542.0,0.0,0.0,0.0,0.0
sz300017,7.82,421498.0,0.0,0.0,0.0,0.0
sh600628,6.49,6490.0,0.0,0.0,0.0,0.0
sh600332,34.23,284109.0,0.0,0.0,0.0,0.0
sh600075,4.66,111840.0,0.0,0.0,0.0,0.0
sz002915,22.21,19989.0,0.0,0.0,0.0,0.0
sz002724,5.69,257757.0,0.0,0.0,0.0,0.0
sh600000,10.1,2130090.0,0.0,0.0,0.0,0.0
sh600608,4.33,2165.0,0.0,0.0,0.0,0.0
sz300313,6.74,313410.0,0.0,0.0,0.0,0.0
sz300329,0,0,0,0,0,0
sh600373,12.55,60240.0,0.0,0.0,0.0,0.0
sh603017,12.0,1646400.0,0.0,0.0,0.0,0.0
sh601588,2.9,40020.0,0.0,0.0,0.0,0.0
sz002650,3.6,87120.0,0.0,0.0,0.0,0.0
sh600971,5.85,16380.0,0.0,0.0,0.0,0.0
sz300282,11.86,588256.0,0.0,0.0,0.0,0.0
sh600680,0,0,0,0,0,0
