,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell
sh603076,25.38,185274.0,0.0,0.0,0.0
sz300240,0,0,0,0,0
sz000893,4.29,12870.0,0.0,0.0,0.0
sh600185,3.84,49536.0,0.0,0.0,0.0
sz002468,16.41,121434.0,0.0,0.0,0.0
sh601225,7.54,200564.0,0.0,0.0,0.0
sz000966,3.41,209033.0,0.0,0.0,0.0
sz002424,9.05,371050.0,0.0,0.0,0.0
sz002305,2.58,691182.0,45.9,0.15301985,0.17628616
sh600157,1.29,619071.0,0.0,0.0,0.0
sh603918,0,0,0,0,0
sz300701,33.3,169830.0,0.0,0.0,0.0
sz000403,25.3,2530.0,0.0,0.0,0.0
sz300717,0,0,0,0,0
sh600536,23.15,210665.0,0.0,0.0,0.0
sh603477,7.8,14820.0,0.0,0.0,0.0
sz000996,8.46,883326.0,0.0,0.0,0.0
sz002524,4.71,9891.0,0.0,0.0,0.0
sh600896,3.56,356.0,0.0,0.0,0.0
sz002606,6.35,2406650.0,0.0,0.0,0.0
sh600487,17.62,4520940.0,0.0,0.0,0.0
sz300094,5.21,267273.0,0.0,0.0,0.0
sz000766,7.06,99546.0,0.0,0.0,0.0
sz002791,10.17,76275.0,0.0,0.0,0.0
sh600313,2.24,22624.0,0.0,0.0,0.0
sh600186,1.91,264726.0,0.0,0.0,0.0
sh600196,23.9,463660.0,0.0,0.0,0.0
sh600137,0,0,0,0,0
sz000528,6.4,302080.0,0.0,0.0,0.0
sh600612,41.92,50304.0,0.0,0.0,0.0
sh600814,5.2,13520.0,0.0,0.0,0.0
sz000639,6.66,5728.0,0.0,0.0,0.0
sz002845,16.3,1105140.0,0.0,0.0,0.0
sh603818,0,0,0,0,0
sh600520,13.71,636144.0,0.0,0.0,0.0
sz002680,0,0,0,0,0
sz000564,2.57,270107.0,0.0,0.0,0.0
sh601969,4.63,10186.0,0.0,0.0,0.0
sh603518,0,0,0,0,0
sz002877,15.19,13671.0,0.0,0.0,0.0
sz002299,16.54,163746.0,0.0,0.0,0.0
sz000998,14.54,271898.0,0.0,0.0,0.0
sz300347,0,0,0,0,0
sh600826,9.53,56227.0,0.0,0.0,0.0
sh601633,5.59,32981.0,0.0,0.0,0.0
sh603900,0,0,0,0,0
sz300508,25.95,329565.0,0.0,0.0,0.0
sz300384,12.27,25767.0,0.0,0.0,0.0
sz002640,11.04,57408.0,0.0,0.0,0.0
sz002415,26.19,1094742.0,0.0,0.0,0.0
sh600645,16.51,79248.0,0.0,0.0,0.0
sz002469,0,0,0,0,0
sz002827,14.4,335520.0,0.0,0.0,0.0
sz300636,0,0,0,0,0
sz000890,0,0,0,0,0
sh603026,19.77,214425.0,0.0,0.0,0.0
sh600539,0,0,0,0,0
sz000925,6.1,658800.0,0.0,0.0,0.0
sz002459,8.74,157320.0,0.0,0.0,0.0
sh603388,10.17,1017.0,0.0,0.0,0.0
sz300221,4.92,17566368.0,0.0,0.0,0.0
sz000970,7.48,130152.0,0.0,0.0,0.0
sz002775,6.13,1226.0,0.0,0.0,0.0
sz300463,14.86,160488.0,0.0,0.0,0.0
sh603110,0,0,0,0,0
sz000089,7.71,33924.0,0.0,0.0,0.0
sh603116,0,0,0,0,0
sh603500,10.5,220500.0,0.0,0.0,0.0
sh600854,3.53,115431.0,0.0,0.0,0.0
sh600009,50.37,423108.0,0.0,0.0,0.0
sz000936,6.05,448305.0,0.0,0.0,0.0
sz300243,8.03,33726.0,0.0,0.0,0.0
sh600962,0,0,0,0,0
sh600893,21.74,193486.0,0.0,0.0,0.0
sh603556,13.17,130515.0,0.0,0.0,0.0
sz300545,16.73,373079.0,0.05,0.06357342,0.00790061
sz002037,0,0,0,0,0
sh603021,5.87,7631.0,0.0,0.0,0.0
sh600619,8.86,16834.0,0.0,0.0,0.0
sh600096,0,0,0,0,0
sz002537,10.18,47846.0,0.0,0.0,0.0
sh600059,6.61,76676.0,0.0,0.0,0.0
sz000957,4.56,81624.0,0.0,0.0,0.0
sh600217,4.13,121422.0,0.0,0.0,0.0
sh600023,4.62,222684.0,0.0,0.0,0.0
sz300543,17.25,91425.0,0.0,0.0,0.0
sh600222,3.48,157296.0,0.0,0.0,0.0
sz300627,16.83,20196.0,0.0,0.0,0.0
sh603933,18.65,257370.0,0.0,0.0,0.0
sh601222,4.96,35712.0,0.0,0.0,0.0
sh603028,7.77,15540.0,0.0,0.0,0.0
sh600083,0,0,0,0,0
sz300392,7.9,4885360.0,0.0,0.0,0.0
sz002732,18.17,76314.0,0.0,0.0,0.0
sh601330,13.4,152760.0,0.0,0.0,0.0
sz002905,13.9,336380.0,0.0,0.0,0.0
sz002750,0,0,0,0,0
sz300641,5.03,25150.0,0.0,0.0,0.0
sz300393,0,0,0,0,0
sh603977,7.05,37365.0,0.0,0.0,0.0
sz300521,9.17,35029.0,0.0,0.0,0.0
sh601966,0,0,0,0,0
sh600668,11.83,318227.0,0.0,0.0,0.0
sh601015,5.42,9214.0,0.0,0.0,0.0
sz300012,6.41,129482.0,0.0,0.0,0.0
sh601398,5.22,700002.0,0.0,0.0,0.0
sz300583,33.12,115920.0,0.0,0.0,0.0
sz002056,5.4,241920.0,0.0,0.0,0.0
sz002499,0,0,0,0,0
sz000628,10.03,23069.0,0.0,0.0,0.0
sz300026,3.13,1252.0,0.0,0.0,0.0
sh600302,4.46,142720.0,0.0,0.0,0.0
sh603035,0,0,0,0,0
sz300578,16.6,4867120.0,0.0,0.0,0.0
sz000895,23.6,594720.0,0.0,0.0,0.0
sz300481,11.07,1107.0,0.0,0.0,0.0
sh600891,6.37,48412.0,0.0,0.0,0.0
sz300626,0,0,0,0,0
sz000703,11.51,166895.0,0.0,0.0,0.0
sz300596,28.6,117260.0,0.0,0.0,0.0
sh603399,9.42,139416.0,0.0,0.0,0.0
sz000090,4.74,4740.0,0.0,0.0,0.0
sh600136,8.4,110040.0,0.0,0.0,0.0
sh603196,9.68,357192.0,0.0,0.0,0.0
sz300676,56.35,264845.0,0.0,0.0,0.0
sz002687,6.41,69869.0,0.0,0.0,0.0
sz300122,39.61,1093236.0,0.0,0.0,0.0
sh603803,11.2,1432480.0,0.0,0.0,0.0
sh600240,2.68,1559492.0,0.0,0.0,0.0
sh601949,4.38,19272.0,0.0,0.0,0.0
sh601333,3.14,202844.0,0.0,0.0,0.0
sh600868,2.78,3058.0,0.0,0.0,0.0
sz002668,5.21,1287391.0,0.0,0.0,0.0
sh603183,18.2,63700.0,0.0,0.0,0.0
sh600791,3.71,28938.0,0.0,0.0,0.0
sh600348,5.12,190464.0,0.0,0.0,0.0
sh603129,16.58,9948.0,0.0,0.0,0.0
sz002267,7.57,199091.0,0.0,0.0,0.0
sz300106,5.25,97650.0,0.0,0.0,0.0
sz002380,0,0,0,0,0
sz002195,3.8,938220.0,0.0,0.0,0.0
sz000539,4.4,20680.0,0.0,0.0,0.0
sh603676,0,0,0,0,0
sz002221,8.03,2409.0,0.0,0.0,0.0
sh600526,4.51,31570.0,0.0,0.0,0.0
sz300518,22.91,215354.0,0.0,0.0,0.0
sh603991,18.76,50652.0,0.0,0.0,0.0
sz000803,0,0,0,0,0
sz000068,4.54,2617310.0,0.0,0.0,0.0
sh603536,8.4,66360.0,0.0,0.0,0.0
sh600219,2.11,1138324.0,0.0,0.0,0.0
sh601999,5.02,5020.0,0.0,0.0,0.0
sz300017,7.54,136474.0,0.0,0.0,0.0
sh600628,6.49,649.0,0.0,0.0,0.0
sh600332,35.67,110577.0,0.0,0.0,0.0
sh600075,0,0,0,0,0
sz002915,23.0,492200.0,0.0,0.0,0.0
sz002724,0,0,0,0,0
sh600000,9.81,988848.0,0.0,0.0,0.0
sh600608,4.22,1266.0,0.0,0.0,0.0
sz300313,6.09,2311764.0,0.0,0.0,0.0
sz300329,0,0,0,0,0
sh600373,12.69,704295.0,0.0,0.0,0.0
sh603017,9.99,118881.0,0.0,0.0,0.0
sh601588,2.71,133061.0,0.0,0.0,0.0
sz002650,3.71,35245.0,0.0,0.0,0.0
sh600971,0,0,0,0,0
sz300282,11.63,34890.0,0.0,0.0,0.0
sh600680,0,0,0,0,0
sh600444,10.42,2084.0,0.0,0.0,0.0
sz000806,4.18,112860.0,0.0,0.0,0.0
sz300706,0,0,0,0,0
sh601199,0,0,0,0,0
sh600589,4.03,41912.0,0.0,0.0,0.0
sh601958,0,0,0,0,0
sz300410,22.41,952425.0,0.0,0.0,0.0
sz002467,5.27,103819.0,0.0,0.0,0.0
sz300259,2.81,656697.0,0.0,0.0,0.0
sz300189,2.58,6966.0,0.0,0.0,0.0
sz002918,0,0,0,0,0
sz300499,15.6,326040.0,0.0,0.01795559,0.01110383
sz002857,12.12,134532.0,0.0,0.0,0.0
sh600139,3.08,109956.0,0.0,0.0,0.0
