,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell,inst_sell
sz000719,7.01,214506.0,0.0,0.0,0.0,0.0
sz300139,8.6,124700.0,0.0,0.0,0.0,0.0
sh600728,9.1,346710.0,0.0,0.0,0.0,0.0
sz300294,31.8,1074840.0,0.0,0.0,0.0,0.0
sh601658,5.83,2781493.0,0.0,0.0,0.0,0.0
sz300801,37.28,298240.0,0.0,0.0,0.0,0.0
sh600543,0,0,0,0,0,0
sz002041,8.2,2344380.0,0.0,0.0,0.0,0.0
sh600337,4.39,524605.0,0.0,0.0,0.0,0.0
sz300236,24.84,146556.0,0.0,0.0,0.0,0.0
sz300104,0,0,0,0,0,0
sz002473,8.62,19826.0,0.0,0.0,0.0,0.0
sz002748,7.1,83780.0,0.0,0.0,0.0,0.0
sz002087,3.45,120750.0,0.0,0.0,0.0,0.0
sz002112,6.78,21696.0,0.0,0.0,0.0,0.0
sz002420,4.07,28083.0,0.0,0.0,0.0,0.0
sz002830,13.8,59340.0,0.0,0.0,0.0,0.0
sh603666,65.68,256152.0,0.0,0.0,0.0,0.0
sz002236,18.95,1373875.0,0.0,0.0,0.0,0.0
sh600161,26.24,215168.0,0.0,0.0,0.0,0.0
sh600458,6.84,210672.0,0.0,0.0,0.0,0.0
sz002282,8.18,22086.0,0.0,0.0,0.0,0.0
sz002479,6.95,2088475.0,0.0,0.0,0.0,0.0
sh603515,26.99,132251.0,0.0,0.0,0.0,0.0
sh600847,10.7,62060.0,0.0,0.0,0.0,0.0
sz002059,4.85,222130.0,0.0,0.0,0.0,0.0
sh600623,0,0,0,0,0,0
sh603355,23.4,285480.0,0.0,0.0,0.0,0.0
sz002128,8.24,233192.0,0.0,0.0,0.0,0.0
sh600706,8.49,84900.0,0.0,0.0,0.0,0.0
sh603131,0,0,0,0,0,0
sz002760,17.9,750010.0,0.0,0.0,0.0,0.0
sz300260,0,0,0,0,0,0
sz002522,6.1,181170.0,0.0,0.0,0.0,0.0
sh603823,23.64,80376.0,0.0,0.0,0.0,0.0
sz300130,17.11,420906.0,0.0,0.0,0.0,0.0
sz002645,7.96,42984.0,0.0,0.0,0.0,0.0
sz000633,0,0,0,0,0,0
sh603676,10.22,15330.0,0.0,0.0,0.0,0.0
sz002853,17.41,31338.0,0.0,0.0,0.0,0.0
sz002700,7.63,56462.0,0.0,0.0,0.0,0.0
sz300719,11.5,127650.0,0.0,0.0,0.0,0.0
sz300105,4.24,43248.0,0.0,0.0,0.0,0.0
sz300404,13.17,1317.0,0.0,0.0,0.0,0.0
sh600081,11.8,1738140.0,0.0,0.0,0.0,0.0
sz002908,12.66,75960.0,0.0,0.0,0.0,0.0
sz300632,23.85,2816685.0,0.0,0.0,0.0,0.0
sh601882,7.05,14100.0,0.0,0.0,0.0,0.0
sz000848,7.63,284599.0,0.0,0.0,0.0,0.0
sh603569,0,0,0,0,0,0
sz002166,7.16,17184.0,0.0,0.0,0.0,0.0
sz002017,15.53,455029.0,0.0,0.0,0.0,0.0
sz002089,1.89,733887.0,0.0,0.0,0.0,0.0
sh600152,6.34,1959060.0,0.0,0.0,0.0,0.0
sz300050,5.6,224000.0,0.0,0.0,0.0,0.0
