,kaipan_price,kaipan_money,sell_amount
sh600373,15.17,1826468,0.01610385
sh603017,15.28,1101688,0.0005516000000000001
sh601588,3.49,920313,0.026625100000000002
sz002650,4.11,426618,0.02276586
sh600971,7.85,8065090,0.00084048
sz300282,13.65,468195,0.0004209
sh600680,0.0,0.0,0.0
sh600444,11.77,107107,0.02253284
sz000806,6.07,448573,0.09015771
sz300706,28.76,324988,0.00011852
sh601199,4.3,43430,0.01071599
sh600589,5.78,889542,0.00500384
sh601958,6.94,530216,0.01394175
sz300410,22.65,983010,0.024409789999999997
sz002467,7.17,7564350,0.38134362
sz300259,3.88,272764,0.00024644
sz300189,4.56,2198832,0.0217075
sz002918,23.69,1333747,0.00367774
sz300499,16.08,19296,0.0034776000000000004
sz002857,14.21,987027,0.0014831999999999998
sh600139,4.59,214353,0.003585
sz300257,14.12,148260,0.0028712000000000004
sz300247,4.29,1651221,0.0019032199999999997
sh601169,6.21,4684824,0.005283520000000001
sh600678,7.06,446898,0.00012376
sz000630,2.61,5259145,0.00631212
sz000929,8.09,80900,5.789e-05
sh600558,4.47,699108,0.01525212
sz002033,7.05,279885,0.03519636
sh600722,6.68,1961916,0.022253
sz000156,12.25,2840775,0.01394024
sz002737,18.73,1457194,0.00190872
sz300319,7.9,1219760,0.00420288
sh600237,4.49,200254,0.0020648
sh601669,5.78,1584876,0.02110482
sh603012,8.92,97228,0.02459664
sz300748,24.95,623750,0.00020696
sz002761,0.0,0.0,0.0
sz002843,17.3,1048380,0.00148238
sz300351,10.54,569160,0.0062764000000000006
sz002143,3.89,984170,0.0025666
sz002441,8.2,409738,0.020537220000000002
sz000415,4.68,924300,0.03537024
sh600853,4.49,1063681,0.00291279
sh600275,3.01,8729,0.0030332400000000004
sz300251,8.77,2349483,0.0204497
sh601003,7.92,3868920,0.00829008
sh601007,10.31,535089,0.00397296
sz002572,26.46,7403508,0.000698
sz300136,29.01,5000773,0.0630135
sh603626,10.04,185740,0.00135454
sh600665,4.36,404608,0.005975070000000001
sh600883,7.69,61520,0.00016947
sz000993,8.02,4336839,0.01328816
sh601339,5.71,332893,0.0010106100000000001
sz000158,6.87,597690,0.019607799999999998
sz002751,26.9,1283130,0.02092788
sz300162,6.27,637659,1.278e-05
sh600016,6.39,21616859,0.34499542
sh600449,9.53,417900,0.0033694000000000003
sz002819,24.31,41327,0.0009287000000000001
sh603336,18.9,2695140,0.0029260799999999997
sh600393,2.86,1944514,0.02879192
sz000507,7.95,679725,0.05705473
sz300516,38.24,1441648,0.00097608
sz000881,9.38,516838,0.04694417
sz300183,15.26,1155182,0.006388
sh603822,30.07,105245,0.005425
sz000738,15.68,387296,0.005989200000000001
sh603010,15.97,626024,0.04421196000000001
sz300339,13.5,17155800,0.03759118
sz002619,4.45,680450,0.00414439
sh600817,8.63,94067,0.00056196
sz002902,28.0,336000,0.00060228
sz300470,27.83,807070,0.00885285
sh603959,18.9,37800,0.00570471
sz002498,3.07,428572,0.001872
sz000930,8.68,900984,0.00676758
sz300399,13.16,1302840,0.00012438
sh603023,5.95,305830,0.0014144000000000001
sh603225,14.62,700006,0.0035626
sz002243,20.28,2395068,0.007877760000000001
sz002201,7.94,25408,0.0038292300000000003
sz002494,6.59,856700,0.010891540000000002
sz000523,5.75,342125,1.184e-05
sh601066,26.0,50411400,0.00387186
sh600620,8.01,238698,0.00174933
sh603338,82.96,738344,0.0010254
sz002708,9.79,1271721,0.008094239999999999
sz300015,34.27,2781490,0.0031374000000000003
sh603456,9.37,33732,0.005697719999999999
sz002673,11.55,8841525,0.07083959999999999
sh603969,6.46,12665476,0.047038199999999995
sh603922,22.75,3030300,0.00223535
sz300587,22.46,116792,0.0018678599999999998
sh600540,5.04,200088,0.00032115999999999997
sh600037,11.88,494208,0.00157952
