,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell,inst_sell,cost
sz000719,6.88,44032.0,0.0,0.0,0.0,0.0,6.904679381846636
sz300139,9.88,90896.0,0.0,0.0,0.0,0.0,9.723386390269988
sh600728,7.38,619920.0,0.0,0.0,0.0,0.0,7.448936827040515
sz300294,33.44,267520.0,0.0,0.0,0.0,0.0,32.88332684550506
sh601658,0,0,0,0,0,0,0
sz300801,20.3,2030.0,0.0,0.0,0.0,0.0,20.28875194813291
sh600543,0,0,0,0,0,0,0
sz002041,0,0,0,0,0,0,0
sh600337,5.46,120120.0,0.0,0.0,0.0,0.0,5.445743127534925
sz300236,52.49,2414540.0,0.0,0.0,0.0,0.0,52.17200393249222
sz002473,0.0,0.0,0.0,0.0,0.0,0.0,5.203040807371654
sz300873,42.36,2872008.0,0.0,0.0,0.0,0.0,42.73184713375796
sz002748,5.61,35343.0,0.0,0.0,0.0,0.0,5.713881146786175
sz002087,3.72,21948.0,0.0,0.0,0.0,0.0,3.7138858497555196
sz002112,7.59,24288.0,0.0,0.0,0.0,0.0,7.582891331045123
sz002420,0.0,0.0,0.0,0.0,0.0,0.0,4.102311549660304
sz002830,0,0,0,0,0,0,0
sh603666,0,0,0,0,0,0,0
sz002236,24.1,9148360.0,0.0,0.0,0.0,0.0,24.341654139432105
sh600161,39.87,1855271.0,0.0,0.0,0.0,0.0,39.70036499404259
sh600458,0,0,0,0,0,0,0
sz002282,0.0,0.0,0.0,0.0,0.0,0.0,10.1695736142463
sz002479,5.6,39760.0,0.0,0.0,0.0,0.0,5.5856051960019855
sh603515,30.55,149695.0,0.0,0.0,0.0,0.0,30.512747657295854
sh600847,9.39,1631982.0,230.71666666666667,0.00588074,0.1292275,0.03391,9.89197711171662
sz002059,4.42,18122.0,0.0,0.0,0.0,0.0,4.383375378761187
sh600623,5.75,108100.0,0.0,0.0,0.0,0.0,5.861635487580077
sh603355,30.75,21525.0,0.0,0.0,0.0,0.0,30.532216331940056
sz002128,9.98,881234.0,0.0,0.0,0.0,0.0,10.145423355858112
sh600706,6.53,27426.0,0.0,0.0,0.0,0.0,6.503562528841718
sh603131,0,0,0,0,0,0,0
sz002760,17.81,14248.0,0.0,0.0,0.0,0.0,18.231599591593636
sz300260,16.23,142824.0,0.0,0.0,0.0,0.0,16.118617499032133
sz002522,5.93,99624.0,0.0,0.0,0.0,0.0,5.942738171129055
sh603823,0.0,0.0,0.0,0.0,0.0,0.0,14.315330298656603
sz300130,10.44,31320.0,0.0,0.0,0.0,0.0,10.64421598179732
sz002645,9.0,1392300.0,108.05,0.26153344,0.65801656,0.22492267,9.587936673396877
sz000633,6.36,3704700.0,0.0,0.0,0.0,0.0,6.40971971539434
sh603676,8.29,5803.0,0.0,0.0,0.0,0.0,8.262776773156519
sz002853,25.18,15108.0,0.0,0.0,0.0,0.0,26.011658646925767
sz002700,0.0,0.0,0.0,0.0,0.0,0.0,3.5612842342804396
sz300826,28.73,22984.0,0.0,0.0,0.0,0.0,29.04147313040211
sz300719,17.21,75724.0,0.0,0.0,0.0,0.0,17.309476085073623
sz300105,0.0,0.0,0.0,0.0,0.0,0.0,4.132683771942385
sz300404,10.91,152740.0,0.0,0.0,0.0,0.0,11.326518017009848
sh600081,13.66,1020402.0,0.0,0.0,0.0,0.0,13.44261710931324
sz002908,0,0,0,0,0,0,0
sz300632,13.48,198156.0,0.0,0.0,0.0,0.0,13.516126068485438
sh601882,0,0,0,0,0,0,0
sz000848,6.77,530091.0,0.0,0.0,0.0,0.0,6.763044140364749
sh603569,0,0,0,0,0,0,0
sz002166,7.45,79715.0,0.0,0.0,0.0,0.0,7.570426931004023
sz002017,10.83,1275774.0,0.0,0.0,0.0,0.0,11.018534409914562
sz002089,0,0,0,0,0,0,0
sh600152,6.18,106296.0,0.0,0.0,0.0,0.0,6.219290544869512
sz300050,5.86,886618.0,0.0,0.0,0.0,0.0,5.880007044760743
sz300367,3.23,84626.0,0.0,0.0,0.0,0.0,3.2959535430381144
sh600252,2.89,51442.0,0.0,0.0,0.0,0.0,2.8889027067100828
sz003004,29.45,197315.0,0.0,0.0,0.0,0.0,29.98140718407236
sh603256,0,0,0,0,0,0,0
sz300527,9.25,356125.0,0.0,0.0,0.0,0.0,9.292927562895148
sh601038,10.04,284132.0,0.0,0.0,0.0,0.0,10.019594978641793
sz300604,35.96,284084.0,0.0,0.0,0.0,0.0,35.41148090885665
sh600107,9.08,41768.0,0.0,0.0,0.0,0.0,9.012473139327504
sz300111,3.04,5472.0,0.0,0.0,0.0,0.0,3.050033579583613
sh603466,0,0,0,0,0,0,0
sh600188,10.09,2345935.0,0.0,0.0,0.0,0.0,10.231308098024416
sz002903,13.63,147204.0,0.0,0.0,0.0,0.0,13.67214073840328
sz002062,4.07,4884.0,0.0,0.0,0.0,0.0,4.07379234629862
sz002012,5.71,127333.0,0.0,0.0,0.0,0.0,5.659335482690168
sz002149,14.3,2868580.0,106.48333333333333,0.63636984,1.25408446,0.50855175,15.199508361332473
sz300830,0,0,0,0,0,0,0
sz001896,8.0,30130280.0,0.0,0.0,0.0,0.0,7.939917743116498
sz002045,10.92,9771216.0,0.0,0.0,0.0,0.0,10.8644748650258
sz002610,2.63,1447289.0,0.0,0.0,0.0,0.0,2.6215147726391197
sz002801,37.7,410930.0,0.0,0.0,0.0,0.0,36.81495235939799
sz000533,2.74,2740.0,0.0,0.0,0.0,0.0,2.784047053723608
sz002155,7.92,821740.0,0.0,0.0,0.0,0.0,7.950304278468078
sh600084,2.21,95030.0,0.0,0.0,0.0,0.0,2.2355009456379418
sz002728,11.2,2240.0,0.0,0.0,0.0,0.0,11.17533906399236
sh603767,0,0,0,0,0,0,0
sh600121,7.15,11114675.0,0.0,0.0,0.0,0.0,7.187843815970019
sh600746,6.7,325620.0,0.0,0.0,0.0,0.0,6.739687105101147
sz000006,5.31,28143.0,0.0,0.0,0.0,0.0,5.333560938463211
sh600196,50.7,29770482.0,0.0,0.0,0.0,0.0,50.69783407703877
sh605050,10.96,14248.0,0.0,0.0,0.0,0.0,10.890731242312421
sz300489,25.41,1115499.0,0.0,0.0,0.0,0.0,25.564983930449205
sh600808,0,0,0,0,0,0,0
sz300092,9.09,186345.0,0.0,0.0,0.0,0.0,9.232161168099067
sz300550,17.13,5139.0,0.0,0.0,0.0,0.0,17.266784776902885
sz300767,101.01,565656.0,0.0,0.0,0.0,0.0,99.66772733513339
sh600829,6.39,10224.0,0.0,0.0,0.0,0.0,6.354821859395163
sh600691,2.64,8293296.0,0.0,0.0,0.0,0.0,2.6238859701614135
sz300278,4.23,1563831.0,0.0,0.0,0.0,0.0,4.194392207379957
sz000520,3.2,13760.0,0.0,0.0,0.0,0.0,3.2126475892038897
sz002840,9.17,26593.0,0.0,0.0,0.0,0.0,9.23393659942363
sz002960,33.23,26584.0,0.0,0.0,0.0,0.0,34.75395073600119
sz000868,3.72,94488.0,0.0,0.0,0.0,0.0,3.719942028985507
sh600567,3.18,938240.0,0.0,0.0,0.0,0.0,3.17249124778922
sz000778,3.81,622935.0,0.0,0.0,0.0,0.0,3.8203195138248116
sz000786,50.99,2447520.0,0.0,0.0,0.0,0.0,51.04062428235468
sh603118,0,0,0,0,0,0,0
sh600023,3.59,122060.0,0.0,0.0,0.0,0.0,3.5851510368307022
sz000590,8.66,143756.0,0.0,0.0,0.0,0.0,8.499157417352906
sz002580,5.75,292675.0,0.0,0.0,0.0,0.0,5.743960250068479
sz002266,4.71,462051.0,0.0,0.0,0.0,0.0,4.786020107976823
sh600880,3.68,44568.0,0.0,0.0,0.0,0.0,3.6571191043353974
sh601965,18.59,1018732.0,0.0,0.0,0.0,0.0,18.64122794162921
sz300175,4.88,186904.0,0.0,0.0,0.0,0.0,5.136200780874995
sz000559,5.23,325829.0,0.0,0.0,0.0,0.0,5.180505053790546
sh600517,6.2,856220.0,0.0,0.0,0.0,0.0,6.235617609254499
sh603819,0,0,0,0,0,0,0
