,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell,inst_sell
sh603076,24.45,68460.0,0.0,0.0,0.0,0.0
sz300240,7.61,10654.0,0.0,0.0,0.0,0.0
sz000893,0,0,0,0,0,0
sh600185,4.04,265024.0,0.0,0.0,0.0,0.0
sz002468,16.62,19944.0,0.0,0.0,0.0,0.0
sh601225,7.5,467250.0,0.0,0.0,0.0,0.0
sz000966,3.52,37312.0,0.0,0.0,0.0,0.0
sz002424,8.96,46592.0,0.0,0.0,0.0,0.0
sz002305,2.92,3400048.0,0.0,0.0,0.0,0.0
sh600157,1.4,13794480.0,0.0,0.0,0.0,0.0
sh603918,0,0,0,0,0,0
sz300701,32.4,171720.0,0.0,0.0,0.0,0.0
sz000403,0,0,0,0,0,0
sz300717,14.43,31746.0,0.0,0.0,0.0,0.0
sh600536,22.69,1011974.0,0.0,0.0,0.0,0.0
sh603477,7.67,143429.0,0.0,0.0,0.0,0.0
sz000996,8.34,60048.0,0.0,0.0,0.0,0.0
sz002524,4.66,68036.0,0.0,0.0,0.0,0.0
sh600896,0,0,0,0,0,0
sz002606,6.75,937575.0,0.0,0.0,0.0,0.0
sh600487,17.28,850176.0,0.0,0.0,0.0,0.0
sz300094,5.13,52839.0,0.0,0.0,0.0,0.0
sz000766,6.82,619256.0,0.0,0.0,0.0,0.0
sz002791,9.78,12714.0,0.0,0.0,0.0,0.0
sh600313,2.17,35805.0,0.0,0.0,0.0,0.0
sh600186,1.88,89112.0,0.0,0.0,0.0,0.0
sh600196,23.42,271672.0,0.0,0.0,0.0,0.0
sh600137,0,0,0,0,0,0
sz000528,6.13,401822.0,0.0,0.0,0.0,0.0
sh600612,43.5,30450.0,0.0,0.0,0.0,0.0
sh600814,5.07,507.0,0.0,0.0,0.0,0.0
sz000639,6.46,7752.0,0.0,0.0,0.0,0.0
sz002845,16.9,4444700.0,0.0,0.0,0.0,0.0
sh603818,6.67,46690.0,0.0,0.0,0.0,0.0
sh600520,12.96,261792.0,0.0,0.0,0.0,0.0
sz002680,0,0,0,0,0,0
sz000564,2.53,50094.0,0.0,0.0,0.0,0.0
sh601969,4.45,31150.0,0.0,0.0,0.0,0.0
sh603518,0,0,0,0,0,0
sz002877,14.79,105009.0,0.0,0.0,0.0,0.0
sz002299,16.69,35049.0,0.0,0.0,0.0,0.0
sz000998,14.88,163680.0,0.0,0.0,0.0,0.0
sz300347,43.09,86180.0,0.0,0.0,0.0,0.0
sh600826,9.36,32760.0,0.0,0.0,0.0,0.0
sh601633,5.57,140364.0,0.0,0.0,0.0,0.0
sh603900,12.0,279600.0,0.0,0.0,0.0,0.0
sz300508,25.01,42517.0,0.0,0.0,0.0,0.0
sz300384,11.68,142496.0,0.0,0.0,0.0,0.0
sz002640,10.79,28054.0,0.0,0.0,0.0,0.0
sz002415,26.01,3863551.0,0.0,0.0,0.0,0.0
sh600645,16.12,1612.0,0.0,0.0,0.0,0.0
sz002469,3.82,1910.0,0.0,0.0,0.0,0.0
sz002827,13.9,11120.0,0.0,0.0,0.0,0.0
sz300636,0,0,0,0,0,0
sz000890,4.24,62328.0,0.0,0.0,0.0,0.0
sh603026,19.19,31625.0,0.0,0.0,0.0,0.0
sh600539,0,0,0,0,0,0
sz000925,5.85,444015.0,0.0,0.0,0.0,0.0
sz002459,8.47,597135.0,0.0,0.0,0.0,0.0
sh603388,10.15,116725.0,0.0,0.0,0.0,0.0
sz300221,4.95,790515.0,0.0,0.0,0.0,0.0
sz000970,7.51,34546.0,0.0,0.0,0.0,0.0
sz002775,6.0,105600.0,0.0,0.0,0.0,0.0
sz300463,14.48,11584.0,0.0,0.0,0.0,0.0
sh603110,10.63,43583.0,0.0,0.0,0.0,0.0
sz000089,7.74,19350.0,0.0,0.0,0.0,0.0
sh603116,0,0,0,0,0,0
sh603500,10.66,324064.0,0.0,0.0,0.0,0.0
sh600854,3.47,48927.0,0.0,0.0,0.0,0.0
sh600009,51.5,185400.0,0.0,0.0,0.0,0.0
sz000936,6.0,538200.0,0.0,0.0,0.0,0.0
sz300243,7.79,366909.0,0.0,0.0,0.0,0.0
sh600962,7.3,2190.0,0.0,0.0,0.0,0.0
sh600893,21.48,143916.0,0.0,0.0,0.0,0.0
sh603556,12.78,138024.0,0.0,0.0,0.0,0.0
sz300545,20.69,44053148.0,244.3,0.0,2.07486004,1.23041237
sz002037,0,0,0,0,0,0
sh603021,5.8,35380.0,0.0,0.0,0.0,0.0
sh600619,8.42,69044.0,0.0,0.0,0.0,0.0
sh600096,4.84,484.0,0.0,0.0,0.0,0.0
sz002537,0,0,0,0,0,0
sh600059,6.55,7860.0,0.0,0.0,0.0,0.0
sz000957,4.44,4884.0,0.0,0.0,0.0,0.0
sh600217,4.06,24360.0,0.0,0.0,0.0,0.0
sh600023,4.66,22368.0,0.0,0.0,0.0,0.0
sz300543,17.43,135954.0,0.0,0.0,0.0,0.0
sh600222,0,0,0,0,0,0
sz300627,17.4,3286860.0,0.0,0.0,0.0,0.0
sh603933,18.31,188593.0,0.0,0.0,0.0,0.0
sh601222,4.81,105820.0,0.0,0.0,0.0,0.0
sh603028,7.21,52633.0,0.0,0.0,0.0,0.0
sh600083,0,0,0,0,0,0
sz300392,7.72,884712.0,0.0,0.0,0.0,0.0
sz002732,0,0,0,0,0,0
sh601330,13.14,315360.0,0.0,0.0,0.0,0.0
sz002905,13.51,1325331.0,0.0,0.0,0.0,0.0
sz002750,0,0,0,0,0,0
sz300641,4.93,9860.0,0.0,0.0,0.0,0.0
sz300393,0,0,0,0,0,0
sh603977,6.9,4002.0,0.0,0.0,0.0,0.0
sz300521,8.74,29716.0,0.0,0.0,0.0,0.0
sh601966,0,0,0,0,0,0
sh600668,11.81,193908.0,0.0,0.0,0.0,0.0
sh601015,5.3,22790.0,0.0,0.0,0.0,0.0
sz300012,6.35,389255.0,0.0,0.0,0.0,0.0
sh601398,5.3,1655190.0,0.0,0.0,0.0,0.0
sz300583,33.01,168351.0,0.0,0.0,0.0,0.0
sz002056,5.44,54400.0,0.0,0.0,0.0,0.0
sz002499,0,0,0,0,0,0
sz000628,9.85,224580.0,0.0,0.0,0.0,0.0
sz300026,3.09,6180.0,0.0,0.0,0.0,0.0
sh600302,4.4,22000.0,0.0,0.0,0.0,0.0
sh603035,12.1,4840.0,0.0,0.0,0.0,0.0
sz300578,16.35,1576140.0,0.0,0.0,0.0,0.0
sz000895,23.64,527172.0,0.0,0.0,0.0,0.0
sz300481,10.8,37800.0,0.0,0.0,0.0,0.0
sh600891,6.63,351390.0,0.0,0.0,0.0,0.0
sz300626,9.06,183012.0,0.0,0.0,0.0,0.0
sz000703,11.63,240741.0,0.0,0.0,0.0,0.0
sz300596,30.46,88334.0,0.0,0.0,0.0,0.0
sh603399,9.41,136445.0,0.0,0.0,0.0,0.0
sz000090,0,0,0,0,0,0
sh600136,0,0,0,0,0,0
sh603196,11.65,5841310.0,204.13333333333333,0.10571973,0.39668672,0.17998192
sz300676,56.5,740150.0,0.0,0.0,0.0,0.0
sz002687,6.22,503198.0,0.0,0.0,0.0,0.0
sz300122,37.88,1083368.0,0.0,0.0,0.0,0.0
sh603803,10.56,401280.0,0.0,0.0,0.0,0.0
sh600240,2.55,1292340.0,0.0,0.0,0.0,0.0
sh601949,4.42,41990.0,0.0,0.0,0.0,0.0
sh601333,3.17,195589.0,0.0,0.0,0.0,0.0
sh600868,2.79,112158.0,0.0,0.0,0.0,0.0
sz002668,5.03,650882.0,0.0,0.0,0.0,0.0
sh603183,17.99,16191.0,0.0,0.0,0.0,0.0
sh600791,3.66,5124.0,0.0,0.0,0.0,0.0
sh600348,5.01,151302.0,0.0,0.0,0.0,0.0
sh603129,16.02,24030.0,0.0,0.0,0.0,0.0
sz002267,7.51,297396.0,0.0,0.0,0.0,0.0
sz300106,5.22,44370.0,0.0,0.0,0.0,0.0
sz002380,10.53,24219.0,0.0,0.0,0.0,0.0
sz002195,3.72,543492.0,0.0,0.0,0.0,0.0
sz000539,4.46,892.0,0.0,0.0,0.0,0.0
sh603676,0,0,0,0,0,0
sz002221,7.97,20722.0,0.0,0.0,0.0,0.0
sh600526,4.45,23585.0,0.0,0.0,0.0,0.0
sz300518,22.61,74613.0,0.0,0.0,0.0,0.0
sh603991,18.43,1843.0,0.0,0.0,0.0,0.0
sz000803,12.59,242987.0,0.0,0.0,0.0,0.0
sz000068,4.27,4322948.0,0.0,0.0,0.0,0.0
sh603536,8.31,12465.0,0.0,0.0,0.0,0.0
sh600219,2.11,298565.0,0.0,0.0,0.0,0.0
sh601999,5.08,508.0,0.0,0.0,0.0,0.0
sz300017,7.8,3401206.0,0.0,0.0,0.0,0.0
sh600628,0,0,0,0,0,0
sh600332,34.98,2172258.0,0.0,0.0,0.0,0.0
sh600075,4.57,413585.0,0.0,0.0,0.0,0.0
sz002915,22.4,62720.0,0.0,0.0,0.0,0.0
sz002724,0,0,0,0,0,0
sh600000,9.72,685260.0,0.0,0.0,0.0,0.0
sh600608,0,0,0,0,0,0
sz300313,6.49,252461.0,0.0,0.0,0.0,0.0
sz300329,7.08,3540.0,0.0,0.0,0.0,0.0
sh600373,13.07,182980.0,0.0,0.0,0.0,0.0
