,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell
sh603076,28.72,996584.0,0.0,0.00048995,0.0001731
sz300240,8.25,509850.0,0.1,0.00861475,0.00092959
sz000893,0.0,0.0,0.11666666666666667,0.0010212,0.00076362
sh600185,4.85,108155.0,0.8,0.08184786,0.0283522
sz002468,24.73,178596820.0,238.5,0.00059352,3.92931046
sh601225,8.8,6697680.0,0.03333333333333333,0.0276118,0.00552914
sz000966,4.11,323457.0,3.066666666666667,0.00560202,0.01795747
sz002424,10.61,341642.0,0.03333333333333333,0.00185083,0.00396202
sz002305,3.26,2071404.0,1.4333333333333333,0.03067096,0.01263999
sh600157,2.42,9094844.0,0.0,0.34369034,0.04597557
sh603918,15.09,175044.0,0.2833333333333333,0.00302022,0.00322303
sz300701,39.1,1388050.0,0.0,0.0214787,0.00106117
sz000403,27.3,27300.0,0.0,5.49e-05,0.00060379
sz300717,16.6,151060.0,0.0,0.00322166,0.00066179
sh600536,46.71,25578256.0,214.71666666666667,1.20030472,8.13145738
sh603477,8.75,911750.0,0.65,0.00089985,0.00391294
sz000996,15.2,3942880.0,0.0,0.00843625,0.00798345
sz002524,5.3,847470.0,0.23333333333333334,0.00199729,0.00343727
sh600896,5.5,576950.0,0.5,0.0002776,0.0034302
sz002606,7.56,10643739.0,0.1,0.05988579,0.06954322
sh600487,22.94,54157348.0,0.0,0.01150921,0.01150921
sz300094,6.58,119756.0,0.0,0.00319936,0.00046458
sz000766,7.8,99840.0,3.7,0.00461395,0.02572511
sz002791,13.55,268290.0,0.25,0.01599334,0.00350562
sh600313,2.96,1121100.0,0.8333333333333333,0.015877330000000002,0.012070659999999999
sh600186,2.44,4200460.0,0.05,0.01448229,0.02013793
sh600196,29.19,11898574.0,0.05,0.03538585,0.05301245
sh600137,14.98,314580.0,0.0,0.00115006,0.00108806
sz000528,7.42,2082571.0,0.5,0.00138749,0.02758885
sh600612,40.85,343140.0,0.18333333333333332,0.00499592,0.00908472
sh600814,6.0,246000.0,0.4,0.0062305400000000006,0.00505171
sz000639,8.77,771760.0,0.11666666666666667,0.00209832,0.00347307
sz002845,20.58,1736952.0,0.05,0.00039643,0.00404825
sh603818,8.19,27846.0,0.0,0.00317757,0.00021775
sh600520,16.25,2897375.0,0.0,0.00212067,0.00021711
sz002680,0,0,0,0,0
sz000564,3.79,3118791.0,0.5,0.00906672,0.00820156
sh601969,5.39,189728.0,0.05,0.00486801,0.00708811
sh603518,16.29,263898.0,0.0,0.00487083,0.0006567
sz002877,16.72,1548272.0,0.25,0.0040051,0.01159303
sz002299,30.55,4680260.0,120.5,0.20200915,3.21082369
sz000998,15.65,348995.0,0.21666666666666667,0.01061571,0.00522054
sz300347,63.35,1152970.0,0.15,0.00329462,0.00840105
sh600826,11.9,1168580.0,0.0,0.017817899999999998,0.01103432
sh601633,7.63,1741929.0,0.4166666666666667,0.01486941,0.0159844
sh603900,14.38,211386.0,0.06666666666666667,0.01421206,0.00016687
sz300508,28.98,208656.0,0.2,0.00121969,0.00521315
sz300384,16.55,1150225.0,0.0,0.00666594,0.00025453
sz002640,13.29,8746149.0,0.0,0.00937614,0.00937614
sz002415,35.46,14148540.0,0.0,0.78779046,0.02164658
sh600645,22.9,5553250.0,0.0,0.00622132,0.00070716
sz002469,4.83,363699.0,0.0,0.0035763,0.00014597
sz002827,15.8,1183420.0,0.0,0.00037237,0.00037237
sz300636,20.05,4010.0,0.45,0.00322037,0.00051675
sz000890,6.42,467376.0,0.0,0.08169612,0.08169612
sh603026,23.48,648048.0,0.0,0.0007365,0.0007365
sh600539,7.13,7130.0,0.0,0.00485718,0.0001458
sz000925,8.55,1642455.0,0.08333333333333333,0.00912376,0.0187459
sz002459,13.18,835612.0,0.2,0.02896787,0.00791017
sh603388,12.38,225316.0,0.0,0.0,0.00225316
sz300221,7.68,450048.0,0.05,0.00654969,0.00181001
sz000970,10.2,1936980.0,0.0,0.01949793,0.00145929
sz002775,7.2,208080.0,0.0,0.00453629,0.00040318
sz300463,20.22,590424.0,0.0,0.00107983,0.00107983
sh603110,13.37,100275.0,0.18333333333333332,0.00092349,0.00028539
sz000089,9.45,1585710.0,0.03333333333333333,0.00609207,0.0021398
sh603116,8.7,392370.0,0.0,0.00036066,0.00033977
sh603500,13.08,642228.0,0.2,0.00202393,0.00840348
sh600854,4.45,392490.0,2.933333333333333,0.01680339,0.0052275
sh600009,57.8,3924620.0,0.0,0.0,0.0392462
sz000936,10.38,13660080.0,0.0,0.09233368,0.00771083
sz300243,10.02,430860.0,0.1,0.00144322,0.0027065
sh600962,9.99,367632.0,0.26666666666666666,0.00211558,0.00187291
sh600893,26.3,6509250.0,0.0,0.03414788,0.03414788
sh603556,19.5,7997340.0,11.35,0.00060418,0.75507104
sz300545,34.1,1118480.0,0.05,0.02204202,0.00486299
sz002037,9.84,199752.0,0.0,0.0049524,0.00756012
sh603021,7.11,263070.0,0.08333333333333333,0.00560793,0.00241085
sh600619,9.58,443554.0,0.0,0.00540011,0.00210167
sh600096,7.01,593747.0,0.05,0.01095316,0.01007973
sz002537,13.06,639940.0,0.11666666666666667,0.01319538,0.04066187
sh600059,7.71,165765.0,1.4333333333333333,0.00888527,0.02586794
sz000957,8.05,2229045.0,0.05,0.00139026,0.00447337
sh600217,5.6,236880.0,0.0,0.01238126,0.00056136
sh600023,4.88,1567944.0,0.21666666666666667,0.03323833,0.0184039
sz300543,20.31,412293.0,0.05,0.011973,0.00588444
sh600222,4.85,18915.0,0.0,0.00322052,0.00086702
sz300627,21.99,351840.0,0.0,0.00179751,0.00179751
sh603933,21.56,202664.0,0.0,0.00239226,0.0002177
sh601222,6.58,45692836.0,0.0,0.01429447,0.01429447
sh603028,8.88,291264.0,0.0,0.0003621,9.06e-05
sh600083,17.86,1952098.0,0.55,0.01558986,0.00150208
sz300392,8.9,791210.0,0.0,0.00479712,0.00341125
sz002732,19.9,750230.0,0.06666666666666667,0.00170422,0.00266958
sh601330,14.08,1243264.0,0.0,0.0183032,0.00591268
sz002905,15.81,129642.0,0.1,0.00486606,0.01194576
sz002750,16.0,23323200.0,6.866666666666667,0.09500839,1.3378115400000001
sz300641,6.05,376310.0,6.6499999999999995,0.014204709999999999,0.01689534
sz300393,25.11,605151.0,0.0,0.00359452,0.0033169
sh603977,8.16,143616.0,0.18333333333333332,0.00383386,0.00026848
sz300521,11.93,440217.0,0.0,0.0045173,0.00743352
