,kaipan_price,kaipan_money
sh603076,27.23,5446
sz300240,8.39,22653
sz000893,5.12,3593728
sh600185,5.25,597975
sz002468,22.55,423940
sh601225,8.87,1303003
sz000966,4.33,56290
sz002424,10.42,202148
sz002305,3.28,1401216
sh600157,2.3,7419340
sh603918,15.0,60000
sz300701,38.44,392088
sz000403,27.58,55160
sz300717,17.59,304307
sh600536,53.0,52370307
sh603477,8.94,120690
sz000996,14.51,1802142
sz002524,5.92,2766416
sh600896,5.48,23564
sz002606,7.76,540872
sh600487,21.89,4142026
sz300094,6.58,94094
sz000766,7.6,539600
sz002791,13.09,82467
sh600313,2.98,385016
sh600186,2.28,629052
sh600196,29.81,4039255
sh600137,16.13,167752
sz000528,7.92,852984
sh600612,42.61,289748
sh600814,6.2,378820
sz000639,9.16,187780
sz002845,21.81,1958538
sh603818,8.3,64740
sh600520,15.05,565880
sz002680,0.0,0.0
sz000564,3.86,2524826
sh601969,5.7,99180
sh603518,16.96,91584
sz002877,16.84,80832
sz002299,26.64,2301696
sz000998,16.84,710648
sz300347,63.77,1798314
sh600826,12.0,364800
sh601633,7.74,570438
sh603900,14.5,227650
sz300508,28.49,222222
sz300384,16.74,55242
sz002640,12.14,938422
sz002415,35.3,6046996
sh600645,22.54,734804
sz002469,4.83,344862
sz002827,16.98,1100304
sz300636,20.79,74844
sz000890,6.63,572832
sh603026,25.84,519384
sh600539,7.61,311249
sz000925,8.32,2037734
sz002459,12.66,207624
sh603388,12.3,30750
sz300221,7.65,639540
sz000970,10.24,712909
sz002775,7.29,85293
sz300463,20.01,14007
sh603110,13.75,79750
sz000089,9.78,464550
sh603116,8.84,93704
sh603500,13.6,285600
sh600854,4.6,420900
sh600009,58.06,307718
sz000936,10.4,5008640
sz300243,10.05,48240
sh600962,9.95,199000
sh600893,25.84,498712
sh603556,16.25,118625
sz300545,32.64,460224
sz002037,10.27,58539
sh603021,7.16,87352
sh600619,9.82,147300
sh600096,6.92,1797124
sz002537,12.11,293062
sh600059,8.12,391384
sz000957,8.05,140875
sh600217,5.68,134616
sh600023,4.93,430882
sz300543,20.06,84252
sh600222,5.02,1468852
sz300627,20.27,46621
sh603933,21.38,57726
sh601222,5.98,725972
sh603028,9.04,209728
sh600083,18.71,93550
sz300392,8.78,347688
sz002732,19.6,64680
sh601330,14.01,2909877
sz002905,17.38,391050
sz002750,18.0,36671400
sz300641,6.13,82755
sz300393,23.34,51348
sh603977,8.79,332262
sz300521,12.42,109296
sh601966,17.2,172000
sh600668,14.47,557095
sh601015,6.36,691332
sz300012,8.89,320929
sh601398,5.59,5144477
sz300583,37.92,37920
sz002056,7.26,352836
sz002499,9.2,452640
sz000628,11.25,528750
sz300026,3.62,1012514
sh600302,5.95,595
sh603035,13.95,491040
sz300578,24.02,3302750
sz000895,26.37,1394973
sz300481,19.1,271220
sh600891,5.66,751648
sz300626,9.46,135278
sz000703,14.1,473760
sz300596,33.32,13328
sh603399,12.34,397348
sz000090,6.66,1062963
sh600136,14.47,834919
sh603196,10.29,432180
sz300676,77.44,906048
sz002687,6.95,894465
sz300122,49.4,1753700
sh603803,12.81,302316
sh600240,3.44,1141392
sh601949,6.34,8157044
sh601333,3.81,885444
sh600868,4.16,1277120
sz002668,6.36,1901640
sh603183,18.35,198180
sh600791,5.15,684435
sh600348,6.0,282600
sh603129,24.88,1067352
sz002267,8.7,257520
sz300106,7.03,407740
sz002380,14.85,1833975
sz002195,6.22,48805305
sz000539,4.89,331053
sh603676,14.0,152600
sz002221,9.77,382984
sh600526,5.83,696102
sz300518,27.58,79982
sh603991,22.94,66526
sz000803,15.04,76704
sz000068,6.54,2319084
sh603536,9.9,119988
sh600219,2.75,663108
sh601999,7.01,3018506
sz300017,13.45,34257150
sh600628,7.8,319020
sh600332,39.25,1683825
sh600075,7.1,18354210
sz002915,24.39,468288
sz002724,6.75,39825
sh600000,11.49,849111
sh600608,5.06,141680
sz300313,7.61,125565
sz300329,8.9,28480
sh600373,16.17,2218524
sh603017,16.11,1451511
sh601588,3.6,912406
sz002650,4.13,202370
sh600971,7.16,120288
sz300282,13.47,157599
sh600680,0.0,0.0
sh600444,11.7,90090
sz000806,6.52,16412796
sz300706,29.7,867240
sh601199,4.3,84710
sh600589,5.89,627285
sh601958,7.11,123003
sz300410,23.29,300441
sz002467,7.0,491400
sz300259,4.09,2435595
sz300189,3.7,354830
sz002918,20.65,278775
sz300499,16.02,8010
sz002857,13.62,5448
sh600139,4.76,527408
sz300257,13.64,114576
sz300247,4.16,349465
sh601169,6.32,6548784
sh600678,7.34,472696
sz000630,2.66,1956430
sz000929,8.16,548352
sh600558,4.4,135080
sz002033,6.92,319012
sh600722,7.77,11590012
sz000156,13.89,19234872
sz002737,19.2,2566464
sz300319,8.0,604800
sh600237,4.58,437848
sh601669,5.92,1714432
sh603012,9.04,79552
sz300748,26.84,775676
sz002761,17.28,145152
sz002843,16.07,403357
sz300351,11.02,736136
sz002143,4.36,566800
sz002441,8.44,134196
sz000415,4.81,1567579
sh600853,4.44,65268
sh600275,3.16,54036
sz300251,9.2,9171480
sh601003,8.16,620976
