,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell,inst_sell,cost
sz000719,6.74,87620.0,0.0,0.0,0.0,0.0,6.744903555531132
sz300139,7.49,235186.0,0.0,0.0,0.0,0.0,7.447330305733518
sh600728,9.87,4353657.0,0.0,0.0,0.0,0.0,9.910288770519305
sz300294,31.71,1227177.0,0.0,0.0,0.0,0.0,32.016366981283
sh601658,5.25,358575.0,0.0,0.0,0.0,0.0,5.224446935398257
sz300801,21.39,1339014.0,0.0,0.0,0.0,0.0,21.852307539400822
sh600543,5.21,269357.0,0.0,0.0,0.0,0.0,5.235517340417894
sz002041,12.77,23918210.0,156.36666666666667,0.71935631,3.62847861,1.41288592,13.231696477281213
sh600337,4.17,127185.0,0.0,0.0,0.0,0.0,4.165846331934597
sz300236,54.02,6666068.0,0.0,0.0,0.0,0.0,53.92933687313331
sz300104,0,0,0,0,0,0,0
sz002473,7.85,51810.0,0.0,0.0,0.0,0.0,8.236063020102852
sz002748,7.16,61576.0,0.0,0.0,0.0,0.0,7.035889408099688
sz002087,4.36,551104.0,0.0,0.0,0.0,0.0,4.3735879329577045
sz002112,7.2,326880.0,0.0,0.0,0.0,0.0,7.365012600375876
sz002420,3.78,51786.0,0.0,0.0,0.0,0.0,3.7978754329959923
sz002830,11.46,5730.0,0.0,0.0,0.0,0.0,11.803750996696664
sh603666,99.4,1043700.0,0.0,0.0,0.0,0.0,99.62780548092424
sz002236,16.9,4485260.0,0.0,0.0,0.0,0.0,16.884611665328897
sh600161,34.68,1470536.0,0.0,0.0,0.0,0.0,34.7763683261856
sh600458,7.18,1283784.0,0.0,0.0,0.0,0.0,7.196623102131042
sz002282,7.05,49350.0,0.0,0.0,0.0,0.0,7.04173935780776
sz002479,6.05,47190.0,0.0,0.0,0.0,0.0,6.038514730790945
sh603515,23.94,76608.0,0.0,0.0,0.0,0.0,24.069211722603736
sh600847,0.0,0.0,0.0,0.0,0.0,0.0,10.351723315444247
sz002059,5.1,531420.0,0.0,0.0,0.0,0.0,5.062006271933099
sh600623,5.38,145260.0,0.0,0.0,0.0,0.0,5.3987706656479295
sh603355,21.2,10600.0,0.0,0.0,0.0,0.0,21.278304938271607
sz002128,7.29,213597.0,0.0,0.0,0.0,0.0,7.3219655321151285
sh600706,8.5,566100.0,0.0,0.0,0.0,0.0,8.5526362379318
sh603131,15.75,56700.0,0.0,0.0,0.0,0.0,16.352006067610514
sz002760,18.95,79590.0,0.0,0.0,0.0,0.0,19.16170565364268
sz300260,14.34,484692.0,0.0,0.0,0.0,0.0,14.462072072072074
sz002522,6.19,217888.0,0.0,0.0,0.0,0.0,6.177294137580482
sh603823,31.9,5397480.0,0.0,0.0,0.0,0.0,33.07141993388238
sz300130,15.13,1680943.0,0.0,0.0,0.0,0.0,15.39745828473607
sz002645,10.31,70108.0,0.0,0.0,0.0,0.0,10.459848019013977
sz000633,4.0,549200.0,0.0,0.0,0.0,0.0,4.029324845095965
sh603676,11.98,527120.0,0.0,0.0,0.0,0.0,11.981694633827265
sz002853,16.59,97881.0,0.0,0.0,0.0,0.0,16.954461855017414
sz002700,5.45,138430.0,0.0,0.0,0.0,0.0,5.445834438183626
sz300826,41.88,3735696.0,0.0,0.0,0.0,0.0,41.50516906077348
sz300719,10.2,188700.0,0.0,0.0,0.0,0.0,10.233112262352769
sz300105,4.32,13824.0,0.0,0.0,0.0,0.0,4.311965962721075
sz300404,21.5,32250.0,0.0,0.0,0.0,0.0,21.304943462438263
sh600081,10.65,87330.0,0.0,0.0,0.0,0.0,10.65847494033413
sz002908,12.0,223200.0,0.0,0.0,0.0,0.0,12.348532320810783
sz300632,14.63,57057.0,0.0,0.0,0.0,0.0,14.71545830437804
sh601882,7.16,51552.0,0.0,0.0,0.0,0.0,7.37868438381938
sz000848,6.98,209749.0,0.0,0.0,0.0,0.0,6.994947576006574
sh603569,8.56,113848.0,0.0,0.0,0.0,0.0,8.606337672185012
sz002166,8.7,960480.0,0.0,0.0,0.0,0.0,8.79000471342733
sz002017,12.22,2145832.0,0.0,0.0,0.0,0.0,12.41552442159383
sz002089,2.88,1502496.0,0.0,0.0,0.0,0.0,2.8549768319523956
sh600152,5.99,8985.0,0.0,0.0,0.0,0.0,5.928384958613555
sz300050,6.1,605120.0,0.0,0.0,0.0,0.0,6.122407314893647
sz300367,3.18,4383312.0,0.0,0.0,0.0,0.0,3.1155545342727646
sh600252,3.43,521017.0,0.0,0.0,0.0,0.0,3.488457631466994
sh603256,11.98,33544.0,0.0,0.0,0.0,0.0,11.879146242802076
sz300527,8.58,200772.0,0.0,0.0,0.0,0.0,8.730482358013944
sh601038,6.0,971400.0,0.0,0.0,0.0,0.0,6.047054084683971
sz300604,24.12,1181880.0,0.0,0.0,0.0,0.0,24.21613837412797
sh600107,12.09,3066024.0,216.63333333333333,0.09917798,0.27558221,0.07661585,13.025980948490904
sz300111,2.35,252625.0,0.0,0.0,0.0,0.0,2.3886947545344457
sh603466,14.38,498986.0,0.0,0.0,0.0,0.0,14.577676797147257
sh600188,8.64,175392.0,0.0,0.0,0.0,0.0,8.608585799773572
sz002903,11.92,118008.0,0.0,0.0,0.0,0.0,12.011171392636632
sz002062,4.97,20244301.0,0.0,0.0,0.0,0.0,5.022554573740447
sz002012,6.33,2890911.0,0.0,0.0,0.0,0.0,6.210564048805946
sz002149,6.76,69628.0,0.0,0.0,0.0,0.0,6.722042714760323
sz300830,0,0,0,0,0,0,0
sz001896,3.37,35385.0,0.0,0.0,0.0,0.0,3.3389914310922033
sz002045,9.07,546921.0,0.0,0.0,0.0,0.0,9.041183289516013
sz002610,1.59,678294.0,0.0,0.0,0.0,0.0,1.5824179943216665
sz002801,34.65,51975.0,0.0,0.0,0.0,0.0,34.330783660589056
sz000533,2.92,103076.0,0.0,0.0,0.0,0.0,2.889616222892223
sz002155,8.15,3279560.0,0.0,0.0,0.0,0.0,8.188697204367369
sh600084,2.54,153162.0,0.0,0.0,0.0,0.0,2.523792622517193
sz002728,15.45,216300.0,0.0,0.0,0.0,0.0,15.614140311446459
sh603767,7.66,773660.0,0.0,0.0,0.0,0.0,7.6422287471126005
sh600121,2.02,8686.0,0.0,0.0,0.0,0.0,2.014360220704151
sh600746,5.83,20988.0,0.0,0.0,0.0,0.0,5.838629199817565
sz000006,4.62,155694.0,0.0,0.0,0.0,0.0,4.632497113912121
sh600196,35.98,43640142.0,0.0,0.0,0.0,0.0,36.98191549997467
sz300489,34.97,181844.0,0.0,0.0,0.0,0.0,34.99821201361148
sh600808,2.6,182000.0,0.0,0.0,0.0,0.0,2.563088145856471
sz300092,7.14,227052.0,0.0,0.0,0.0,0.0,7.056833928807727
sz300550,28.77,57540.0,0.0,0.0,0.0,0.0,28.981025949475853
sz300767,78.66,125856.0,0.0,0.0,0.0,0.0,79.51977221300346
sh600829,8.22,6937277.0,0.0,0.0,0.0,0.0,8.301279598876716
sh600691,2.08,72176.0,0.0,0.0,0.0,0.0,2.0755471950298876
sz300278,3.96,56232.0,0.0,0.0,0.0,0.0,3.903806192874464
sz000520,3.57,84609.0,0.0,0.0,0.0,0.0,3.622027199231235
sz002840,14.93,37325.0,0.0,0.0,0.0,0.0,15.040404363267376
sz002960,22.01,41819.0,0.0,0.0,0.0,0.0,22.006088077095473
sz000868,3.99,25935.0,0.0,0.0,0.0,0.0,3.9096334892754756
sh600567,3.06,1145358.0,0.0,0.0,0.0,0.0,3.0418361318811806
sz000778,3.5,248850.0,0.0,0.0,0.0,0.0,3.500912055855192
sz000786,25.73,777046.0,0.0,0.0,0.0,0.0,26.16787100203129
sh603118,12.4,3430981.0,0.0,0.0,0.0,0.0,12.846109204610057
sh600023,3.45,495075.0,0.0,0.0,0.0,0.0,3.4561870193625883
