,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell,inst_sell
sh603076,23.63,146506.0,0.0,0.0,0.0,0.0
sz300240,8.5,5422150.0,0.0,0.0,0.0,0.0
sz000893,7.57,9841.0,0.0,0.0,0.0,0.0
sh600185,4.52,452.0,0.0,0.0,0.0,0.0
sz002468,24.0,1480800.0,0.0,0.0,0.0,0.0
sh601225,8.66,363720.0,0.0,0.0,0.0,0.0
sz000966,5.53,634844.0,0.0,0.0,0.0,0.0
sz002424,10.61,44562.0,0.0,0.0,0.0,0.0
sz002305,2.67,20292.0,0.0,0.0,0.0,0.0
sh600157,1.8,922320.0,0.0,0.0,0.0,0.0
sh603918,13.48,26960.0,0.0,0.0,0.0,0.0
sz300701,34.5,17250.0,0.0,0.0,0.0,0.0
sz000403,25.45,86530.0,0.0,0.0,0.0,0.0
sz300717,15.55,27990.0,0.0,0.0,0.0,0.0
sh600536,57.91,10921826.0,0.0,0.0,0.0,0.0
sh603477,7.57,39364.0,0.0,0.0,0.0,0.0
sz000996,13.05,621180.0,0.0,0.0,0.0,0.0
sz002524,5.19,112623.0,0.0,0.0,0.0,0.0
sh600896,5.34,184230.0,0.0,0.0,0.0,0.0
sz002606,5.45,65945.0,0.0,0.0,0.0,0.0
sh600487,0,0,0,0,0,0
sz300094,4.6,29440.0,0.0,0.0,0.0,0.0
sz000766,7.11,233919.0,0.0,0.0,0.0,0.0
sz002791,17.11,25665.0,0.0,0.0,0.0,0.0
sh600313,4.1,9042550.0,0.0,0.0,0.0,0.0
sh600186,1.35,24165.0,0.0,0.0,0.0,0.0
sh600196,24.66,660888.0,0.0,0.0,0.0,0.0
sh600137,0,0,0,0,0,0
sz000528,6.56,7216.0,0.0,0.0,0.0,0.0
sh600612,41.86,415502.0,0.0,0.0,0.0,0.0
sh600814,5.18,4662.0,0.0,0.0,0.0,0.0
sz000639,7.68,89856.0,0.0,0.0,0.0,0.0
sz002845,16.42,27914.0,0.0,0.0,0.0,0.0
sh603818,7.57,117335.0,0.0,0.0,0.0,0.0
sh600520,13.91,1456377.0,0.0,0.0,0.0,0.0
sz002680,0,0,0,0,0,0
sz000564,2.63,208822.0,0.0,0.0,0.0,0.0
sh601969,5.26,274572.0,0.0,0.0,0.0,0.0
sh603518,9.28,29696.0,0.0,0.0,0.0,0.0
sz002877,9.4,497260.0,0.0,0.0,0.0,0.0
