,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell,inst_sell
sh603076,25.7,822400.0,0.0,0.0,0.0,0.0
sz300240,7.9,117710.0,0.0,0.0,0.0,0.0
sz000893,0,0,0,0,0,0
sh600185,4.9,100450.0,0.0,0.0,0.0,0.0
sz002468,24.86,747839.0,0.0,0.0,0.0,0.0
sh601225,9.27,1705680.0,0.0,0.0,0.0,0.0
sz000966,5.78,785502.0,0.0,0.0,0.0,0.0
sz002424,10.01,146146.0,0.0,0.0,0.0,0.0
sz002305,2.61,28449.0,0.0,0.0,0.0,0.0
sh600157,1.7,439790.0,0.0,0.0,0.0,0.0
sh603918,0,0,0,0,0,0
sz300701,24.14,7251656.0,0.0,0.0,0.0,0.0
sz000403,0,0,0,0,0,0
sz300717,15.84,3168.0,0.0,0.0,0.0,0.0
sh600536,53.39,1190597.0,0.0,0.0,0.0,0.0
sh603477,7.87,70830.0,0.0,0.0,0.0,0.0
sz000996,13.85,678650.0,0.0,0.0,0.0,0.0
sz002524,5.39,10780.0,0.0,0.0,0.0,0.0
sh600896,5.5,1815000.0,0.0,0.0,0.0,0.0
sz002606,5.96,359388.0,0.0,0.0,0.0,0.0
sh600487,16.9,1318200.0,0.0,0.0,0.0,0.0
sz300094,4.6,74520.0,0.0,0.0,0.0,0.0
sz000766,7.06,1131718.0,0.0,0.0,0.0,0.0
sz002791,15.54,7770.0,0.0,0.0,0.0,0.0
sh600313,4.1,630580.0,0.0,0.0,0.0,0.0
sh600186,1.77,2062213.0,0.0,0.0,0.0,0.0
sh600196,25.77,2211066.0,0.0,0.0,0.0,0.0
sh600137,14.93,32846.0,0.0,0.0,0.0,0.0
sz000528,6.72,24864.0,0.0,0.0,0.0,0.0
sh600612,44.32,274784.0,0.0,0.0,0.0,0.0
sh600814,0,0,0,0,0,0
sz000639,8.66,31176.0,0.0,0.0,0.0,0.0
sz002845,16.38,117936.0,0.0,0.0,0.0,0.0
sh603818,7.88,520080.0,0.0,0.0,0.0,0.0
sh600520,13.25,155025.0,0.0,0.0,0.0,0.0
sz002680,0,0,0,0,0,0
sz000564,2.67,683520.0,0.0,0.0,0.0,0.0
sh601969,5.99,597802.0,0.0,0.0,0.0,0.0
sh603518,0,0,0,0,0,0
sz002877,9.51,1378950.0,0.0,0.0,0.0,0.0
sz002299,25.4,833120.0,0.0,0.0,0.0,0.0
sz000998,14.99,1268154.0,0.0,0.0,0.0,0.0
sz300347,77.01,2764659.0,0.0,0.0,0.0,0.0
sh600826,11.03,1103.0,0.0,0.0,0.0,0.0
sh601633,8.28,67068.0,0.0,0.0,0.0,0.0
sh603900,12.58,31450.0,0.0,0.0,0.0,0.0
sz300508,32.35,173396.0,0.0,0.0,0.0,0.0
sz300384,18.8,584680.0,0.0,0.0,0.0,0.0
sz002640,8.42,313224.0,0.0,0.0,0.0,0.0
sz002415,27.65,12152175.0,0.0,0.0,0.0,0.0
sh600645,17.78,147574.0,0.0,0.0,0.0,0.0
