,kaipan_price,kaipan_money
sh600000,10.06,4160000.0
sh600004,11.5,2495500.0
sh600006,6.36,855420.0000000001
sh600007,14.91,1352337.0
sh600008,2.96,278240.0
sh600009,45.27,8325153.0
sh600010,1.75,133272825.0
sh600011,4.26,1290000.0
sh600012,7.2,260000.0
sh600015,6.28,956444.0
sh600016,4.68,3030000.0
sh600017,2.78,388643.99999999994
sh600018,4.72,900000.0
sh600019,9.19,38631084.0
sh600020,3.48,410000.0
sh600021,7.16,901444.0
sh600022,2.0,18080000.0
sh600023,3.66,1600000.0
sh600025,5.78,780300.0
sh600026,6.28,709640.0
sh600027,3.45,870000.0
sh600028,4.42,6208332.0
sh600029,6.21,1220886.0
sh600030,23.53,7540000.0
sh600031,30.02,29371568.0
sh600033,2.77,310000.0
sh600035,3.1,602950.0
sh600036,54.2,30040000.0
sh600037,9.18,241434.0
sh600038,48.05,389205.0
sh600039,6.78,650000.0
sh600048,13.88,3590000.0
sh600050,4.3,1346759.9999999998
sh600051,6.9,120000.0
sh600052,3.49,31410.000000000004
sh600053,16.45,134890.0
sh600054,9.68,157784.0
sh600055,12.97,3530000.0
sh600056,12.85,6928720.0
sh600057,6.79,702765.0
sh600058,7.81,1601831.0
sh600059,11.6,1410000.0
sh600060,11.29,520000.0
sh600061,12.66,316500.0
sh600062,11.75,300000.0
sh600063,4.04,500000.0
sh600064,9.86,140000.0
sh600066,13.28,362543.99999999994
sh600067,3.31,75468.0
sh600068,7.32,2127924.0
sh600070,7.03,852739.0
sh600071,13.44,240000.0
sh600072,11.18,570000.0
sh600073,8.28,47196.0
sh600075,7.79,2427364.0
sh600076,3.68,960000.0
sh600077,2.8,1230000.0
sh600078,2.44,1280000.0
sh600079,30.75,1810000.0
sh600080,6.77,58221.99999999999
sh600081,11.25,320000.0
sh600082,2.81,10000.0
sh600083,5.21,20000.0
sh600084,3.2,5690000.0
sh600085,29.41,1317568.0
sh600086,0.16,0.0
sh600088,12.02,2149176.0
sh600089,12.0,12670000.0
sh600090,1.27,1770000.0
sh600091,1.94,93120.0
sh600093,5.93,0.0
sh600094,3.58,68378.0
sh600095,7.7,215600.0
sh600096,8.45,3338594.9999999995
sh600097,9.07,907.0
sh600098,5.91,118200.0
sh600099,6.15,24600.0
sh600100,5.96,540572.0
sh600101,5.44,50000.0
sh600103,2.31,2009700.0
sh600104,19.99,3014492.0
sh600105,3.36,680736.0
sh600106,2.65,118984.99999999999
sh600107,6.76,70304.0
sh600108,2.81,917184.0
sh600109,11.48,3410000.0
sh600110,7.5,1170000.0
sh600111,21.75,25273500.0
sh600112,1.33,824999.0
sh600113,6.08,10944.0
sh600114,7.61,90559.0
sh600115,5.18,786841.9999999999
sh600116,8.89,128905.00000000001
sh600117,4.39,3053683.9999999995
sh600118,28.97,1184873.0
sh600119,7.6,3800.0
sh600120,5.59,50000.0
sh600121,6.05,22594330.0
sh600122,1.25,181500.0
sh600123,6.4,4813440.0
sh600125,5.13,360000.0
sh600126,6.11,2831374.0
sh600127,9.42,865698.0
sh600128,6.35,24764.999999999996
sh600129,14.99,643071.0
sh600130,3.25,35425.0
sh600131,13.8,41400.0
sh600132,149.35,2210000.0
sh600133,5.55,230000.0
sh600135,6.12,23256.0
sh600136,6.95,44480.0
sh600137,12.93,1293.0
sh600138,11.6,432680.0
sh600139,2.21,560000.0
sh600141,14.97,9818823.000000002
sh600143,22.41,6274800.0
sh600145,1.38,19182.0
sh600146,1.62,4350000.0
sh600148,13.14,7884.0
sh600149,5.5,511500.0
sh600150,17.9,12930000.0
sh600151,8.75,583625.0
sh600152,7.28,203840.0
sh600153,8.08,409656.00000000006
sh600155,8.9,710000.0
sh600156,3.56,120000.0
sh600157,1.67,2716087.9999999995
sh600158,11.77,649704.0
sh600159,2.46,32226.0
sh600160,9.15,700000.0
sh600161,34.3,8260000.0
sh600162,1.88,40000.0
sh600163,4.47,190000.0
sh600165,5.54,1662.0
sh600166,3.72,2500000.0
sh600167,8.91,112266.00000000001
sh600168,6.74,74140.0
sh600169,2.32,133400.0
sh600170,2.9,397300.0
sh600171,16.37,1396361.0
sh600172,5.24,18630000.0
sh600173,5.05,220000.0
sh600176,19.5,15400000.0
sh600177,7.34,160000.0
sh600178,7.35,280000.0
sh600179,4.8,11564160.0
sh600180,5.95,829430.0000000001
sh600182,13.08,30000.0
sh600183,24.08,860000.0
sh600184,10.18,126232.0
sh600185,6.52,1020379.9999999999
sh600186,2.71,70460.0
sh600187,2.31,101640.0
sh600188,14.89,5810000.0
sh600189,10.94,365396.0
sh600190,2.89,228021.0
sh600191,2.4,16534800.0
sh600192,4.11,507174.00000000006
sh600193,5.78,5173678.0
sh600195,11.83,1558011.0
sh600196,60.12,255654288.0
sh600197,23.85,8063685.000000001
sh600198,6.1,0.0
sh600199,13.01,813125.0
sh600200,7.88,9157348.0
sh600201,20.81,1220000.0
sh600202,3.82,124150.0
sh600203,8.0,50000.0
sh600206,11.91,570000.0
sh600207,6.13,1263393.0
sh600208,3.15,370000.0
sh600209,4.09,359510.99999999994
sh600210,4.74,91956.0
sh600211,53.15,4480000.0
sh600212,3.56,132076.0
sh600213,6.26,30000.0
sh600215,6.9,810000.0
sh600216,16.63,13930950.999999998
sh600217,5.38,1406870.0
sh600218,8.9,150000.0
sh600219,4.03,8396908.0
sh600220,2.29,24274.0
sh600221,1.68,670000.0
sh600222,5.99,376771.0
sh600223,13.41,5656338.0
sh600225,1.7,40630.0
sh600226,2.97,1570000.0
sh600227,3.04,542944.0
sh600228,10.26,40000.0
sh600229,6.45,70000.0
sh600230,11.44,2720000.0
sh600231,3.56,6543636.0
sh600232,5.03,10563.000000000002
sh600233,11.34,380000.0
sh600234,10.48,0.0
sh600235,5.46,428064.00000000006
sh600236,5.26,323490.0
sh600237,5.5,513700.0
sh600238,15.8,10562300.0
