,kaipan_price,kaipan_money,sell_amount,zhangting_min
sh603076,28.38,323532.0,0.0,0.0
sz300240,8.41,266597.0,0.46513625,217.11666666666667
sz000893,5.17,15510.0,0.0,0.0
sh600185,4.94,42484.0,0.0,0.0
sz002468,26.6,93536240.0,0.0,0.0
sh601225,8.7,1675620.0,0.0,0.0
sz000966,4.31,805970.0,0.0,0.0
sz002424,10.61,176126.0,0.0,0.0
sz002305,3.27,1314867.0,0.0,0.0
sh600157,2.47,8249059.0,0.0,0.0
sh603918,15.14,99924.0,0.0,0.0
sz300701,39.38,1602766.0,0.0,0.0
sz000403,0,0,0,0
sz300717,17.02,369334.0,0.0,0.0
sh600536,55.0,154489500.0,3.5065158800000003,88.55
sh603477,9.07,614946.0,0.0,0.0
sz000996,14.85,4512544.0,0.0,0.0
sz002524,5.41,298091.0,0.0,0.0
sh600896,5.35,21935.0,0.0,0.0
sz002606,7.49,6215202.0,0.0,0.0
sh600487,22.7,20968558.0,0.0,0.0
sz300094,6.85,1649233.0,0.0,0.0
sz000766,7.84,384160.0,0.0,0.0
sz002791,13.5,267300.0,0.0,0.0
sh600313,3.05,755485.0,0.0,0.0
sh600186,2.39,1201257.0,0.0,0.0
sh600196,29.02,6915466.0,0.0,0.0
sh600137,15.3,177480.0,0.0,0.0
sz000528,7.4,1116660.0,0.0,0.0
sh600612,41.18,329440.0,0.0,0.0
sh600814,6.06,73932.0,0.0,0.0
sz000639,9.07,186842.0,0.0,0.0
sz002845,20.97,1474191.0,0.0,0.0
sh603818,8.2,19680.0,0.0,0.0
sh600520,16.4,711760.0,0.0,0.0
sz002680,0.0,0.0,0.0,0.0
sz000564,3.78,786996.0,0.0,0.0
sh601969,5.65,418100.0,0.0,0.0
sh603518,16.29,250866.0,0.0,0.0
sz002877,17.2,484008.0,0.0,0.0
sz002299,35.1,14136420.0,0.0,0.0
sz000998,15.7,777150.0,0.0,0.0
sz300347,62.03,1643795.0,0.0,0.0
sh600826,11.95,530580.0,0.0,0.0
sh601633,7.74,493038.0,0.0,0.0
sh603900,14.76,400631.0,0.0,0.0
sz300508,29.15,137005.0,0.0,0.0
sz300384,16.69,472327.0,0.0,0.0
sz002640,13.07,1704328.0,0.0,0.0
sz002415,35.97,5445858.0,0.0,0.0
sh600645,23.12,1387200.0,0.0,0.0
sz002469,4.78,304964.0,0.0,0.0
sz002827,16.02,256320.0,0.0,0.0
sz300636,20.42,51050.0,0.0,0.0
sz000890,6.56,778016.0,0.0,0.0
sh603026,24.22,527996.0,0.0,0.0
sh600539,7.15,36465.0,0.0,0.0
sz000925,8.71,1236820.0,0.0,0.0
sz002459,13.67,3377857.0,0.0,0.0
sh603388,12.05,48200.0,0.0,0.0
sz300221,7.61,463449.0,0.0,0.0
sz000970,10.02,598194.0,0.0,0.0
sz002775,7.24,109324.0,0.0,0.0
sz300463,20.73,240468.0,0.0,0.0
sh603110,0,0,0,0
sz000089,9.4,245340.0,0.0,0.0
sh603116,8.75,4375.0,0.0,0.0
sh603500,13.21,401584.0,0.0,0.0
sh600854,4.5,112950.0,0.0,0.0
sh600009,56.0,3952032.0,0.0,0.0
sz000936,10.36,8364664.0,1.9468014,58.333333333333336
sz300243,10.06,123738.0,0.0,0.0
sh600962,9.93,132069.0,0.0,0.0
sh600893,26.89,7373238.0,0.0,0.0
sh603556,18.89,6531973.0,0.0,0.0
sz300545,33.9,1271250.0,0.0,0.0
sz002037,10.06,106636.0,0.0,0.0
sh603021,7.18,78980.0,0.0,0.0
sh600619,9.8,76440.0,0.0,0.0
sh600096,6.81,81039.0,0.0,0.0
sz002537,12.9,285090.0,0.0,0.0
sh600059,7.94,398588.0,0.0,0.0
sz000957,7.95,1986705.0,0.0,0.0
sh600217,5.54,449848.0,0.0,0.0
sh600023,4.91,532244.0,0.0,0.0
sz300543,20.85,423255.0,0.0,0.0
sh600222,4.81,136416.0,0.0,0.0
sz300627,22.03,856967.0,0.0,0.0
sh603933,21.51,59798.0,0.0,0.0
sh601222,6.31,5968629.0,0.0,0.0
sh603028,8.87,557923.0,0.0,0.0
sh600083,17.87,407436.0,0.0,0.0
sz300392,9.2,559360.0,0.0,0.0
sz002732,19.51,183394.0,0.0,0.0
sh601330,14.21,673554.0,0.0,0.0
sz002905,16.27,82050.0,0.0,0.0
sz002750,16.5,26820750.0,2.30246506,203.23333333333335
sz300641,6.13,76625.0,0.0,0.0
sz300393,24.4,85400.0,0.0,0.0
sh603977,8.32,76544.0,0.0,0.0
sz300521,12.96,1112486.0,0.0,0.0
sh601966,16.95,308490.0,0.0,0.0
sh600668,14.08,1313903.0,0.0,0.0
sh601015,6.11,28717.0,0.0,0.0
sz300012,8.6,399900.0,0.0,0.0
sh601398,5.61,9183009.0,0.0,0.0
sz300583,37.8,120960.0,0.0,0.0
sz002056,7.55,646280.0,0.0,0.0
sz002499,9.26,852290.0,0.0,0.0
sz000628,11.11,466620.0,0.0,0.0
sz300026,3.63,438504.0,0.0,0.0
sh600302,5.92,52688.0,0.0,0.0
sh603035,13.75,38500.0,0.0,0.0
sz300578,23.8,47600.0,0.0,0.0
sz000895,25.97,10162061.0,0.0,0.0
sz300481,20.33,1140513.0,0.0,0.0
sh600891,5.78,1297610.0,0.0,0.0
sz300626,9.54,226098.0,0.0,0.0
sz000703,13.7,702810.0,0.0,0.0
sz300596,33.6,70560.0,0.0,0.0
sh603399,13.34,652873.0,0.0,0.0
sz000090,6.04,144718.0,0.0,0.0
sh600136,13.77,2223855.0,0.0,0.0
sh603196,10.27,1174888.0,0.0,0.0
sz300676,79.0,8133208.0,0.0,0.0
sz002687,6.83,392042.0,0.0,0.0
sz300122,46.95,2985691.0,0.0,0.0
sh603803,13.8,1229580.0,0.0,0.0
sh600240,3.55,1639695.0,0.0,0.0
sh601949,5.99,1163857.0,0.0,0.0
sh601333,3.86,271744.0,0.0,0.0
sh600868,4.41,4574493.0,0.0,0.0
sz002668,7.13,11249714.0,0.0,0.0
sh603183,18.05,167865.0,0.0,0.0
sh600791,5.03,4013940.0,0.0,0.0
sh600348,5.93,1325325.0,0.0,0.0
sh603129,0,0,0,0
sz002267,8.27,326665.0,0.0,0.0
sz300106,7.17,762171.0,0.0,0.0
sz002380,16.7,12979240.0,0.0,0.0
sz002195,5.49,22995359.0,5.68656116,16.71666666666667
sz000539,4.87,8084239.0,0.0,0.0
sh603676,12.84,93732.0,0.0,0.0
sz002221,9.24,52668.0,0.0,0.0
sh600526,6.01,976222.0,0.0,0.0
sz300518,28.2,532980.0,0.0,0.0
sh603991,21.16,277196.0,0.0,0.0
sz000803,0.0,0.0,0.0,0.0
sz000068,7.05,5558925.0,4.13357866,85.78333333333333
sh603536,9.67,256255.0,0.0,0.0
sh600219,2.84,2016201.0,0.0,0.0
sh601999,7.1,1101920.0,0.0,0.0
sz300017,14.9,128889008.0,0.0,0.0
sh600628,7.43,409393.0,0.0,0.0
sh600332,37.38,968142.0,0.0,0.0
sh600075,5.5,194150.0,0.0,0.0
sz002915,24.33,313857.0,0.0,0.0
sz002724,6.97,73882.0,0.0,0.0
sh600000,11.41,3432128.0,0.0,0.0
sh600608,4.83,99015.0,0.0,0.0
sz300313,7.66,4854908.0,0.0126896,0.15000000000000002
sz300329,8.91,239679.0,0.0,0.0
sh600373,18.59,54251197.0,0.0,0.0
sh603017,15.99,2125982.0,0.0,0.0
sh601588,3.42,178866.0,0.0,0.0
sz002650,4.23,369279.0,0.0,0.0
sh600971,7.11,334170.0,0.0,0.0
sz300282,14.69,348153.0,0.0,0.0
sh600444,11.52,149760.0,0.0,0.0
sz000806,6.0,3029400.0,0.40784247,4.8999999999999995
sz300706,33.4,1683360.0,0.0,0.0
sh601199,4.33,116044.0,0.0,0.0
sh600589,6.4,5379840.0,0.0,0.0
sh601958,7.03,312132.0,0.0,0.0
sz300410,24.69,2508504.0,0.0,0.0
sz002467,7.14,1777146.0,0.0,0.0
sz300259,4.7,22083890.0,0.0,0.0
sz300189,3.89,229899.0,0.0,0.0
sz002918,20.1,160800.0,0.0,0.0
sz300499,16.3,48900.0,0.0,0.0
sz002857,15.4,5120500.0,0.0,0.0
sh600139,4.95,1993365.0,0.0,0.0
sz300257,13.8,67620.0,0.0,0.0
sz300247,4.07,321530.0,0.0,0.0
sh601169,6.35,4815840.0,0.0,0.0
sh600678,7.11,386073.0,0.0,0.0
sz000630,2.85,5973315.0,0.0,0.0
sz000929,7.72,25476.0,0.0,0.0
sh600558,4.32,1925424.0,0.0,0.0
sz002033,6.72,130368.0,0.0,0.0
sh600722,5.65,393240.0,0.0,0.0
sz000156,11.33,874676.0,0.0,0.0
sz002737,17.15,866075.0,0.0,0.0
sz300319,8.35,1356040.0,0.0,0.0
sh600237,4.83,710010.0,0.0,0.0
sh601669,5.81,897889.0,0.0,0.0
sh603012,8.58,12870.0,0.0,0.0
sz300748,28.36,799752.0,0.0,0.0
sz002761,18.31,574934.0,0.0,0.0
sz002843,14.71,54427.0,0.0,0.0
sz300351,11.86,3056322.0,0.0,0.0
sz002143,4.58,3369337.0,0.0,0.0
sz002441,8.61,333207.0,0.0,0.0
sz000415,4.74,991134.0,0.0,0.0
sh600853,4.45,784535.0,0.0,0.0
sh600275,3.07,115125.0,0.0,0.0
sz300251,9.08,2150144.0,0.0,0.0
sh601003,7.76,168392.0,0.0,0.0
sh601007,9.72,127332.0,0.0,0.0
sz002572,21.06,1151982.0,0.0,0.0
sz300136,30.35,11705995.0,0.0,0.0
sh603626,11.32,348656.0,0.0,0.0
sh600665,4.27,239120.0,0.0,0.0
sh600883,0,0,0,0
sz000993,5.98,598000.0,0.0,0.0
sh601339,5.36,300696.0,0.0,0.0
sz000158,7.0,1374100.0,0.0,0.0
sz002751,31.99,1829828.0,0.0,0.0
sz300162,6.65,603155.0,0.0,0.0
sh600016,6.46,6046560.0,0.0,0.0
sh600449,8.98,231684.0,0.0,0.0
sz002819,26.14,2614.0,0.0,0.0
sh603336,18.79,1525748.0,0.0,0.0
sh600393,2.98,805196.0,0.0,0.0
sz000507,7.82,469200.0,0.0,0.0
sz300516,37.72,354568.0,0.0,0.0
sz000881,9.58,1499270.0,0.0,0.0
sz300183,18.46,13603174.0,0.0,0.0
sh603822,31.35,59565.0,0.0,0.0
sz000738,16.1,8778541.0,0.0,0.0
sh603010,17.08,883036.0,0.0,0.0
sz300339,15.2,2612880.0,0.0,0.0
sz002619,4.67,1410807.0,0.0,0.0
sh600817,8.09,1618.0,0.0,0.0
sz002902,28.3,22308890.0,0.90398112,223.05
sz300470,25.75,131325.0,0.0,0.0
sh603959,20.03,212318.0,0.0,0.0
sz002498,3.75,44992125.0,0.0,0.0
sz000930,9.15,680760.0,0.0,0.0
sz300399,14.72,1420480.0,0.0,0.0
sh603023,6.21,240327.0,0.0,0.0
sh603225,21.87,1474038.0,0.0,0.0
sz002243,20.77,2984649.0,0.0,0.0
sz002201,7.81,527956.0,0.0,0.0
sz002494,6.36,592116.0,0.0,0.0
sz000523,5.17,6204.0,0.0,0.0
sh601066,26.49,18884721.0,0.0,0.0
sh600620,6.93,134872.0,0.0,0.0
sh603338,74.5,210090.0,0.0,0.0
sz002708,10.04,1202792.0,0.0,0.0
sz300015,31.7,2142920.0,0.0,0.0
sh603456,9.84,1283136.0,0.0,0.0
sz002673,10.85,3090080.0,0.0,0.0
sh603969,5.42,490412.0,0.0,0.0
sh603922,18.56,329756.0,0.0,0.0
sz300587,23.83,231151.0,0.0,0.0
sh600540,4.88,513376.0,0.0,0.0
sh600037,12.03,1407510.0,0.0,0.0
sh600179,8.39,739159.0,0.0,0.0
sz300285,20.5,254200.0,0.0,0.0
sh600513,7.73,98944.0,0.0,0.0
sz300699,49.0,1151500.0,0.0,0.0
sh600797,11.15,6962060.0,0.0,0.0
sz300201,5.52,2959824.0,0.0,0.0
sh603128,7.43,2281604.0,0.0,0.0
sz002349,6.98,115868.0,0.0,0.0
sh600127,3.67,320464.0,0.0,0.0
sz002432,7.02,641628.0,0.0,0.0
sz000667,2.86,650936.0,0.0,0.0
sz002230,39.14,24317682.0,0.0,0.0
sz002182,8.33,458150.0,0.0,0.0
sz000420,2.6,234260.0,0.0,0.0
sh601519,13.43,87840285.0,0.0,0.0
sz000731,6.89,988026.0,0.0,0.0
sz000785,12.28,1654116.0,0.0,0.0
sh600986,6.44,1744596.0,0.0,0.0
sz300420,6.44,403788.0,0.0,0.0
sz300036,20.0,4486000.0,0.0,0.0
sz000877,10.3,1366810.0,0.0,0.0
sh600975,10.5,22571850.0,0.0,0.0
sz002118,8.0,2436800.0,0.0,0.0
sh603639,30.93,302495.0,0.0,0.0
sz000861,3.05,282369.0,0.0,0.0
sh603360,19.5,965250.0,0.0,0.0
sz000757,5.75,164450.0,0.0,0.0
sh600708,5.01,614226.0,0.0,0.0
sz002219,4.18,526262.0,0.0,0.0
sz002355,9.14,2238386.0,0.0,0.0
sz000552,3.23,814929.0,0.0,0.0
sz300484,13.65,479115.0,0.0,0.0
sz002656,7.04,1606528.0,0.0,0.0
sh601899,3.62,2094170.0,0.0,0.0
sz000030,5.0,394000.0,0.0,0.0
sz300317,6.67,1416708.0,0.0,0.0
sh600452,24.3,933120.0,0.0,0.0
sz000737,4.3,85570.0,0.0,0.0
sz300011,7.55,1286520.0,0.0,0.0
sz002562,5.37,666417.0,0.0,0.0
sz002102,2.08,972608.0,0.0,0.0
sh603618,6.93,769923.0,0.0,0.0
sz000702,7.25,933075.0,0.0,0.0
sh600054,11.09,523448.0,0.0,0.0
sz300280,33.94,3054600.0,0.0,0.0
sh603223,11.87,31812.0,0.0,0.0
