,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell
sz300026,3.66,266803.0,0.0,0.01044026,0.00042425
sh600302,6.5,128050.0,0.06666666666666667,0.0078894,0.00377188
sh603035,14.23,213450.0,0.0,0.00629677,0.00048548
sz300578,24.67,715430.0,0.0,0.0033131,0.00261646
sz000895,27.02,1580670.0,0.5166666666666667,0.00594389,0.06352882
sz300481,17.44,892928.0,0.0,0.01104791,0.01566774
sh600891,4.04,38024480.0,0.0,0.00011315,0.00010496
sz300626,9.41,37640.0,0.75,0.0031412600000000003,0.0045738
sz000703,16.02,1214316.0,0.0,0.01096664,0.01096664
sz300596,36.55,1005125.0,0.2,0.0009398,0.00263195
sh603399,12.25,603925.0,0.0,0.00191356,0.00191356
sz000090,7.96,1467824.0,0.0,0.0,0.01467824
sh600136,12.95,868945.0,0.0,0.05811145,0.019974
sh603196,10.07,198379.0,0.0,0.00279888,0.00164078
sz300676,70.56,2272032.0,0.1,0.00176512,0.00127383
sz002687,7.63,77063.0,0.7333333333333333,0.00236722,0.01251235
sz300122,45.13,4018917.0,0.0,0.00049859,0.00267478
sh603803,13.22,856656.0,0.1,0.00203824,0.00544518
sh600240,3.49,6026183.0,0.16666666666666666,0.06130764,0.18198795
sh601949,8.1,54023760.0,201.81666666666666,0.28558066,3.32415257
sh601333,3.61,1432448.0,0.2833333333333333,0.07001405,0.01063781
sh600868,5.67,39246039.0,0.0,0.0,0.39246039
sz002668,6.49,764522.0,0.0,0.00193109,0.00137143
sh603183,21.1,16244890.0,0.0,0.0,0.1624489
sh600791,5.12,155648.0,0.6333333333333333,0.0017851,0.00307913
sh600348,6.49,840449.0,0.05,0.01302209,0.00406569
sh603129,0.0,0.0,0.13333333333333333,0.00284142,0.00232964
sz002267,8.72,488320.0,0.15,0.00850047,0.01036914
sz300106,7.31,182019.0,0.38333333333333336,0.00078885,0.00451129
sz002380,16.16,2289872.0,0.06666666666666667,0.01132796,0.00131428
sz002195,6.22,4544332.0,0.2,0.07320133,0.08118551
sz000539,4.92,83148.0,0.0,0.00281089,0.00039026
sh603676,13.2,260040.0,0.15,0.0027197099999999997,0.00027841
sz002221,11.7,1586520.0,0.0,0.02863293,0.00193015
sh600526,5.55,192585.0,0.15,0.00599697,0.00758794
sz300518,29.78,113164.0,0.0,0.00785786,0.0003017
sh603991,0.0,0.0,0.0,0.00296563,0.00044976
sz000803,0.0,0.0,1.2,0.00217277,0.00244046
sz000068,5.83,490886.0,0.0,0.0122518,0.00098654
sh603536,11.88,710424.0,0.16666666666666666,0.00858961,0.00317337
sh600219,2.8,4187680.0,0.26666666666666666,0.05177142,0.01782211
sh601999,7.83,2312982.0,0.0,0.00303143,0.00178665
sz300017,13.55,21344312.0,0.0,0.20348571,0.05475064
sh600628,7.97,126723.0,1.2333333333333334,0.00289215,0.00455535
