,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell
sh603076,25.58,483462.0,0.0,0.0,0.0
sz300240,7.76,246768.0,0.0,0.0,0.0
sz000893,4.33,17753.0,0.0,0.0,0.0
sh600185,3.85,348040.0,0.0,0.0,0.0
sz002468,16.63,58438.0,0.0,0.0,0.0
sh601225,7.61,2120146.0,0.0,0.0,0.0
sz000966,3.52,882816.0,0.0,0.0,0.0
sz002424,9.1,151970.0,0.0,0.0,0.0
sz002305,2.93,2501634.0,0.0,0.38946257,0.00327598
sh600157,1.29,6226482.0,141.18333333333334,0.48254149,1.23094448
sh603918,0,0,0,0,0
sz300701,33.1,172120.0,0.0,0.0,0.0
sz000403,0,0,0,0,0
sz300717,15.12,66528.0,0.0,0.0,0.0
sh600536,23.66,5220697.0,0.0,0.0,0.0
sh603477,7.84,141904.0,0.0,0.0,0.0
sz000996,8.68,1270752.0,0.0,0.0,0.0
sz002524,4.85,78570.0,0.0,0.0,0.0
sh600896,3.65,25185.0,0.0,0.0,0.0
sz002606,6.48,1862352.0,0.0,0.0,0.0
sh600487,17.59,7681553.0,0.0,0.0,0.0
sz300094,5.2,71760.0,0.0,0.0,0.0
sz000766,7.14,377706.0,0.0,0.0,0.0
sz002791,10.26,359100.0,0.0,0.0,0.0
sh600313,0,0,0,0,0
sh600186,1.92,258816.0,0.0,0.0,0.0
sh600196,24.07,4061355.0,0.0,0.0,0.0
sh600137,13.09,45815.0,0.0,0.0,0.0
sz000528,6.45,987624.0,0.0,0.0,0.0
sh600612,43.25,454125.0,0.0,0.0,0.0
sh600814,5.28,189552.0,0.0,0.0,0.0
sz000639,6.68,114896.0,0.0,0.0,0.0
sz002845,16.12,1146132.0,4.25,0.17747721,0.39736496
sh603818,6.88,86000.0,0.0,0.0,0.0
sh600520,13.8,354660.0,0.0,0.0,0.0
sz002680,0,0,0,0,0
sz000564,2.62,307588.0,0.0,0.0,0.0
sh601969,4.57,64437.0,0.0,0.0,0.0
sh603518,14.35,2870.0,0.0,0.0,0.0
sz002877,15.45,183855.0,0.0,0.0,0.0
sz002299,16.89,1128252.0,0.0,0.0,0.0
sz000998,14.93,1068988.0,0.0,0.0,0.0
sz300347,43.9,834100.0,0.0,0.0,0.0
sh600826,9.62,478114.0,0.0,0.0,0.0
sh601633,5.64,174276.0,0.0,0.0,0.0
sh603900,12.08,374480.0,0.0,0.0,0.0
sz300508,25.72,290636.0,0.0,0.0,0.0
sz300384,12.26,193585.0,0.0,0.0,0.0
sz002640,10.91,654229.0,0.0,0.0,0.0
sz002415,26.6,8238020.0,0.0,0.0,0.0
sh600645,16.75,217750.0,0.0,0.0,0.0
sz002469,0,0,0,0,0
sz002827,14.42,95172.0,0.0,0.0,0.0
sz300636,18.23,20053.0,0.0,0.0,0.0
sz000890,4.52,48364.0,0.0,0.0,0.0
sh603026,19.86,301872.0,0.0,0.0,0.0
sh600539,6.33,208890.0,0.0,0.0,0.0
sz000925,6.2,1290220.0,0.0,0.0,0.0
sz002459,8.8,491920.0,0.0,0.0,0.0
sh603388,10.35,219420.0,0.0,0.0,0.0
sz300221,5.15,1978115.0,0.0,0.0,0.0
sz000970,7.65,369495.0,0.0,0.0,0.0
sz002775,6.19,255028.0,0.0,0.0,0.0
sz300463,15.11,354133.0,0.0,0.0,0.0
sh603110,10.99,150563.0,0.0,0.0,0.0
sz000089,7.84,410032.0,0.0,0.0,0.0
sh603116,7.11,24885.0,0.0,0.0,0.0
sh603500,10.9,600590.0,0.0,0.0,0.0
sh600854,3.58,190098.0,0.0,0.0,0.0
sh600009,51.35,662415.0,0.0,0.0,0.0
sz000936,6.3,4235490.0,0.0,0.0,0.0
