,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell
sh603076,26.6,449540.0,0.2,0.00844145,0.00116482
sz300240,8.32,303680.0,0.05,0.01028498,0.00080676
sz000893,5.25,1198575.0,68.05,0.01364402,0.21025187
sh600185,5.29,959606.0,2.816666666666667,0.00039171,0.01023409
sz002468,22.15,1207175.0,0.1,0.00603746,0.00251243
sh601225,8.88,4736104.0,0.0,0.00475811,0.0001341
sz000966,4.34,675738.0,1.8833333333333333,0.0213012,0.02736652
sz002424,10.21,731036.0,0.0,0.00161392,0.0003147
sz002305,3.38,5421520.0,0.05,0.00144121,0.00607844
sh600157,2.2,8036820.0,2.8666666666666667,0.03359077,0.02732519
sh603918,14.6,154760.0,0.0,0.00266923,0.00069913
sz300701,39.0,5986500.0,0.15,0.00642384,0.02460036
sz000403,27.15,238920.0,0.0,0.0013867,0.0007078
sz300717,17.2,674240.0,0.05,0.021146850000000002,0.019073100000000003
sh600536,53.0,25938200.0,70.11666666666666,2.42645805,9.91461684
sh603477,8.85,541620.0,0.0,0.00104121,0.00065016
sz000996,14.78,4311252.0,0.0,0.00959184,0.00959184
sz002524,5.59,2277366.0,0.05,0.00059951,0.00087332
sh600896,5.63,309087.0,0.9833333333333333,0.00243182,0.00293873
sz002606,7.5,2583000.0,0.0,0.01239695,0.00081268
sh600487,21.22,10941032.0,0.05,0.0545796,0.0220931
sz300094,6.47,282092.0,0.1,0.00144317,0.00310027
sz000766,7.91,1674547.0,0.0,0.00357731,0.0036798
sz002791,12.92,249356.0,0.0,0.00529404,0.00140921
sh600313,2.97,442530.0,0.15,0.01804143,0.0157591
sh600186,2.22,1164390.0,8.483333333333333,0.00543927,0.01188859
sh600196,29.2,15902320.0,0.0,0.00458665,0.00651005
sh600137,16.0,542400.0,0.0,0.00044339,0.00065766
sz000528,7.7,4459840.0,0.45,0.01980059,0.01968634
sh600612,42.6,144840.0,0.0,0.00039047,0.00216957
sh600814,6.18,812670.0,0.0,0.00192026,0.00230925
sz000639,9.47,1191326.0,0.0,0.00220162,0.0016267
sz002845,21.5,2294050.0,0.0,0.03021827,0.0087414
sh603818,8.37,283743.0,0.0,0.00259464,0.00318183
sh600520,14.8,270840.0,0.43333333333333335,0.00024208,0.00226935
sz002680,0,0,0,0,0
sz000564,3.75,2109375.0,0.03333333333333333,0.00737823,0.00567428
sh601969,5.55,895770.0,0.0,0.00113334,0.00046281
sh603518,16.9,620230.0,0.0,8.767e-05,8.767e-05
sz002877,16.19,382084.0,0.25,0.00031582,0.00102219
sz002299,25.02,6860484.0,0.0,0.01046116,0.00118914
sz000998,16.54,874966.0,0.13333333333333333,0.00184421,0.00443875
sz300347,63.17,1168645.0,0.0,0.03254966,0.000258
sh600826,12.17,1910690.0,0.0,0.00047827,0.00023287
sh601633,7.85,2049635.0,0.0,0.00155349,0.00185673
sh603900,14.7,1711080.0,0.0,0.00476317,0.00037369
sz300508,29.06,371968.0,0.0,0.0024017,0.00094812
sz300384,16.02,379674.0,0.7,0.00128088,0.00306683
sz002640,11.64,2631804.0,0.25,0.00387506,0.0019862
sz002415,33.99,16624509.0,0.0,0.00608235,0.00553484
sh600645,22.28,1521724.0,0.1,0.00455519,0.0004534
sz002469,4.78,339380.0,0.21666666666666667,0.02398589,0.0049535
sz002827,16.9,1597050.0,0.0,0.0040713,0.0040713
sz300636,20.98,77626.0,0.0,0.00039886,0.000252
sz000890,6.57,913887.0,1.15,0.0023997,0.00115531
sh603026,25.02,655524.0,0.0,0.000107,0.000107
sh600539,7.72,856920.0,0.13333333333333333,0.00166935,0.00179579
sz000925,8.15,1201310.0,0.25,0.04904026,0.01747875
sz002459,12.14,791528.0,0.35,0.00307225,0.00496009
sh603388,12.6,205380.0,0.0,0.00069293,0.00037238
sz300221,7.91,1328089.0,0.25,0.00423598,0.01238748
sz000970,10.11,2434690.0,0.2833333333333333,0.01142421,0.00546438
sz002775,7.44,1283549.0,0.2,0.00170345,0.00145526
sz300463,20.51,172284.0,0.0,0.0,0.00172284
sh603110,13.95,258075.0,0.0,0.00484622,0.00367586
sz000089,9.77,2395604.0,0.3,0.00695747,0.03860932
sh603116,8.62,702530.0,1.3333333333333333,0.00124943,0.0004789
sh603500,13.5,494100.0,0.26666666666666666,0.01212861,0.0278999
sh600854,4.55,239330.0,1.0833333333333333,0.00250393,0.00255817
sh600009,59.05,3277275.0,0.0,0.0,0.03277275
sz000936,10.47,14788875.0,0.08333333333333333,0.00482258,0.00511679
sz300243,10.31,263936.0,0.0,0.0,0.00263936
sh600962,10.19,647065.0,0.0,0.00167623,0.00167623
sh600893,26.76,12183828.0,0.03333333333333333,0.02428406,0.02312378
sh603556,15.99,417339.0,0.0,0.00214314,0.00027519
sz300545,30.51,1504143.0,0.1,0.00605981,0.00383042
sz002037,10.35,415035.0,1.35,0.00182009,0.00155256
sh603021,7.07,127967.0,0.0,0.00363305,0.00363305
sh600619,9.96,519912.0,0.0,0.00047194,0.00047194
