,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell,inst_sell,cost
sz000719,6.97,597329.0,0.0,0.0,0.0,0.0,7.017432423724991
sz300139,9.35,401115.0,0.0,0.0,0.0,0.0,9.425623227548954
sh600728,0,0,0,0,0,0,0
sz300294,34.76,528352.0,0.0,0.0,0.0,0.0,34.12921032320309
sh601658,0,0,0,0,0,0,0
sz300801,19.9,43780.0,0.0,0.0,0.0,0.0,20.22296682718031
sh600543,0,0,0,0,0,0,0
sz002041,0,0,0,0,0,0,0
sh600337,5.3,1182430.0,0.0,0.0,0.0,0.0,5.271387009105551
sz300236,52.71,2064598.0,0.0,0.0,0.0,0.0,51.94576648841354
sz002473,0,0,0,0,0,0,0
sz300873,0,0,0,0,0,0,0
sz002748,0.0,0.0,0.0,0.0,0.0,0.0,5.253879496928926
sz002087,3.63,251922.0,0.0,0.0,0.0,0.0,3.6711472259464983
sz002112,0,0,0,0,0,0,0
sz002420,3.94,39400.0,0.0,0.0,0.0,0.0,3.9766813028012455
sz002830,0.0,0.0,0.0,0.0,0.0,0.0,8.61834314505436
sh603666,93.95,84555.0,0.0,0.0,0.0,0.0,92.09362152441555
sz002236,0,0,0,0,0,0,0
sh600161,42.6,1529340.0,0.0,0.0,0.0,0.0,41.525862391461814
sh600458,8.05,205275.0,0.0,0.0,0.0,0.0,8.007069423897429
sz002282,0,0,0,0,0,0,0
sz002479,5.23,141733.0,0.0,0.0,0.0,0.0,5.3433853597311645
sh603515,30.53,293088.0,0.0,0.0,0.0,0.0,30.205246350364966
sh600847,8.6,8600.0,0.0,0.0,0.0,0.0,8.74938935987222
sz002059,0,0,0,0,0,0,0
sh600623,5.57,155960.0,0.0,0.0,0.0,0.0,5.542768997024627
sh603355,30.23,63543.0,0.0,0.0,0.0,0.0,30.606735717400788
sz002128,0,0,0,0,0,0,0
sh600706,6.26,3130.0,0.0,0.0,0.0,0.0,6.3285637510709565
sh603131,24.77,69356.0,0.0,0.0,0.0,0.0,24.07557855467582
sz002760,0,0,0,0,0,0,0
sz300260,0,0,0,0,0,0,0
sz002522,0,0,0,0,0,0,0
sh603823,0,0,0,0,0,0,0
sz300130,0,0,0,0,0,0,0
sz002645,8.51,5957.0,0.0,0.0,0.0,0.0,8.569015618125825
sz000633,5.36,708056.0,0.0,0.0,0.0,0.0,5.5930810355970495
sh603676,0,0,0,0,0,0,0
sz002853,0,0,0,0,0,0,0
sz002700,0,0,0,0,0,0,0
sz300826,0.0,0.0,0.0,0.0,0.0,0.0,28.120571201272874
sz300719,0,0,0,0,0,0,0
sz300105,0.0,0.0,0.0,0.0,0.0,0.0,3.9841441864509957
sz300404,0.0,0.0,0.0,0.0,0.0,0.0,10.241472950516986
sh600081,13.13,1152814.0,0.0,0.0,0.0,0.0,13.216457893953846
sz002908,16.25,1382875.0,0.0,0.0,0.0,0.0,16.00816496018203
sz300632,0,0,0,0,0,0,0
sh601882,0,0,0,0,0,0,0
sz000848,6.85,138370.0,0.0,0.0,0.0,0.0,6.8724961780957425
sh603569,0,0,0,0,0,0,0
sz002166,7.31,498542.0,0.0,0.0,0.0,0.0,7.327150547281535
sz002017,11.29,18941233.0,0.0,0.0,0.0,0.0,10.977448366175274
sz002089,0,0,0,0,0,0,0
sh600152,5.9,62540.0,0.0,0.0,0.0,0.0,5.952021060034052
sz300050,0,0,0,0,0,0,0
sz300367,0,0,0,0,0,0,0
sh600252,2.85,144495.0,0.0,0.0,0.0,0.0,2.878146480787403
sz003004,0,0,0,0,0,0,0
sh603256,10.07,650522.0,0.0,0.0,0.0,0.0,9.80895771371921
sz300527,9.08,352386.0,0.0,0.0,0.0,0.0,9.166443189570225
sh601038,9.77,454305.0,0.0,0.0,0.0,0.0,9.814194046342335
sz300604,35.98,3544030.0,0.0,0.0,0.0,0.0,36.2396437486292
sh600107,0.0,0.0,0.0,0.0,0.0,0.0,9.196256382029723
sz300111,0,0,0,0,0,0,0
sh603466,0,0,0,0,0,0,0
sh600188,10.0,3405000.0,0.0,0.0,0.0,0.0,10.04203072844228
sz002903,0,0,0,0,0,0,0
sz002062,4.04,64640.0,0.0,0.0,0.0,0.0,4.07629114994363
sz002012,0,0,0,0,0,0,0
sz002149,14.53,1405051.0,0.0,0.0,0.0,0.0,14.214017775560345
sz300830,0,0,0,0,0,0,0
sz001896,0,0,0,0,0,0,0
sz002045,0,0,0,0,0,0,0
sz002610,0,0,0,0,0,0,0
sz002801,36.74,55110.0,0.0,0.0,0.0,0.0,36.88640246066485
sz000533,2.67,40050.0,0.0,0.0,0.0,0.0,2.683140024667799
sz002155,7.85,634280.0,0.0,0.0,0.0,0.0,7.824338539143322
sh600084,2.2,2860.0,0.0,0.0,0.0,0.0,2.209275356063876
sz002728,0,0,0,0,0,0,0
sh603767,0.0,0.0,0.0,0.0,0.0,0.0,6.330029478959393
sh600121,7.14,19190464.0,0.0,0.0,0.0,0.0,6.975995063631953
sh600746,6.12,36108.0,0.0,0.0,0.0,0.0,6.1902784401613635
sz000006,5.27,694586.0,0.0,0.0,0.0,0.0,5.2910178349535855
sh600196,49.33,6979603.0,0.0,0.0,0.0,0.0,49.70342306623715
sh605050,10.9,1135747.0,0.0,0.0,0.0,0.0,10.898952625927128
sz300489,17.15,1572655.0,0.0,0.0,0.0,0.0,19.20445522009756
sh600808,2.66,934724.0,0.0,0.0,0.0,0.0,2.65353299057667
sz300092,8.2,305040.0,0.0,0.0,0.0,0.0,8.557318407580041
sz300550,0.0,0.0,0.0,0.0,0.0,0.0,16.886362649294245
sz300767,0,0,0,0,0,0,0
sh600829,6.2,620.0,0.0,0.0,0.0,0.0,6.228149483772167
sh600691,0,0,0,0,0,0,0
sz300278,3.88,23280.0,0.0,0.0,0.0,0.0,3.9331645167045464
sz000520,0,0,0,0,0,0,0
sz002840,0,0,0,0,0,0,0
sz002960,33.5,335000.0,0.0,0.0,0.0,0.0,33.15415318845743
sz000868,3.38,165282.0,0.0,0.0,0.0,0.0,3.490784138185265
sh600567,3.21,678273.0,0.0,0.0,0.0,0.0,3.1863406478821403
sz000778,0,0,0,0,0,0,0
sz000786,48.66,2656836.0,0.0,0.0,0.0,0.0,48.496356526386954
sh603118,0,0,0,0,0,0,0
sh600023,3.59,97648.0,0.0,0.0,0.0,0.0,3.596728914951395
sz000590,0.0,0.0,0.0,0.0,0.0,0.0,7.971421324565523
sz002580,0,0,0,0,0,0,0
sz002266,0,0,0,0,0,0,0
sh600880,3.73,68259.0,0.0,0.0,0.0,0.0,3.716354290352156
sh601965,17.0,5835250.0,0.0,0.0,0.0,0.0,16.633551117570413
sz300175,0,0,0,0,0,0,0
sz000559,5.12,381440.0,0.0,0.0,0.0,0.0,5.12959531460846
sh600517,5.7,1621069.0,196.06666666666666,0.26846382,0.5778354,0.0,5.972130564707685
sh603819,0,0,0,0,0,0,0
sz000612,6.89,25040327.0,237.53333333333333,0.22851937,1.2304412,0.379293,6.875712045636179
sz000851,7.04,1947968.0,0.0,0.0,0.0,0.0,7.0044331314718935
sh600926,15.4,7759444.0,0.0,0.0,0.0,0.0,15.75302675818306
sh603662,29.07,244188.0,0.0,0.0,0.0,0.0,29.23071395708729
sz002797,0,0,0,0,0,0,0
sz000688,9.0,1155600.0,0.0,0.0,0.0,0.0,8.907504152299548
sz000982,0,0,0,0,0,0,0
sh603871,19.6,231280.0,0.0,0.0,0.0,0.0,19.68770062695925
sz002538,5.38,53800.0,0.0,0.0,0.0,0.0,5.4512515550194145
sz300667,23.95,28740.0,0.0,0.0,0.0,0.0,23.957737565847985
sh600421,0.0,0.0,0.0,0.0,0.0,0.0,8.590787977254264
sh601163,0,0,0,0,0,0,0
sz300097,0,0,0,0,0,0,0
sh600168,6.47,12940.0,0.0,0.0,0.0,0.0,6.453074425001911
sh600153,8.03,935495.0,0.0,0.0,0.0,0.0,8.107976811485031
sz300044,5.93,304209.0,0.0,0.0,0.0,0.0,6.047923277138574
sh600331,2.09,6479.0,0.0,0.0,0.0,0.0,2.107846864118314
sh603868,48.56,111688.0,0.0,0.0,0.0,0.0,48.117959848781126
sz002409,68.01,7297473.0,0.0,0.0,0.0,0.0,67.53930081003715
sz002328,4.46,446.0,0.0,0.0,0.0,0.0,4.539063035758021
sz002146,6.47,1385227.0,0.0,0.0,0.0,0.0,6.470554375972857
sh603703,0,0,0,0,0,0,0
sh603718,0,0,0,0,0,0,0
sz300024,0,0,0,0,0,0,0
sh600978,0,0,0,0,0,0,0
sh600757,0,0,0,0,0,0,0
sz002501,0,0,0,0,0,0,0
sh605068,29.98,179880.0,0.0,0.0,0.0,0.0,31.022192447634968
sz300048,0,0,0,0,0,0,0
sz000068,2.72,49232.0,14.3,0.05671605,0.16445484,0.01688148,2.865571412341493
sh603429,0,0,0,0,0,0,0
sz300135,2.1,42630.0,0.0,0.0,0.0,0.0,2.205894957878692
sz002512,0,0,0,0,0,0,0
sh600016,5.21,9086761.0,0.0,0.0,0.0,0.0,5.279475711314642
sh603489,192.0,288000.0,0.0,0.0,0.0,0.0,190.13959801136363
sz002121,3.12,23088.0,0.0,0.0,0.0,0.0,3.1060801887690053
sh603963,8.18,490800.0,0.0,0.0,0.0,0.0,7.939750363228107
sz300409,13.95,902565.0,0.0,0.0,0.0,0.0,13.933648270708316
sz002799,19.22,2033476.0,0.0,0.0,0.0,0.0,19.377679430701455
sz000639,0,0,0,0,0,0,0
sh601003,5.48,87132.0,0.0,0.0,0.0,0.0,5.496271433922742
sh603579,0,0,0,0,0,0,0
sh600615,5.24,29344.0,0.0,0.0,0.0,0.0,5.497568553674249
sz300203,12.3,167280.0,0.0,0.0,0.0,0.0,12.42887570888469
sh600242,1.88,21056.0,0.0,0.0,0.0,0.0,1.9125954933824763
sz002099,0,0,0,0,0,0,0
sz002889,22.78,175406.0,0.0,0.0,0.0,0.0,23.050896612796105
sz000558,0,0,0,0,0,0,0
sh600320,3.53,3194650.0,0.0,0.0,0.0,0.0,3.725500555066539
sz300211,0,0,0,0,0,0,0
sh603931,37.49,112470.0,0.0,0.0,0.0,0.0,38.26139886811024
sh600959,3.2,439162.0,0.0,0.0,0.0,0.0,3.2386410343483125
sz300045,9.4,208680.0,0.0,0.0,0.0,0.0,9.468994091920509
sz002326,0,0,0,0,0,0,0
sz002289,6.6,95700.0,0.0,0.0,0.0,0.0,6.685824847250509
sz002552,0.0,0.0,0.0,0.0,0.0,0.0,12.252299431459257
sz002058,11.32,167536.0,0.0,0.0,0.0,0.0,11.530516361021217
sh600815,0.0,0.0,0.0,0.0,0.0,0.0,2.142976349051298
sz300324,0,0,0,0,0,0,0
sz300343,0,0,0,0,0,0,0
sh600643,6.87,849132.0,0.0,0.0,0.0,0.0,6.96963062243317
sz000835,1.43,121693.0,0.0,0.0,0.0,0.0,1.4687172506738546
sz300392,0,0,0,0,0,0,0
sh600200,4.85,16975.0,0.0,0.0,0.0,0.0,4.907505307584089
sz300430,7.26,166254.0,0.0,0.0,0.0,0.0,7.501481443374734
sz300707,14.05,1405.0,0.0,0.0,0.0,0.0,14.568737489898675
sz300677,0,0,0,0,0,0,0
sh600208,3.06,421056.0,0.0,0.0,0.0,0.0,3.0919708281936416
sz002154,3.1,99200.0,0.0,0.0,0.0,0.0,3.142997851423518
sz300796,0,0,0,0,0,0,0
sh600876,16.79,728686.0,0.0,0.0,0.0,0.0,17.477761982868603
sz300127,0,0,0,0,0,0,0
sz300416,0,0,0,0,0,0,0
sz300817,0,0,0,0,0,0,0
sz002529,0,0,0,0,0,0,0
sh600731,0,0,0,0,0,0,0
sz002758,10.59,72012.0,0.0,0.0,0.0,0.0,10.972472495193335
sh603776,15.45,80340.0,0.0,0.0,0.0,0.0,15.74434320255219
sz002335,0,0,0,0,0,0,0
sz000780,0,0,0,0,0,0,0
sz000796,9.13,197208.0,0.0,0.0,0.0,0.0,9.108433183211597
sz300313,0,0,0,0,0,0,0
sz002094,0,0,0,0,0,0,0
sz300124,0,0,0,0,0,0,0
sz000592,0,0,0,0,0,0,0
sz300712,23.24,350924.0,0.0,0.0,0.0,0.0,22.619140754751797
sh600781,3.0,64200.0,0.0,0.0,0.0,0.0,3.0112870480393816
sz300193,0,0,0,0,0,0,0
sh601001,5.37,424767.0,0.0,0.0,0.0,0.0,5.393542347230681
sz002293,0,0,0,0,0,0,0
sz000799,188.0,258968872.0,0.0,0.0,0.0,0.0,186.8599790966559
sz300443,34.64,1084232.0,0.0,0.0,0.0,0.0,36.82413622104413
sz002593,3.61,206131.0,0.0,0.0,0.0,0.0,3.622653093398797
sh603266,0,0,0,0,0,0,0
sz001914,0,0,0,0,0,0,0
sz300448,0,0,0,0,0,0,0
sz002246,0,0,0,0,0,0,0
sh603661,55.0,71500.0,0.0,0.0,0.0,0.0,57.95039510722145
sh600089,10.6,15663419.0,0.0,0.0,0.0,0.0,10.429695233058764
sh600854,3.39,73224.0,0.0,0.0,0.0,0.0,3.438315904983217
sz000809,1.83,5856.0,0.0,0.0,0.0,0.0,1.8470445707448402
sz002641,6.97,7229807.0,0.0,0.0,0.0,0.0,6.775708837154357
sz002093,7.19,390417.0,0.0,0.0,0.0,0.0,7.16697392704284
sh601012,99.9,148051800.0,0.0,0.0,0.0,0.0,101.19727210243714
sh600584,46.18,24439518.0,0.0,0.0,0.0,0.0,45.8567961859555
sz000815,6.01,735624.0,0.0,0.0,0.0,0.0,6.05275525943025
sz300610,0,0,0,0,0,0,0
sh600123,5.12,241152.0,0.0,0.0,0.0,0.0,5.15121289245429
sz002541,49.0,1367100.0,0.0,0.0,0.0,0.0,48.644794354275646
sh603085,8.93,18753.0,0.0,0.0,0.0,0.0,9.070019607843138
sz300781,24.85,1185345.0,0.0,0.0,0.0,0.0,27.409973260288265
sh601009,0,0,0,0,0,0,0
sz002692,2.57,26471.0,0.0,0.0,0.0,0.0,2.5465997529339095
sz300578,0,0,0,0,0,0,0
sz300853,0,0,0,0,0,0,0
sh600004,13.1,499110.0,0.0,0.0,0.0,0.0,13.06118010600223
