,kaipan_price,kaipan_money
sh603076,27.15,116745
sz300240,8.37,70308
sz000893,4.78,384312
sh600185,5.23,1798597
sz002468,22.88,1266866
sh601225,8.93,1637762
sz000966,4.31,182744
sz002424,10.24,80896
sz002305,3.27,556881
sh600157,2.26,2441930
sh603918,14.64,128832
sz300701,38.36,629104
sz000403,27.7,24930
sz300717,17.05,441595
sh600536,52.0,21704800
sh603477,8.89,356489
sz000996,14.16,828360
sz002524,6.15,2324700
sh600896,0.0,0.0
sz002606,7.81,471724
sh600487,22.0,4272400
sz300094,6.64,732392
sz000766,7.69,364506
sz002791,12.98,29854
sh600313,2.92,177390
sh600186,2.27,213607
sh600196,29.91,2841450
sh600137,15.86,26962
sz000528,8.0,1492960
sh600612,42.96,343680
sh600814,6.15,93480
sz000639,9.14,29248
sz002845,22.02,7002360
sh603818,8.13,30081
sh600520,14.95,22425
sz002680,0.0,0.0
sz000564,3.75,3385875
sh601969,5.72,191620
sh603518,16.88,116472
sz002877,16.89,55737
sz002299,26.26,1089790
sz000998,17.15,970690
sz300347,64.33,643300
sh600826,11.7,125190
sh601633,7.6,614034
sh603900,14.2,170400
sz300508,28.88,72200
sz300384,16.73,179011
sz002640,12.11,716912
sz002415,35.42,4356660
sh600645,22.53,1858725
sz002469,4.71,520926
sz002827,17.04,2298696
sz300636,21.1,37980
sz000890,6.78,402054
sh603026,25.66,400296
sh600539,7.38,37638
sz000925,8.35,261355
sz002459,12.58,426462
sh603388,12.15,12150
sz300221,7.35,660765
sz000970,9.93,1411053
sz002775,7.23,80108
sz300463,20.21,143491
sh603110,13.61,57162
sz000089,9.65,704450
sh603116,8.9,26700
sh603500,13.64,165044
sh600854,4.58,116790
sh600009,58.5,1187550
sz000936,10.41,2568147
sz300243,10.04,39156
sh600962,9.8,351820
sh600893,25.85,214038
sh603556,16.18,85754
sz300545,33.23,2319454
sz002037,10.49,949345
sh603021,6.99,91569
sh600619,9.72,75816
sh600096,6.76,2907476
sz002537,12.25,300125
sh600059,8.12,121800
sz000957,7.98,393414
sh600217,5.74,411558
sh600023,4.93,299744
sz300543,0.0,0.0
sh600222,4.81,359788
sz300627,20.17,62527
sh603933,21.15,90945
sh601222,5.96,767052
sh603028,8.81,29954
sh600083,18.25,73000
sz300392,8.69,173800
sz002732,19.7,295500
sh601330,14.23,1909666
sz002905,17.39,377363
sz002750,21.02,28086924
sz300641,6.13,92563
sz300393,23.48,108008
sh603977,8.34,62550
sz300521,12.1,221430
sh601966,17.04,85200
sh600668,14.4,733982
sh601015,6.33,1942677
sz300012,9.01,433381
sh601398,5.61,14760493
sz300583,37.7,56550
sz002056,7.22,360278
sz002499,9.1,210210
sz000628,11.5,507150
sz300026,3.53,291578
sh600302,5.8,171100
sh603035,13.58,630112
sz300578,22.16,327968
sz000895,26.46,2942352
sz300481,19.36,185856
sh600891,5.56,773396
sz300626,9.4,63920
sz000703,14.2,1052220
sz300596,33.45,3345
sh603399,12.44,918072
sz000090,6.42,212502
sh600136,13.22,584324
sh603196,10.39,262867
sz300676,77.67,1436895
sz002687,6.85,60965
sz300122,49.26,2211774
sh603803,12.76,366212
sh600240,3.39,1047510
sh601949,5.86,307064
sh601333,3.78,296632
sh600868,4.15,1417225
sz002668,6.27,3027156
sh603183,18.55,176225
sh600791,4.98,312246
sh600348,5.98,1429220
sh603129,23.8,773500
sz002267,8.7,488070
sz300106,7.09,1460540
sz002380,14.58,208494
sz002195,6.1,70105940
sz000539,4.85,1258968
sh603676,14.08,902528
sz002221,9.85,426190
sh600526,5.82,724008
sz300518,27.12,138312
sh603991,21.93,87720
sz000803,15.2,364800
sz000068,6.45,1104885
sh603536,9.83,491500
sh600219,2.75,512050
sh601999,6.68,36072
sz300017,13.4,15958060
sh600628,7.79,69331
sh600332,38.98,2942990
sh600075,6.65,14673225
sz002915,24.05,372775
sz002724,6.63,65770
sh600000,11.56,1445000
sh600608,0.0,0.0
sz300313,7.66,621226
sz300329,8.78,186136
sh600373,15.55,1141370
sh603017,15.77,971432
sh601588,3.63,3302937
sz002650,4.14,2076210
sh600971,7.15,197340
sz300282,13.6,95200
sh600680,0.0,0.0
sh600444,11.49,318273
sz000806,6.27,6070050
sz300706,29.08,304177
sh601199,4.31,73270
sh600589,5.79,260550
sh601958,7.1,563740
sz300410,23.3,852780
sz002467,6.69,1056351
sz300259,4.0,367200
sz300189,3.69,149076
sz002918,0.0,0.0
sz300499,15.89,158900
sz002857,13.57,82777
sh600139,4.83,1754256
sz300257,13.18,205608
sz300247,4.06,47096
sh601169,6.31,1460765
sh600678,7.52,420368
sz000630,2.67,4766751
sz000929,8.1,21870
sh600558,4.4,359040
sz002033,6.92,204832
sh600722,7.06,2510543
sz000156,11.84,4194912
sz002737,19.0,11954800
sz300319,7.89,735301
sh600237,4.5,50850
sh601669,5.95,1719253
sh603012,9.03,458724
sz300748,26.87,454103
sz002761,17.35,551730
sz002843,16.0,2604800
sz300351,10.8,1087560
sz002143,4.18,317011
sz002441,8.32,210496
sz000415,4.9,4422250
sh600853,4.42,225862
sh600275,3.12,119496
sz300251,8.83,832669
sh601003,8.22,741444
sh601007,10.03,157471
sz002572,21.12,606144
sz300136,30.15,4175775
sh603626,10.28,5140
sh600665,4.64,1234240
sh600883,0.0,0.0
sz000993,10.0,77089000
sh601339,6.0,281400
sz000158,6.44,240212
sz002751,27.75,502275
sz300162,6.43,351721
sh600016,6.48,1849781
sh600449,10.12,3869888
sz002819,25.15,168505
sh603336,18.2,604240
sh600393,2.96,1464312
sz000507,7.94,1489544
sz300516,35.77,28616
sz000881,9.27,307764
sz300183,16.26,494304
sh603822,30.94,61880
sz000738,15.68,506464
sh603010,15.58,93480
sz300339,13.44,1111488
sz002619,4.65,1288515
sh600817,8.46,30456
sz002902,28.69,805443
sz300470,25.6,248320
sh603959,19.28,9640
sz002498,3.25,103025
sz000930,8.81,3697557
sz300399,13.7,1145320
sh603023,6.03,4221
sh603225,21.83,2960148
sz002243,19.64,1596732
sz002201,8.22,138096
sz002494,6.29,242794
sz000523,5.58,306900
sh601066,25.81,13968372
sh600620,8.04,2470692
sh603338,81.0,162000
sz002708,10.74,1830096
sz300015,32.5,1114750
sh603456,10.1,92920
sz002673,11.3,11967830
sh603969,5.62,425434
sh603922,0.0,0.0
sz300587,23.82,250110
sh600540,5.09,3822590
sh600037,11.87,1105097
sh600179,8.04,433356
sz300285,21.68,1593480
sh600513,7.75,78275
sz300699,49.8,4536780
sh600797,11.15,4435470
sz300201,5.41,246155
sh603128,7.46,896692
sz002349,6.83,17075
sh600127,3.6,180000
sz002432,6.86,112504
sz000667,2.87,302785
sz002230,36.64,3008913
sz002182,9.15,6442515
sz000420,2.83,258945
sh601519,10.99,83931169
sz000731,7.11,182016
sz000785,11.01,765195
sh600986,5.91,776574
sz300420,6.7,203010
sz300036,18.22,300630
sz000877,12.97,46244535
sh600975,10.58,5061472
sz002118,8.7,8536440
sh603639,32.01,208065
sz000861,2.98,86122
sh603360,19.63,15704
sz000757,5.92,606800
sh600708,5.18,997083
sz002219,3.97,687207
sz002355,8.61,272937
sz000552,3.25,162825
sz300484,13.15,347160
sz002656,6.59,637912
sh601899,3.58,9136160
sz000030,5.09,2545
sz300317,6.9,440910
sh600452,23.9,57360
sz000737,4.68,1367964
sz300011,7.67,303732
sz002562,5.89,2887631
sz002102,2.06,829562
sh603618,6.5,169650
sz000702,6.62,513050
sh600054,11.4,359670
sz300280,31.26,1994388
sh603223,11.83,195195
sz000972,3.73,28721
sz002028,12.81,614880
sz300045,10.33,884248
sz300610,14.6,39420
sh603416,28.81,331315
sz002026,6.81,286701
sz002799,14.7,877590
sz300765,0.0,0.0
sh600654,2.27,109414
sz002082,9.38,469938
sz300708,12.45,402135
sh600370,3.48,37236
sh600512,2.9,469220
sh600019,7.47,2038264
sz000899,5.81,68558
sh603885,13.52,1032658
sz002344,5.58,561906
sz002171,6.59,875811
sz300693,18.76,99428
sh600331,4.03,1756677
sh603861,12.5,46250
sz002785,11.14,44560
sh600759,3.54,795792
sz002738,17.04,35784
sh600123,8.04,689028
sz000719,8.96,9856
sz002756,16.64,29952
sz002351,6.28,180864
sz300673,54.35,146745
sz300225,6.2,247380
sh600587,15.11,9066
sz300396,16.19,19428
sz000903,3.08,75460
sz000426,6.75,2141775
sh603108,10.69,72692
sh600249,4.92,194340
sh600776,29.7,38866103
sz002793,12.9,81270
sz300489,14.48,44888
sh603808,17.75,72775
sh600834,8.0,283200
sh603025,12.08,93016
sh603067,9.5,71250
sz300173,6.06,184224
sz000035,5.49,167445
sz300551,15.47,134589
sh600757,7.41,226005
sz002684,8.4,675360
sz000850,4.18,102410
sz002390,5.81,189987
sh601068,7.66,3154365
sh600103,3.24,200232
sz000938,43.8,1195740
sz002137,8.02,406614
sz002357,6.75,41175
sh603602,29.65,272780
sz300200,8.7,115710
sz002520,8.74,1553098
sh603828,10.4,117520
sh600695,8.96,27308727
sh601211,19.78,5617520
sz002278,7.76,22504
sz300041,7.65,1054935
sh600225,4.01,337642
sz002455,6.16,502040
sh600233,13.24,271420
sz300629,20.22,547962
sh600796,6.17,356009
sz002543,16.0,1008000
sh600561,6.87,133965
sh600995,8.41,269961
sz300595,52.33,240718
sz002878,0.0,0.0
sh600789,10.2,570180
sz300453,13.75,335500
sz000612,5.1,690540
sh600693,6.13,27585
sz002544,14.03,672037
sh603083,32.42,735934
sh601515,12.59,11586577
sh603506,24.84,422280
sh600242,13.53,403194
sh603559,25.3,387090
sz300281,6.98,3540954
sz002310,8.54,1735328
sz000906,5.86,34416
sz002156,10.45,1897720
sh601611,9.33,2212143
sh601918,3.65,369745
sh600223,3.9,202800
sz002011,6.3,1368360
sz300009,16.35,508485
sz300331,18.09,343710
sz300492,25.42,238948
sz300683,32.28,41964
sz300417,0.0,0.0
sz000709,3.5,927850
sz300532,15.09,368196
sh600381,7.11,367587
sz300116,2.26,1667880
sh600162,2.89,411828
sz000985,15.14,264950
sh603600,9.72,9720
sz002557,25.29,240255
sh603937,13.4,132660
sz300405,9.04,108480
sh600664,5.08,8861044
sh601168,6.77,1861073
sz002555,14.74,568964
sh601678,6.05,1324950
sz002635,14.67,762840
sz002122,3.26,8345274
sz300295,15.97,135745
sz300115,12.73,316353
sh603499,29.96,260652
sh600339,5.0,2503500
sz300245,11.37,1137
sh603169,7.66,21868534
sz002140,8.07,127506
sz002067,4.15,968610
sh600636,15.85,525618
sz002297,8.04,273360
sz300047,16.75,75375
sz002608,9.82,436990
sz000529,6.43,66872
sz002292,9.25,13501300
sz002573,9.99,3695301
sz300218,8.09,82518
sz300078,10.92,1528800
sz300196,10.44,3132
sz300599,12.57,61593
sh600980,12.58,157250
sh603303,15.15,548430
sh603898,19.24,82732
sh603197,28.38,164604
sz002113,4.29,426426
sh600517,0.0,0.0
sz002503,3.07,894291
sz300059,19.98,27750182
sz000012,5.61,355113
sh603085,10.06,228362
sz300096,12.1,502150
sz002217,7.29,2439307
sz300665,11.8,128620
sz002006,6.22,148036
sz300598,30.07,93217
