,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell,inst_sell,cost
sz000719,7.33,472785.0,0.0,0.0,0.0,0.0,7.307459087828024
sz300139,0,0,0,0,0,0,0
sh600728,6.36,75684.0,0.0,0.0,0.0,0.0,6.3422852096387565
sz300294,32.99,6017376.0,0.0,0.0,0.0,0.0,33.33520050269676
sh601658,5.42,1161506.0,0.0,0.0,0.0,0.0,5.422968742795488
sz300801,0,0,0,0,0,0,0
sh600543,7.1,254180.0,0.0,0.0,0.0,0.0,7.016214500806051
sz002041,15.62,521708.0,0.0,0.0,0.0,0.0,15.739635206596757
sh600337,5.41,39661.0,0.0,0.0,0.0,0.0,5.42386301265194
sz300236,0,0,0,0,0,0,0
sz002473,0,0,0,0,0,0,0
sz300873,0,0,0,0,0,0,0
sz002748,0,0,0,0,0,0,0
sz002087,3.66,1807308.0,0.0,0.0,0.0,0.0,3.6879307717578964
sz002112,7.11,199791.0,0.0,0.0,0.0,0.0,7.0861367123132
sz002420,0,0,0,0,0,0,0
sz002830,0,0,0,0,0,0,0
sh603666,93.2,139800.0,0.0,0.0,0.0,0.0,92.80156600249066
sz002236,23.99,5402548.0,0.0,0.0,0.0,0.0,23.3787936652451
sh600161,35.9,1396510.0,0.0,0.0,0.0,0.0,36.54650364078713
sh600458,0,0,0,0,0,0,0
sz002282,11.69,382263.0,0.0,0.0,0.0,0.0,11.503654174884945
sz002479,6.17,187568.0,0.0,0.0,0.0,0.0,6.137025418040681
sh603515,0,0,0,0,0,0,0
sh600847,8.7,104400.0,0.0,0.0,0.0,0.0,8.551684230695535
sz002059,5.86,194552.0,0.0,0.0,0.0,0.0,5.682171721234548
sh600623,8.53,4150126.0,0.0,0.0,0.0,0.0,8.789884694557237
sh603355,0,0,0,0,0,0,0
sz002128,10.71,643671.0,0.0,0.0,0.0,0.0,10.666490795009093
sh600706,7.25,123250.0,0.0,0.0,0.0,0.0,7.087916060385595
sh603131,19.98,73926.0,0.0,0.0,0.0,0.0,20.278426472010054
sz002760,0,0,0,0,0,0,0
sz300260,15.0,3016500.0,0.0,0.0,0.0,0.0,14.470528087200163
sz002522,5.72,317460.0,0.0,0.0,0.0,0.0,5.615440027663822
sh603823,17.4,375840.0,0.0,0.0,0.0,0.0,17.277004095466744
sz300130,0,0,0,0,0,0,0
