,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell
sh603076,27.3,485940.0,0.0,0.00013844,0.00013844
sz300240,8.05,42665.0,0.0,0.00081283,0.00081283
sz000893,6.32,1124328.0,10.533333333333333,0.00314214,0.43417093
sh600185,5.33,2212483.0,0.0,0.0,0.02212483
sz002468,22.41,905364.0,0.1,0.01696512,0.00479344
sh601225,8.7,1417230.0,0.05,0.01500443,0.00655635
sz000966,4.15,57270.0,2.05,0.00336202,0.00552008
sz002424,10.75,1923175.0,0.0,0.0,0.01923175
sz002305,3.23,237082.0,0.3,0.07298681,0.07178877
sh600157,2.08,2122494.0,0.05,0.05306393,0.0459749
sh603918,14.06,49210.0,0.4,0.03452653,0.0550488
sz300701,36.8,202400.0,0.0,0.00871588,0.00510108
sz000403,28.18,1251192.0,4.933333333333334,0.0,0.012681
sz300717,17.7,284970.0,0.25,0.00060241,0.00128026
sh600536,58.98,23721756.0,0.0,0.05935389,0.00735889
sh603477,10.34,4787420.0,0.0,0.01008709,0.01008709
sz000996,13.54,463068.0,0.0,0.02002491,0.00650826
sz002524,5.51,71112.0,5.15,0.0,0.00259481
sh600896,5.3,1302740.0,145.75,0.01100574,0.12671237
sz002606,7.38,513648.0,0.21666666666666667,0.00956894,0.00541212
sh600487,20.62,2915668.0,0.0,0.01868452,0.01868452
sz300094,6.24,31200.0,0.0,0.00583785,0.00045399
sz000766,8.99,9282175.0,0.05,0.02637941,0.02038438
sz002791,13.4,67000.0,0.0,0.00051107,0.00019879
sh600313,2.92,578744.0,0.0,0.0,0.00578744
sh600186,2.1,64470.0,24.03333333333333,0.00509961,0.03671421
sh600196,28.96,4335312.0,0.0,0.00659197,0.00659197
sh600137,18.5,1119250.0,0.0,0.00180688,0.00243783
sz000528,7.49,1171436.0,0.1,0.00221208,0.00071111
sh600612,41.99,167960.0,0.11666666666666667,0.03520399,0.00485304
sh600814,6.01,46277.0,0.0,0.00856254,0.00242227
sz000639,10.8,2928960.0,0.06666666666666667,0.00276876,0.00785185
sz002845,23.42,1969622.0,0.0,0.0,0.02945835
sh603818,8.73,77697.0,0.1,0.0012314,0.00371862
sh600520,14.8,236800.0,0.0,0.00127751,0.0001568
sz002680,0,0,0,0,0
sz000564,3.66,1284660.0,0.05,0.0092096,0.00123103
sh601969,5.15,144200.0,0.05,0.00214547,0.00044283
sh603518,16.79,107456.0,0.15,0.00211981,0.00208731
sz002877,16.03,115416.0,0.0,0.00425544,0.00322568
sz002299,23.3,19150270.0,0.0,0.15628575,0.01430895
sz000998,15.89,611765.0,0.0,0.01738941,0.01253556
sz300347,62.65,808185.0,0.0,0.00855166,0.00437005
sh600826,11.5,243800.0,0.0,0.00445773,0.00013861
sh601633,7.51,528103.0,0.95,0.00452865,0.01678491
sh603900,15.79,3467484.0,0.0,0.00126303,0.0042848
sz300508,29.11,858745.0,0.0,0.00538653,0.00058934
sz300384,15.3,136170.0,0.25,0.00194938,0.00439824
sz002640,11.27,581532.0,0.0,0.01757693,0.00149825
sz002415,34.07,8299452.0,0.03333333333333333,0.02059297,0.02318925
sh600645,21.44,851168.0,0.06666666666666667,0.00391918,0.00045486
sz002469,4.65,79515.0,0.0,8.072e-05,3.332e-05
sz002827,17.26,743906.0,0.0,8.772e-05,8.772e-05
sz300636,20.38,85596.0,0.0,0.00089248,0.00089248
sz000890,6.2,114080.0,0.0,0.01171384,0.00159632
sh603026,27.31,2807468.0,0.0,0.00340599,0.00276934
sh600539,7.3,771610.0,0.8,0.00195446,0.00323581
sz000925,8.18,450718.0,0.2,0.01737357,0.00522777
sz002459,11.72,416060.0,0.0,0.01241533,0.00078669
sh603388,12.15,12150.0,0.06666666666666667,0.00389884,0.00180658
sz300221,7.95,708345.0,0.35,0.0102207,0.03565956
sz000970,9.52,230384.0,0.0,0.01710973,0.00150072
sz002775,7.03,20387.0,1.7333333333333334,0.00894805,0.00350915
sz300463,19.61,239242.0,0.0,0.00085795,0.00233502
sh603110,13.6,13600.0,74.0,0.11446449,0.25692048
sz000089,9.68,422048.0,0.05,0.00683922,0.00142726
sh603116,8.54,151158.0,0.0,0.00128155,0.00018313
sh603500,13.52,302848.0,0.0,0.00048397,0.00067732
sh600854,4.54,103058.0,4.1,0.00109954,0.01202824
sh600009,58.2,1006860.0,0.0,0.0019169,0.00065911
sz000936,10.1,7326540.0,0.0,0.00512397,0.00512397
sz300243,9.83,90436.0,0.15,0.00812357,0.00958511
sh600962,9.59,512106.0,1.0166666666666666,0.0013523,0.0104384
sh600893,26.04,994728.0,0.0,0.00375931,0.00722806
sh603556,15.28,148216.0,0.0,0.00026362,0.00041912
sz300545,29.5,2171200.0,0.0,0.00120548,0.00114522
sz002037,10.0,536000.0,0.0,0.02269414,0.00085982
sh603021,7.2,58320.0,0.0,0.00259536,0.00225912
sh600619,9.47,18940.0,0.0,0.00287345,0.00122714
sh600096,7.1,12773610.0,0.05,0.01924243,0.02471892
sz002537,12.33,128232.0,0.0,0.00257701,0.00257701
sh600059,7.86,183924.0,0.35,0.00159791,0.00031031
sz000957,7.83,6922503.0,0.0,0.00028975,0.00028975
sh600217,6.0,429600.0,0.5666666666666667,0.00179469,0.00569383
sh600023,4.88,751520.0,4.983333333333333,0.0,0.00752008
sz300543,18.61,46525.0,0.0,0.00168703,0.00032596
sh600222,5.82,769986.0,0.0,0.0,0.00769986
sz300627,19.49,70164.0,1.7,0.00816937,0.00405695
sh603933,20.01,184092.0,0.2,0.001503,0.00164948
sh601222,5.59,436020.0,0.0,0.0105469,0.00506414
sh603028,8.58,6006.0,0.0,0.00011177,0.00053642
sh600083,19.15,365765.0,0.0,0.03762813,0.00029212
sz300392,8.45,420810.0,0.9,0.00445851,0.00753953
sz002732,18.36,1836.0,0.0,0.00086966,0.0004631
sh601330,13.41,634293.0,0.4,0.00472391,0.00155723
sz002905,17.07,1939152.0,0.05,0.00074632,0.00228436
sz002750,18.65,31248075.0,0.0,0.01041071,0.00529378
sz300641,5.88,82320.0,0.7,0.0019749,0.00391907
sz300393,20.99,407206.0,0.1,0.00083102,0.00044793
sh603977,0,0,0,0,0
sz300521,11.82,250584.0,0.35,0.00116848,0.00223037
sh601966,17.06,1306796.0,0.0,0.00354171,0.00257758
sh600668,14.72,1538240.0,0.0,0.0095873,0.00035424
sh601015,6.08,107008.0,1.3833333333333333,0.00109926,0.00823174
