,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell,inst_sell,cost
sz000719,7.4,50320.0,0.0,0.0,0.0,0.0,7.370225623087014
sz300139,12.19,563178.0,0.0,0.0,0.0,0.0,12.330875683973032
sh600728,9.03,7038885.0,0.0,0.0,0.0,0.0,9.042939932094857
sz300294,40.5,1907550.0,0.0,0.0,0.0,0.0,40.27763210181505
sh601658,5.06,2519880.0,0.0,0.0,0.0,0.0,4.997507832124411
sz300801,23.46,107916.0,0.0,0.0,0.0,0.0,23.48241494768311
sh600543,8.81,2588378.0,213.55,0.34833181,0.90079302,0.14868553,9.331761544611656
sz002041,18.28,3482340.0,0.0,0.0,0.0,0.0,17.96318187418233
sh600337,4.91,1473.0,0.0,0.0,0.0,0.0,4.945588617003705
sz300236,53.46,1137950.0,0.0,0.0,0.0,0.0,54.007838824516455
sz002473,0.0,0.0,0.0,0.0,0.0,0.0,5.77898953117888
sz300873,49.7,54670.0,0.0,0.0,0.0,0.0,49.44256965141894
sz002748,7.08,2124.0,0.0,0.0,0.0,0.0,7.061486466927197
sz002087,4.04,507424.0,0.0,0.0,0.0,0.0,4.082542689337636
sz002112,9.09,599031.0,0.0,0.0,0.0,0.0,9.077028765934726
sz002420,0.0,0.0,0.0,0.0,0.0,0.0,4.221646454811012
sz002830,12.26,109114.0,0.0,0.0,0.0,0.0,12.437679303278689
sh603666,81.0,8100.0,0.0,0.0,0.0,0.0,84.45644824618033
sz002236,21.11,1583250.0,0.0,0.0,0.0,0.0,21.35710830363391
sh600161,42.27,3822222.0,0.0,0.0,0.0,0.0,42.34073141575018
sh600458,7.9,1040430.0,0.0,0.0,0.0,0.0,7.774901205968523
sz002282,10.65,51120.0,0.0,0.0,0.0,0.0,10.906903000411015
sz002479,6.3,168210.0,0.0,0.0,0.0,0.0,6.282668715658843
sh603515,32.19,289710.0,0.0,0.0,0.0,0.0,32.44047743229689
sh600847,10.52,8416.0,0.0,0.0,0.0,0.0,10.44474890652843
sz002059,4.98,498.0,0.0,0.0,0.0,0.0,4.934456354470682
sh600623,6.2,1026720.0,0.0,0.0,0.0,0.0,6.32652296046601
sh603355,33.16,12336.0,0.0,0.0,0.0,0.0,32.89710468635842
sz002128,11.28,2054088.0,0.0,0.0,0.0,0.0,11.14050340651022
sh600706,7.91,42714.0,0.0,0.0,0.0,0.0,7.83980772654442
sh603131,27.81,800928.0,0.0,0.0,0.0,0.0,27.134005206653455
sz002760,19.39,1939.0,0.0,0.0,0.0,0.0,19.49940439515301
sz300260,19.65,163095.0,0.0,0.0,0.0,0.0,19.833344584321594
sz002522,7.44,312480.0,0.0,0.0,0.0,0.0,7.607706345575741
sh603823,14.89,8934.0,0.0,0.0,0.0,0.0,14.93091539986781
sz300130,13.04,43032.0,0.0,0.0,0.0,0.0,13.053579717821542
sz002645,9.07,229471.0,0.0,0.0,0.0,0.0,9.314970083625887
sz000633,4.28,68480.0,184.05,0.08377909,0.35266599,0.0,4.535310779051211
