,kaipan_price,kaipan_money
sh600259,34.21,608938.0
sh600260,8.09,70383.0
sh600261,4.22,168800.0
sh600262,15.15,0.0
sh600265,16.72,0.0
sh600266,5.04,62496.0
sh600267,13.85,310000.0
sh600268,7.0,4110000.0
sh600269,3.39,65088.0
sh600271,12.66,346884.0
sh600272,7.01,91130.0
sh600273,8.8,850080.0000000001
sh600275,3.0,5400.0
sh600276,84.0,18832800.0
sh600277,3.14,330014.00000000006
sh600278,8.48,18656.0
sh600279,3.68,16928.0
sh600280,4.0,31600.0
sh600281,4.14,16560.0
sh600282,3.69,2070000.0
sh600283,10.95,240000.0
sh600284,6.42,71904.0
sh600285,10.09,1231989.0
sh600287,5.14,82240.0
sh600288,11.9,4760.0
sh600289,3.53,27533.999999999996
sh600290,2.05,18789890.0
sh600291,2.16,640000.0
sh600292,10.29,13480928.999999998
sh600293,2.91,60819.00000000001
sh600295,18.85,1624870.0
sh600297,2.97,575883.0
sh600298,62.03,322556.0
sh600299,12.09,58031.99999999999
sh600300,3.67,514534.0
sh600301,6.43,13503.0
sh600302,4.19,0.0
sh600303,3.73,117495.0
sh600305,21.15,2753730.0
sh600306,6.81,34050.0
sh600307,2.28,3872351.9999999995
sh600308,5.95,589645.0
sh600309,106.37,9410000.0
sh600310,4.38,10074.0
sh600311,1.72,682152.0
sh600312,6.01,0.0
sh600313,4.64,147552.0
sh600315,56.05,1849650.0
sh600316,37.18,6067776.0
sh600317,2.6,0.0
sh600318,8.01,5670000.0
sh600319,4.75,43225.0
sh600320,3.16,34760.0
sh600321,1.99,51143.0
sh600322,2.02,6868.000000000001
sh600323,24.88,278656.0
sh600325,6.79,298081.0
sh600326,7.34,320024.0
sh600327,6.04,46810000.0
sh600328,9.13,838134.0
sh600329,24.27,895562.9999999999
sh600330,8.49,33960.0
sh600331,2.26,199557.99999999997
sh600332,31.25,1003125.0
sh600333,4.7,33840.0
sh600335,5.25,655725.0
sh600336,6.37,242697.00000000003
sh600337,5.1,1340790.0
sh600338,16.24,61241039.99999999
sh600339,2.81,351812.0
sh600340,5.05,1293305.0
sh600343,9.49,16133.000000000002
sh600345,13.83,0.0
sh600346,28.29,1024098.0
sh600348,5.46,1019382.0
sh600350,6.66,246420.00000000003
sh600351,5.76,1109952.0
sh600352,14.03,948427.9999999999
sh600353,4.86,20898.0
sh600354,4.48,1177344.0
sh600355,2.5,6730250.0
sh600356,7.6,760.0
sh600358,3.76,50008.0
sh600359,7.6,205200.0
sh600360,7.39,400537.99999999994
sh600361,3.66,8052.000000000001
sh600362,25.3,10241440.0
sh600363,23.2,220400.0
sh600365,2.74,152344.0
sh600366,6.2,326740.0
sh600367,8.38,2348076.0
sh600368,3.73,480797.0
sh600369,4.76,733992.0
sh600370,3.28,118408.0
sh600371,10.96,1096.0
sh600372,15.42,309942.0
sh600373,10.85,196385.0
sh600375,6.96,101616.0
sh600376,5.64,59783.99999999999
sh600377,10.04,323287.99999999994
sh600378,20.79,193347.0
sh600379,7.89,750339.0
sh600380,15.36,542208.0
sh600381,6.76,11140000.0
sh600382,4.13,312641.0
sh600383,11.03,345239.0
sh600385,4.98,0.0
sh600386,3.57,24633.0
sh600387,4.2,23940.0
sh600388,8.56,39376.00000000001
sh600389,37.01,4800196.999999999
sh600390,6.2,416020.0
sh600391,17.9,152149.99999999997
sh600392,15.99,2743884.0
sh600393,1.41,839232.0
sh600395,6.94,347694.0
