,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell,inst_sell,cost
sz000719,7.89,112038.0,0.0,0.0,0.0,0.0,7.9736000905357765
sz300139,13.51,28827638.0,0.0,0.0,0.0,0.0,14.186783680930278
sh600728,9.68,225544.0,0.0,0.0,0.0,0.0,9.656248457262468
sz300294,40.88,1091496.0,0.0,0.0,0.0,0.0,39.86946272094069
sh601658,4.57,532862.0,0.0,0.0,0.0,0.0,4.598981405845173
sz300801,32.19,4017312.0,0.0,0.0,0.0,0.0,32.095668231611896
sh600543,7.9,428970.0,0.0,0.0,0.0,0.0,7.748343103560081
sz002041,17.55,2718495.0,0.0,0.0,0.0,0.0,17.603850621941657
sh600337,5.66,76976.0,0.0,0.0,0.0,0.0,5.551763608102013
sz300236,58.09,3671288.0,0.0,0.0,0.0,0.0,54.482758687759336
sz002473,6.99,16077.0,0.0,0.0,0.0,0.0,6.980080246913579
sz300873,49.22,1151748.0,0.0,0.0,0.0,0.0,49.30262082144067
sz002748,7.49,3745.0,0.0,0.0,0.0,0.0,7.595092115363525
sz002087,3.87,244971.0,0.0,0.0,0.0,0.0,3.9571013430777984
sz002112,9.2,3680.0,0.0,0.0,0.0,0.0,9.192232088701266
sz002420,4.22,272215.0,0.0,0.0,0.0,0.0,4.162139802072335
sz002830,14.44,414428.0,0.0,0.0,0.0,0.0,14.72268283037987
sh603666,90.01,172819.0,0.0,0.0,0.0,0.0,88.22925716226929
sz002236,21.87,1764909.0,0.0,0.0,0.0,0.0,22.03647448194198
sh600161,40.75,1299925.0,0.0,0.0,0.0,0.0,40.7137162976003
sh600458,7.14,82110.0,0.0,0.0,0.0,0.0,7.170436823330621
sz002282,11.53,5765.0,0.0,0.0,0.0,0.0,11.520798574093817
sz002479,6.99,90870.0,0.0,0.0,0.0,0.0,7.0572127965555875
sh603515,27.02,1769810.0,0.0,0.0,0.0,0.0,27.253127744705765
sh600847,12.69,447957.0,0.0,0.0,0.0,0.0,13.092214790708114
sz002059,6.63,708084.0,0.0,0.0,0.0,0.0,6.609550556821369
sh600623,5.61,100980.0,0.0,0.0,0.0,0.0,5.657407757279396
sh603355,29.73,158074.0,0.0,0.0,0.0,0.0,29.77971201814059
sz002128,9.91,580726.0,0.0,0.0,0.0,0.0,10.004652814234024
sh600706,8.28,43884.0,0.0,0.0,0.0,0.0,8.224308982124391
