,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell,inst_sell
sh603076,27.91,80939.0,0.0,0.0,0.0,0.0
sz300240,8.25,75075.0,0.0,0.0,0.0,0.0
sz000893,6.15,172212.0,0.0,0.0,0.0,0.0
sh600185,5.78,1987742.0,0.0,0.0,0.0,0.0
sz002468,24.2,476740.0,0.0,0.0,0.0,0.0
sh601225,9.49,6110611.0,0.0,0.0,0.0,0.0
sz000966,4.26,183180.0,0.0,0.0,0.0,0.0
sz002424,11.3,1171810.0,0.0,0.0,0.0,0.0
sz002305,3.55,571905.0,0.0,0.0,0.0,0.0
sh600157,2.4,16811040.0,0.0,0.0,0.0,0.0
sh603918,15.72,465312.0,0.0,0.0,0.0,0.0
sz300701,38.63,108164.0,0.0,0.0,0.0,0.0
sz000403,28.83,175863.0,0.0,0.0,0.0,0.0
sz300717,18.12,77916.0,0.0,0.0,0.0,0.0
sh600536,58.9,45070280.0,0.0,0.0,0.0,0.0
sh603477,9.47,205499.0,0.0,0.0,0.0,0.0
sz000996,15.0,9375000.0,45.766666666666666,1.15655842,0.69476781,0.14545247
sz002524,5.49,539667.0,0.0,0.0,0.0,0.0
sh600896,6.31,1477171.0,0.0,0.0,0.0,0.0
sz002606,7.42,236698.0,0.0,0.0,0.0,0.0
sh600487,21.63,3222870.0,0.0,0.0,0.0,0.0
sz300094,6.5,71500.0,0.0,0.0,0.0,0.0
sz000766,10.7,17388570.0,0.0,0.0,0.0,0.0
sz002791,15.13,34799.0,0.0,0.0,0.0,0.0
sh600313,2.99,102856.0,0.0,0.0,0.0,0.0
sh600186,2.12,301146.0,0.0,0.0,0.0,0.0
sh600196,29.98,1768820.0,0.0,0.0,0.0,0.0
sh600137,17.42,59228.0,0.0,0.0,0.0,0.0
sz000528,7.89,773220.0,0.0,0.0,0.0,0.0
sh600612,44.9,103270.0,0.0,0.0,0.0,0.0
sh600814,6.24,237120.0,0.0,0.0,0.0,0.0
sz000639,10.25,640625.0,0.0,0.0,0.0,0.0
sz002845,22.58,1941880.0,0.0,0.0,0.0,0.0
sh603818,9.3,44640.0,0.0,0.0,0.0,0.0
sh600520,15.79,342643.0,0.0,0.0,0.0,0.0
sz002680,0,0,0,0,0,0
sz000564,3.79,1138137.0,0.0,0.0,0.0,0.0
sh601969,5.99,5694693.0,3.533333333333333,0.20134901,0.08283775,0.01219092
sh603518,18.04,4484744.0,0.0,0.0,0.0,0.0
sz002877,16.45,59220.0,92.16666666666667,0.14523915,1.0142028,0.25955266
sz002299,25.03,3324860.0,0.0,0.0,0.0,0.0
sz000998,16.23,258057.0,0.0,0.0,0.0,0.0
