,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell,inst_sell
sh603076,24.23,33922.0,0.0,0.0,0.0,0.0
sz300240,0,0,0,0,0,0
sz000893,4.26,100110.0,0.0,0.0,0.0,0.0
sh600185,4.12,33784.0,0.0,0.0,0.0,0.0
sz002468,18.91,240157.0,0.0,0.0,0.0,0.0
sh601225,8.05,2044901.0,0.0,0.0,0.0,0.0
sz000966,3.65,108770.0,0.0,0.0,0.0,0.0
sz002424,8.61,23247.0,0.0,0.0,0.0,0.0
sz002305,3.01,320565.0,0.0,0.0,0.0,0.0
sh600157,1.77,4563467.0,0.0,0.0,0.0,0.0
sh603918,0,0,0,0,0,0
sz300701,32.99,950112.0,0.0,0.0,0.0,0.0
sz000403,25.51,170917.0,0.0,0.0,0.0,0.0
sz300717,14.45,53465.0,0.0,0.0,0.0,0.0
sh600536,22.3,2372720.0,0.0,0.0,0.0,0.0
sh603477,7.57,19682.0,0.0,0.0,0.0,0.0
sz000996,11.3,28010440.0,0.0,0.0,0.0,0.0
sz002524,4.77,70119.0,0.0,0.0,0.0,0.0
sh600896,4.29,91806.0,0.0,0.0,0.0,0.0
sz002606,7.33,702947.0,0.0,0.0,0.0,0.0
sh600487,18.37,1927013.0,0.0,0.0,0.0,0.0
sz300094,5.72,14300.0,0.0,0.0,0.0,0.0
sz000766,6.6,155430.0,0.0,0.0,0.0,0.0
sz002791,10.97,143707.0,0.0,0.0,0.0,0.0
sh600313,2.46,1258290.0,0.0,0.0,0.0,0.0
sh600186,1.97,210987.0,0.0,0.0,0.0,0.0
sh600196,23.69,6263636.0,0.0,0.0,0.0,0.0
sh600137,13.01,264103.0,0.0,0.0,0.0,0.0
sz000528,6.33,5855946.0,0.0,0.0,0.0,0.0
sh600612,42.35,93170.0,0.0,0.0,0.0,0.0
sh600814,5.3,200870.0,0.0,0.0,0.0,0.0
sz000639,7.7,249018.0,0.0,0.0,0.0,0.0
sz002845,0,0,0,0,0,0
sh603818,6.73,20863.0,0.0,0.0,0.0,0.0
sh600520,12.94,139752.0,0.0,0.0,0.0,0.0
sz002680,2.48,163432.0,0.0,0.0,0.0,0.0
sz000564,2.82,2718480.0,0.0,0.0,0.0,0.0
sh601969,4.58,250984.0,0.0,0.0,0.0,0.0
sh603518,0,0,0,0,0,0
sz002877,15.16,46996.0,0.0,0.0,0.0,0.0
sz002299,20.34,1759410.0,0.0,0.0,0.0,0.0
sz000998,13.2,306240.0,0.0,0.0,0.0,0.0
sz300347,43.56,108900.0,0.0,0.0,0.0,0.0
sh600826,9.53,200130.0,0.0,0.0,0.0,0.0
sh601633,6.62,985718.0,0.0,0.0,0.0,0.0
sh603900,12.45,46065.0,0.0,0.0,0.0,0.0
sz300508,24.64,689920.0,0.0,0.0,0.0,0.0
sz300384,13.1,159715.0,0.0,0.0,0.0,0.0
sz002640,10.5,502950.0,0.0,0.0,0.0,0.0
sz002415,29.48,2948855.0,0.0,0.0,0.0,0.0
sh600645,17.39,2738925.0,0.0,0.0,0.0,0.0
sz002469,3.96,158796.0,0.0,0.0,0.0,0.0
sz002827,0,0,0,0,0,0
sz300636,17.76,94128.0,0.0,0.0,0.0,0.0
sz000890,5.32,188860.0,0.0,0.0,0.0,0.0
sh603026,20.29,328698.0,0.0,0.0,0.0,0.0
sh600539,6.55,1310.0,0.0,0.0,0.0,0.0
sz000925,6.65,540645.0,0.0,0.0,0.0,0.0
sz002459,13.05,14550750.0,1.2166666666666666,0.15571243,0.16080678,0.03008745
sh603388,10.17,65088.0,0.0,0.0,0.0,0.0
sz300221,5.59,77142.0,0.0,0.0,0.0,0.0
sz000970,7.88,709988.0,0.0,0.0,0.0,0.0
sz002775,6.2,60066.0,0.0,0.0,0.0,0.0
sz300463,15.12,120960.0,0.0,0.0,0.0,0.0
sh603110,10.83,118480.0,0.0,0.0,0.0,0.0
sz000089,7.93,170495.0,0.0,0.0,0.0,0.0
sh603116,0,0,0,0,0,0
sh603500,11.63,245393.0,0.0,0.0,0.0,0.0
sh600854,3.84,16128.0,0.0,0.0,0.0,0.0
sh600009,48.15,351495.0,0.0,0.0,0.0,0.0
sz000936,6.83,17404889.0,0.0,0.0,0.0,0.0
sz300243,8.56,232832.0,0.0,0.0,0.0,0.0
sh600962,8.0,32800.0,0.0,0.0,0.0,0.0
sh600893,22.71,283875.0,0.0,0.0,0.0,0.0
sh603556,13.5,43200.0,0.0,0.0,0.0,0.0
sz300545,20.5,436650.0,0.0,0.0,0.0,0.0
sz002037,8.63,55232.0,0.0,0.0,0.0,0.0
sh603021,5.81,1743.0,0.0,0.0,0.0,0.0
sh600619,8.47,33880.0,0.0,0.0,0.0,0.0
sh600096,5.64,130848.0,0.0,0.0,0.0,0.0
