,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell,inst_sell,cost
sz000719,0.0,0.0,0.0,0.0,0.0,0.0,6.896843466299862
sz300139,7.66,14554.0,0.0,0.0,0.0,0.0,7.546174147848119
sh600728,9.99,5148177.0,0.0,0.0,0.0,0.0,9.752935819789128
sz300294,33.85,6035455.0,0.0,0.0,0.0,0.0,32.53560457906034
sh601658,5.3,4262260.0,0.0,0.0,0.0,0.0,5.291732141723129
sz300801,39.7,1341860.0,0.0,0.0,0.0,0.0,40.22566980162807
sh600543,5.34,335886.0,0.0,0.0,0.0,0.0,5.310852312749471
sz002041,10.56,5100480.0,0.0,0.0,0.0,0.0,10.457765333973187
sh600337,4.46,3510912.0,0.0,0.0,0.0,0.0,4.444391595767797
sz300236,54.8,9513280.0,0.0,0.0,0.0,0.0,53.060985849954534
sz300104,0,0,0,0,0,0,0
sz002473,8.4,317520.0,0.0,0.0,0.0,0.0,8.21914765856303
sz002748,7.17,411558.0,0.0,0.0,0.0,0.0,6.974004376367615
sz002087,4.16,2171520.0,0.0,0.0,0.0,0.0,4.197491809198743
sz002112,7.46,281988.0,0.0,0.0,0.0,0.0,7.2927468125575485
sz002420,3.62,73124.0,0.0,0.0,0.0,0.0,3.6413155820268024
sz002830,12.1,54450.0,0.0,0.0,0.0,0.0,12.435064156461342
sh603666,91.75,302775.0,0.0,0.0,0.0,0.0,91.55889009009009
sz002236,16.77,7594496.0,0.0,0.0,0.0,0.0,16.63565052942783
sh600161,36.58,2559137.0,0.0,0.0,0.0,0.0,35.887260058341134
sh600458,6.91,312332.0,0.0,0.0,0.0,0.0,6.950931287908974
sz002282,0.0,0.0,0.0,0.0,0.0,0.0,7.202727705010159
sz002479,5.88,85848.0,0.0,0.0,0.0,0.0,5.886200465164511
sh603515,24.7,308750.0,0.0,0.0,0.0,0.0,24.254803548795948
sh600847,0.0,0.0,0.0,0.0,0.0,0.0,10.545467732936583
sz002059,5.03,1331944.0,0.0,0.0,0.0,0.0,4.941423933699324
sh600623,5.47,233569.0,0.0,0.0,0.0,0.0,5.4946230233181454
sh603355,20.98,39786.0,0.0,0.0,0.0,0.0,21.177532567503555
sz002128,7.43,52010.0,0.0,0.0,0.0,0.0,7.456399687854711
sh600706,7.61,107301.0,0.0,0.0,0.0,0.0,7.675010645848119
sh603131,16.37,281564.0,0.0,0.0,0.0,0.0,16.03401452683595
sz002760,18.68,93400.0,0.0,0.0,0.0,0.0,18.55384042086804
sz300260,15.57,851679.0,0.0,0.0,0.0,0.0,15.11766605420855
sz002522,6.25,530625.0,0.0,0.0,0.0,0.0,6.126503592335295
sh603823,28.8,83520.0,0.0,0.0,0.0,0.0,28.2217884999093
sz300130,14.64,664656.0,0.0,0.0,0.0,0.0,14.629318197755962
sz002645,10.72,1317488.0,0.0,0.0,0.0,0.0,10.868538257803486
sz000633,3.57,152082.0,0.0,0.0,0.0,0.0,3.520454486640357
sh603676,10.29,55566.0,0.0,0.0,0.0,0.0,10.162743409031584
sz002853,15.9,66780.0,0.0,0.0,0.0,0.0,15.963842135809633
sz002700,5.9,78470.0,0.0,0.0,0.0,0.0,5.808285045361428
sz300826,0,0,0,0,0,0,0
sz300719,10.18,267734.0,0.0,0.0,0.0,0.0,10.157643212647603
sz300105,4.85,406915.0,0.0,0.0,0.0,0.0,4.765807182675442
sz300404,20.77,51925.0,0.0,0.0,0.0,0.0,20.836200555629052
sh600081,11.2,341600.0,0.0,0.0,0.0,0.0,11.01354609929078
sz002908,12.0,211800.0,0.0,0.0,0.0,0.0,11.879023545063582
sz300632,19.66,243784.0,0.0,0.0,0.0,0.0,19.428343145851603
sh601882,7.36,69184.0,0.0,0.0,0.0,0.0,7.285577663841883
sz000848,6.8,262480.0,0.0,0.0,0.0,0.0,6.776289745757202
sh603569,0.0,0.0,0.0,0.0,0.0,0.0,8.766394816481725
sz002166,8.38,1208396.0,0.0,0.0,0.0,0.0,8.139285552561041
sz002017,12.98,581504.0,0.0,0.0,0.0,0.0,12.786350405131028
sz002089,2.7,226260.0,0.0,0.0,0.0,0.0,2.7258728983859317
sh600152,6.45,327015.0,0.0,0.0,0.0,0.0,6.35474100535851
sz300050,6.78,3985284.0,0.0,0.0,0.0,0.0,6.520956855936721
sz300367,3.64,442988.0,0.0,0.0,0.0,0.0,3.5797957009151697
sh600252,3.39,979710.0,0.0,0.0,0.0,0.0,3.3508688714443657
sh603256,12.51,417834.0,0.0,0.0,0.0,0.0,12.653718668381865
sz300527,8.31,599982.0,0.0,0.0,0.0,0.0,8.328414776068975
sh601038,6.0,547200.0,0.0,0.0,0.0,0.0,6.004738663494414
sz300604,25.56,677340.0,0.0,0.0,0.0,0.0,24.8150386678443
sh600107,7.86,1668678.0,21.65,0.38265166,0.36778986,0.07018428,8.139580076423652
sz300111,2.44,2242848.0,0.0,0.0,0.0,0.0,2.4916393376209047
sh603466,13.3,174230.0,0.0,0.0,0.0,0.0,13.59874591574013
sh600188,8.61,309099.0,0.0,0.0,0.0,0.0,8.616210891348357
sz002903,12.58,381174.0,0.0,0.0,0.0,0.0,12.504568599341615
sz002062,4.69,2945789.0,0.0,0.0,0.0,0.0,4.736310553617797
sz002012,6.34,1062584.0,0.0,0.0,0.0,0.0,6.394239831367423
sz002149,7.1,127800.0,0.0,0.0,0.0,0.0,7.039820728603541
sz001896,3.52,363616.0,0.0,0.0,0.0,0.0,3.465164838878656
sz002045,9.71,7748580.0,0.0,0.0,0.0,0.0,9.875123849611661
