,kaipan_price,kaipan_money
sh603076,23.16,13896
sz300240,0.0,0.0
sz000893,4.39,5707
sh600185,4.43,963525
sz002468,19.97,259610
sh601225,8.2,2225480
sz000966,3.88,705384
sz002424,8.95,485985
sz002305,2.97,137214
sh600157,1.89,1660554
sh603918,0.0,0.0
sz300701,32.66,339664
sz000403,0.0,0.0
sz300717,0.0,0.0
sh600536,24.0,3420000
sh603477,7.75,321625
sz000996,10.85,3300570
sz002524,4.57,78604
sh600896,4.21,111144
sz002606,6.4,800000
sh600487,19.66,6867513
sz300094,6.18,1600002
sz000766,6.81,454227
sz002791,11.23,207755
sh600313,2.52,527436
sh600186,1.85,208495
sh600196,25.52,2085188
sh600137,13.23,56889
sz000528,6.57,616266
sh600612,42.75,188100
sh600814,5.45,365695
sz000639,8.02,62909
sz002845,19.15,5913520
sh603818,7.02,1404
sh600520,12.9,39990
sz002680,1.63,2561382
sz000564,2.81,167476
sh601969,4.74,121344
sh603518,14.77,70896
sz002877,14.65,108410
sz002299,21.7,5192224
sz000998,14.24,1764336
sz300347,47.36,227328
sh600826,10.21,105163
sh601633,7.13,773605
sh603900,12.58,362304
sz300508,22.8,802560
sz300384,14.1,1876710
sz002640,11.77,209506
sz002415,32.4,7832732
sh600645,17.2,187480
sz002469,4.11,411
sz002827,14.5,27550
sz300636,18.22,12754
sz000890,5.03,416484
sh603026,21.65,205675
sh600539,0.0,0.0
sz000925,6.64,262944
sz002459,11.98,983558
sh603388,10.4,75920
sz300221,6.59,14841339
sz000970,8.35,775715
sz002775,6.2,158100
sz300463,16.13,274210
sh603110,12.93,4321206
sz000089,8.29,439370
sh603116,7.55,205360
sh603500,11.67,46913
sh600854,4.0,70000
sh600009,52.68,1461080
sz000936,6.65,1335985
sz300243,0.0,0.0
sh600962,7.99,50337
sh600893,23.36,572320
sh603556,14.14,79184
sz300545,33.08,4409564
sz002037,9.17,165060
sh603021,0.0,0.0
sh600619,8.7,108750
sh600096,5.94,64746
sz002537,10.27,670631
sh600059,7.06,44478
sz000957,6.2,1040980
sh600217,4.62,218064
sh600023,4.59,129438
sz300543,16.89,216192
sh600222,4.0,19200
sz300627,17.7,127440
sh603933,18.08,101248
sh601222,5.62,689574
sh603028,0.0,0.0
sh600083,17.03,5109
sz300392,6.95,586580
sz002732,16.1,6440
sh601330,12.16,369664
sz002905,13.7,109600
sz002750,0.0,0.0
sz300641,5.89,5033947
sz300393,17.1,398430
sh603977,0.0,0.0
sz300521,9.12,6384
sh601966,15.23,53305
sh600668,12.35,201466
sh601015,5.51,22040
sz300012,7.38,376380
sh601398,5.54,7972060
sz300583,32.99,445365
sz002056,6.36,938736
sz002499,0.0,0.0
sz000628,9.98,101796
sz300026,3.1,184450
sh600302,4.68,27612
sh603035,12.64,104912
sz300578,15.58,23370
sz000895,25.25,3873350
sz300481,17.0,10682477
sh600891,5.61,6264687
sz300626,8.15,87205
sz000703,13.59,201132
sz300596,29.26,55594
sh603399,10.45,748220
sz000090,5.4,730080
sh600136,8.27,671524
sh603196,8.57,596472
sz300676,68.4,2489760
sz002687,5.83,54219
sz300122,39.8,1958160
sh603803,10.91,1410663
sh600240,2.36,1042176
sh601949,4.46,83848
sh601333,3.6,156600
sh600868,3.14,3313328
sz002668,3.95,1005670
sh603183,15.4,53900
sh600791,0.0,0.0
sh600348,5.33,338455
sh603129,17.98,88102
sz002267,7.6,87400
sz300106,5.72,362156
sz002380,11.27,116081
sz002195,3.96,1266646
sz000539,4.12,174688
sh603676,11.2,477120
sz002221,8.41,337241
sh600526,3.92,336336
sz300518,20.57,59653
sh603991,0.0,0.0
sz000803,12.0,69600
sz000068,4.6,1628860
sh603536,0.0,0.0
sh600219,2.25,1661175
sh601999,5.52,88320
sz300017,8.25,1588125
sh600628,0.0,0.0
sh600332,34.5,8100600
sh600075,4.87,30194
sz002915,21.45,57915
sz002724,5.98,109434
sh600000,10.75,2673525
