,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell,inst_sell
sh603076,24.4,29280.0,0.0,0.0,0.0,0.0
sz300240,7.61,41855.0,0.0,0.0,0.0,0.0
sz000893,0,0,0,0,0,0
sh600185,4.98,5478.0,0.0,0.0,0.0,0.0
sz002468,27.5,2887500.0,0.0,0.0,0.0,0.0
sh601225,8.88,1846161.0,0.0,0.0,0.0,0.0
sz000966,5.26,458672.0,0.0,0.0,0.0,0.0
sz002424,9.6,52800.0,0.0,0.0,0.0,0.0
sz002305,2.53,9361.0,0.0,0.0,0.0,0.0
sh600157,1.61,613249.0,0.0,0.0,0.0,0.0
sh603918,10.35,40365.0,0.0,0.0,0.0,0.0
sz300701,26.03,221255.0,0.0,0.0,0.0,0.0
sz000403,0,0,0,0,0,0
sz300717,17.46,11911212.0,0.0,0.0,0.0,0.0
sh600536,48.97,1811890.0,0.0,0.0,0.0,0.0
sh603477,0,0,0,0,0,0
sz000996,13.26,572832.0,0.0,0.0,0.0,0.0
sz002524,4.95,157410.0,0.0,0.0,0.0,0.0
sh600896,4.85,14550.0,0.0,0.0,0.0,0.0
sz002606,5.77,38659.0,0.0,0.0,0.0,0.0
sh600487,16.39,661730.0,0.0,0.0,0.0,0.0
sz300094,4.56,13680.0,0.0,0.0,0.0,0.0
sz000766,6.58,98042.0,0.0,0.0,0.0,0.0
sz002791,17.58,100206.0,0.0,0.0,0.0,0.0
sh600313,3.71,171588.0,0.0,0.0,0.0,0.0
sh600186,1.75,57925.0,0.0,0.0,0.0,0.0
sh600196,27.47,3549124.0,0.0,0.0,0.0,0.0
sh600137,16.0,110400.0,0.0,0.0,0.0,0.0
sz000528,6.49,129800.0,0.0,0.0,0.0,0.0
sh600612,43.45,867610.0,0.0,0.0,0.0,0.0
sh600814,0,0,0,0,0,0
sz000639,8.73,10476.0,0.0,0.0,0.0,0.0
sz002845,16.52,457604.0,0.0,0.0,0.0,0.0
sh603818,8.22,86310.0,0.0,0.0,0.0,0.0
sh600520,0,0,0,0,0,0
sz002680,0,0,0,0,0,0
sz000564,2.44,254980.0,0.0,0.0,0.0,0.0
sh601969,5.7,409260.0,0.0,0.0,0.0,0.0
sh603518,9.0,13500.0,0.0,0.0,0.0,0.0
sz002877,8.92,6244.0,0.0,0.0,0.0,0.0
sz002299,26.27,1857289.0,0.0,0.0,0.0,0.0
sz000998,14.05,422905.0,0.0,0.0,0.0,0.0
sz300347,53.5,3129750.0,0.0,0.0,0.0,0.0
sh600826,10.98,155916.0,0.0,0.0,0.0,0.0
sh601633,9.19,536696.0,0.0,0.0,0.0,0.0
sh603900,11.88,17820.0,0.0,0.0,0.0,0.0
sz300508,31.26,115662.0,0.0,0.0,0.0,0.0
sz300384,17.89,60826.0,0.0,0.0,0.0,0.0
sz002640,8.49,175743.0,0.0,0.0,0.0,0.0
sz002415,27.25,5659825.0,0.0,0.0,0.0,0.0
sh600645,17.01,44226.0,0.0,0.0,0.0,0.0
sz002469,4.2,23100.0,0.0,0.0,0.0,0.0
sz002827,9.72,14580.0,193.05,0.03748338,0.25783627,0.03746669
sz300636,0,0,0,0,0,0
sz000890,0,0,0,0,0,0
sh603026,30.9,247200.0,0.0,0.0,0.0,0.0
sh600539,0,0,0,0,0,0
sz000925,7.7,739200.0,0.0,0.0,0.0,0.0
sz002459,12.39,34692.0,0.0,0.0,0.0,0.0
sh603388,7.71,179643.0,0.0,0.0,0.0,0.0
sz300221,6.22,85214.0,0.0,0.0,0.0,0.0
sz000970,10.31,341261.0,0.0,0.0,0.0,0.0
sz002775,6.05,6050.0,0.0,0.0,0.0,0.0
sz300463,24.77,502831.0,0.0,0.0,0.0,0.0
sh603110,15.45,621090.0,0.0,0.0,0.0,0.0
sz000089,9.14,654424.0,0.0,0.0,0.0,0.0
sh603116,7.69,13842.0,0.0,0.0,0.0,0.0
sh603500,12.11,25431.0,0.0,0.0,0.0,0.0
sh600854,0,0,0,0,0,0
sh600009,81.78,2195302.0,0.0,0.0,0.0,0.0
sz000936,8.74,215004.0,0.0,0.0,0.0,0.0
sz300243,8.05,414575.0,0.0,0.0,0.0,0.0
sh600962,0,0,0,0,0,0
sh600893,0,0,0,0,0,0
sh603556,14.01,516969.0,0.0,0.0,0.0,0.0
sz300545,26.41,2009801.0,0.0,0.0,0.0,0.0
sz002037,8.26,390698.0,0.0,0.0,0.0,0.0
sh603021,5.99,14975.0,0.0,0.0,0.0,0.0
sh600619,9.1,27300.0,0.0,0.0,0.0,0.0
sh600096,6.05,1938420.0,0.0,0.0,0.0,0.0
sz002537,6.76,2108444.0,0.0,0.0,0.0,0.0
sh600059,9.52,1631728.0,0.0,0.0,0.0,0.0
sz000957,7.42,283444.0,0.0,0.0,0.0,0.0
sh600217,6.03,860481.0,0.0,0.0,0.0,0.0
sh600023,4.28,163496.0,0.0,0.0,0.0,0.0
sz300543,20.1,28140.0,0.0,0.0,0.0,0.0
sh600222,4.48,5376.0,0.0,0.0,0.0,0.0
sz300627,18.22,173090.0,0.0,0.0,0.0,0.0
sh603933,14.89,875532.0,0.0,0.0,0.0,0.0
sh601222,4.58,101218.0,0.0,0.0,0.0,0.0
sh603028,10.19,77444.0,0.0,0.0,0.0,0.0
sh600083,14.1,1793520.0,0.0,0.0,0.0,0.0
sz300786,0,0,0,0,0,0
sz300392,0,0,0,0,0,0
sz002732,18.46,468884.0,0.0,0.0,0.0,0.0
sh601330,13.22,2818504.0,0.0,0.0,0.0,0.0
sz002905,15.97,169282.0,0.0,0.0,0.0,0.0
sz002750,11.42,840512.0,0.0,0.0,0.0,0.0
sz300641,5.66,7358.0,0.0,0.0,0.0,0.0
sz300393,11.67,187887.0,0.0,0.0,0.0,0.0
sh603977,9.22,323622.0,0.0,0.0,0.0,0.0
sz300521,0,0,0,0,0,0
sh601966,17.76,623376.0,0.0,0.0,0.0,0.0
sh600668,12.52,63063.0,0.0,0.0,0.0,0.0
sh601015,3.7,78810.0,0.0,0.0,0.0,0.0
sz300012,10.77,3103914.0,0.0,0.0,0.0,0.0
sh601398,5.56,11355188.0,0.0,0.0,0.0,0.0
sz300583,33.06,26448.0,0.0,0.0,0.0,0.0
sz002056,6.91,249686.0,0.0,0.0,0.0,0.0
sz002499,0,0,0,0,0,0
sz000628,10.01,92092.0,0.0,0.0,0.0,0.0
sz300026,3.27,24198.0,0.0,0.0,0.0,0.0
sh600302,4.99,14970.0,0.0,0.0,0.0,0.0
sh603035,9.42,199704.0,0.0,0.0,0.0,0.0
sz300578,26.3,318230.0,0.0,0.0,0.0,0.0
sz000895,0,0,0,0,0,0
sz300481,13.89,976467.0,0.0,0.0,0.0,0.0
sh600891,1.6,33760.0,0.0,0.0,0.0,0.0
sz300626,8.37,33480.0,0.0,0.0,0.0,0.0
sz000703,13.73,685127.0,0.0,0.0,0.0,0.0
sz300596,32.32,500960.0,0.0,0.0,0.0,0.0
sh603399,10.69,20311.0,0.0,0.0,0.0,0.0
sz000090,5.33,130052.0,0.0,0.0,0.0,0.0
sh600136,11.21,112100.0,0.0,0.0,0.0,0.0
sh603196,8.83,34437.0,0.0,0.0,0.0,0.0
sz300676,61.31,533397.0,0.0,0.0,0.0,0.0
sz002687,6.05,131285.0,0.0,0.0,0.0,0.0
sz300122,44.44,4292904.0,0.0,0.0,0.0,0.0
sh603803,12.42,116748.0,0.0,0.0,0.0,0.0
sh600240,1.0,292200.0,0.0,0.0,0.0,0.0
sh601949,6.11,83096.0,0.0,0.0,0.0,0.0
sh601333,3.16,79632.0,0.0,0.0,0.0,0.0
sh600868,3.57,60690.0,0.0,0.0,0.0,0.0
sz002668,5.06,354200.0,0.0,0.0,0.0,0.0
sh603183,10.85,111755.0,0.0,0.0,0.0,0.0
sh600791,3.98,3184.0,0.0,0.0,0.0,0.0
sh600348,5.42,385904.0,0.0,0.0,0.0,0.0
sh603129,0,0,0,0,0,0
sz002267,7.82,88366.0,0.0,0.0,0.0,0.0
sz300106,8.1,183870.0,0.0,0.0,0.0,0.0
sz002380,13.99,12591.0,0.0,0.0,0.0,0.0
sz002195,3.72,1411368.0,0.0,0.0,0.0,0.0
sz000539,4.0,252800.0,0.0,0.0,0.0,0.0
sh603676,10.55,11605.0,0.0,0.0,0.0,0.0
sz002221,8.69,353683.0,0.0,0.0,0.0,0.0
sh600526,5.31,19647.0,0.0,0.0,0.0,0.0
sz300518,23.55,82425.0,0.0,0.0,0.0,0.0
sh603991,20.54,4108.0,0.0,0.0,0.0,0.0
sz000803,15.02,3004.0,0.0,0.0,0.0,0.0
sz000068,4.33,139426.0,0.0,0.0,0.0,0.0
sh603536,10.25,663175.0,0.0,0.0,0.0,0.0
sh600219,2.22,713064.0,0.0,0.0,0.0,0.0
sh601999,0,0,0,0,0,0
sz300017,10.37,1365729.0,0.0,0.0,0.0,0.0
sh600628,7.16,716.0,0.0,0.0,0.0,0.0
sh600332,40.94,1506592.0,0.0,0.0,0.0,0.0
sh600075,5.07,41067.0,0.0,0.0,0.0,0.0
sz002915,25.43,6518396.0,0.0,0.0,0.0,0.0
sz002724,5.78,10404.0,0.0,0.0,0.0,0.0
sh600000,11.43,4718921.0,0.0,0.0,0.0,0.0
sh600608,0,0,0,0,0,0
sz300313,5.5,110000.0,0.0,0.0,0.0,0.0
sz300329,0,0,0,0,0,0
sh600373,12.46,87220.0,0.0,0.0,0.0,0.0
sh603017,13.39,41509.0,0.0,0.0,0.0,0.0
sh601588,3.71,169547.0,0.0,0.0,0.0,0.0
sz002650,3.78,1514453.0,0.0,0.0,0.0,0.0
sh600971,5.57,5570.0,0.0,0.0,0.0,0.0
sz300282,11.23,33690.0,0.0,0.0,0.0,0.0
sh600444,0,0,0,0,0,0
sz000806,2.24,77280.0,0.0,0.0,0.0,0.0
sz300706,23.36,455520.0,0.0,0.0,0.0,0.0
sh601199,3.9,53040.0,0.0,0.0,0.0,0.0
sh600589,4.65,5580.0,0.0,0.0,0.0,0.0
sh601958,6.39,35145.0,0.0,0.0,0.0,0.0
sz300410,11.65,1845360.0,0.0,0.0,0.0,0.0
sz002467,5.93,438820.0,0.0,0.0,0.0,0.0
sz300259,3.53,46596.0,0.0,0.0,0.0,0.0
sz300189,3.74,135014.0,0.0,0.0,0.0,0.0
sz002918,12.49,665717.0,0.0,0.0,0.0,0.0
