,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell
sh603076,0.0,0.0,0.05,0.00772733,0.00329487
sz300240,9.05,279645.0,0.0,0.00230874,0.00351919
sz000893,8.58,538824.0,0.5,0.00175931,0.00378525
sh600185,5.66,97918.0,0.05,0.00066339,0.00496892
sz002468,23.83,240683.0,0.1,0.01202086,0.00722407
sh601225,9.3,517080.0,0.0,0.24000897,0.01279242
sz000966,6.3,6458760.0,0.0,0.00946054,0.01204863
sz002424,13.11,4803504.0,0.0,0.00222085,0.00222085
sz002305,3.52,189376.0,7.566666666666666,0.00677235,0.029830259999999997
sh600157,2.31,8227989.0,36.46666666666667,2.10638356,3.12759524
sh603918,15.05,61705.0,0.0,0.00024566,0.00027656
sz300701,38.55,65535.0,0.0,0.00773466,3.894e-05
sz000403,29.19,5838.0,0.0,0.02094182,0.01738958
sz300717,17.8,90780.0,0.0,0.00126859,0.0011438
sh600536,55.58,8542646.0,0.0,0.0523626,0.0523626
sh603477,9.08,104420.0,0.7166666666666667,0.00109882,0.00053808
sz000996,17.0,4040900.0,22.85,0.49124664,1.76214258
sz002524,6.09,717402.0,233.4,0.10033349,0.7417942900000001
sh600896,6.3,473760.0,0.0,0.0,0.0047376
sz002606,7.32,278892.0,4.566666666666667,0.01104637,0.0600557
sh600487,22.33,12394579.0,0.0,0.05515146,0.02034233
sz300094,6.27,129789.0,1.7666666666666666,0.01298457,0.01576551
sz000766,10.59,3286077.0,0.0,0.005135,0.005135
sz002791,14.51,132041.0,0.1,0.0020233,0.0003377
sh600313,3.13,100160.0,3.7,0.00218458,0.01159929
sh600186,2.08,219232.0,20.033333333333335,0.01388963,0.09799573
sh600196,29.42,1426870.0,0.0,0.0190912,0.00512614
sh600137,16.46,378580.0,0.0,0.00540477,0.00251649
sz000528,8.23,2582574.0,0.0,0.03778163,0.0247289
sh600612,46.34,74144.0,0.1,0.00055582,0.00069605
sh600814,6.32,6320.0,0.0,0.00151705,0.00043095
sz000639,10.06,120720.0,0.0,0.0,0.0012072
sz002845,20.45,51125.0,0.05,0.00107035,0.00053551
sh603818,8.64,48384.0,0.0,1.75e-05,1.75e-05
sh600520,14.6,121180.0,0.0,0.01026861,0.00322726
sz002680,0,0,0,0,0
sz000564,3.72,333312.0,2.8,0.01644277,0.04034288
sh601969,5.76,23616.0,0.0,0.00780813,0.0080414
sh603518,0.0,0.0,0.45,0.00088936,0.00201075
sz002877,0.0,0.0,0.0,0.01936872,0.0124564
sz002299,26.99,4531621.0,0.0,0.00524138,0.00019015
sz000998,15.21,62361.0,0.45,0.01003767,0.01147113
sz300347,63.15,107355.0,0.1,0.00683697,0.00057131
sh600826,12.85,322535.0,0.23333333333333334,0.00268097,0.00515554
sh601633,10.46,1800166.0,0.0,0.00460204,0.00596952
sh603900,16.06,635976.0,4.95,0.0,0.01038944
sz300508,29.3,240260.0,210.38333333333333,0.05839961,0.21267534999999999
sz300384,17.92,30464.0,0.0,0.00167751,0.00084964
sz002640,12.9,5504430.0,0.1,0.32292333,0.0349473
sz002415,34.28,1947104.0,0.0,0.08110903,0.02124208
sh600645,21.79,3307308.0,0.0,0.02050262,0.01015939
sz002469,5.55,11224875.0,0.0,0.01447444,0.00625615
sz002827,18.03,567945.0,0.2,0.00551714,0.01053422
sz300636,21.59,112268.0,0.6,0.00266455,0.0006507
sz000890,6.91,312332.0,0.0,0.09755001,0.05784768
sh603026,38.47,1723456.0,0.0,0.0025513,0.00099771
sh600539,8.4,35280.0,0.0,0.00375358,0.00117162
sz000925,7.95,873705.0,0.26666666666666666,0.01923084,0.00980085
sz002459,12.71,805814.0,0.0,0.03886873,0.00527417
sh603388,13.08,251136.0,0.0,0.0,0.00251136
sz300221,8.88,71928.0,0.05,0.0169881,0.00135221
sz000970,12.12,1105344.0,0.25,0.00700004,0.02179062
sz002775,9.15,617625.0,0.0,0.0,0.00617625
sz300463,22.31,252103.0,0.0,0.0,0.00252103
sh603110,15.55,7775.0,19.366666666666667,0.07491871,0.19050385
sz000089,9.14,251350.0,0.05,0.01557978,0.01323871
sh603116,9.04,39776.0,0.5333333333333333,0.00295761,0.00072863
sh603500,13.8,19320.0,0.0,0.01155332,0.0075428
sh600854,4.92,469368.0,0.0,0.00259577,0.00043811
sh600009,64.08,1281600.0,0.05,0.01029334,0.00174948
sz000936,9.83,323407.0,0.0,0.0,0.0037646
sz300243,10.81,39997.0,0.2,0.00055459,0.00217571
sh600962,11.15,439310.0,0.11666666666666667,0.00285284,0.0012463
sh600893,26.38,456374.0,0.15,0.01365853,0.00633425
sh603556,15.75,140175.0,4.983333333333333,0.0,0.00237783
sz300545,31.71,1499883.0,0.05,0.00473621,0.00076872
sz002037,9.75,2925.0,3.2666666666666666,0.0087195,0.00823898
sh603021,7.37,18425.0,1.65,0.00178434,0.00224041
sh600619,10.63,122245.0,0.2,0.01248587,0.01162881
sh600096,7.75,4248597.0,0.0,0.00625944,0.00625944
sz002537,11.78,757454.0,0.13333333333333333,0.00371852,0.00288683
sh600059,8.44,125756.0,0.05,0.00691868,0.00780171
sz000957,9.87,16722741.0,0.0,0.00022203,0.00022203
sh600217,6.58,4581654.0,0.03333333333333333,0.00435594,0.00028476
sh600023,4.98,354576.0,0.6166666666666667,0.01768224,0.01000032
sz300543,20.95,48185.0,0.05,0.00322291,0.00348039
sh600222,6.27,378081.0,0.0,0.0126372,0.0129124
sz300627,23.16,171384.0,0.0,0.00155424,0.00018624
sh603933,21.32,251576.0,0.0,0.00043068,0.00152824
sh601222,5.85,163800.0,4.366666666666666,0.00630067,0.05876271
sh603028,9.72,203148.0,0.0,0.00169041,0.00443136
sh600083,18.1,57920.0,0.0,0.00363693,0.00363693
sz300392,9.86,3725108.0,0.05,0.0012811,0.00683293
sz002732,18.51,9255.0,0.0,0.0004838,1.864e-05
sh601330,13.42,233508.0,0.13333333333333333,0.00558056,0.00204434
sz002905,21.47,560367.0,0.06666666666666667,0.00395975,0.00300851
sz002750,18.06,5826156.0,0.03333333333333333,0.00219256,0.00440396
sz300641,6.33,52476.0,3.35,0.00207422,0.00578472
sz300393,21.12,78144.0,0.0,0.00079468,0.00019329
sh603977,0.0,0.0,0.0,0.00092838,3.806e-05
sz300521,12.22,91650.0,0.0,0.00142589,0.00142589
