,kaipan_price,kaipan_money
sh600000,9.55,1720910.0000000002
sh600004,13.35,312390.0
sh600006,10.0,58479000.0
sh600007,12.38,61900.0
sh600008,2.86,313742.0
sh600009,73.09,4326928.0
sh600010,1.16,1510320.0
sh600011,4.61,3600410.0000000005
sh600012,5.95,14280.000000000002
sh600015,6.18,938124.0
sh600016,5.13,1249155.0
sh600017,2.77,161768.0
sh600018,4.41,212121.0
sh600019,6.03,1842768.0
sh600020,3.28,23288.0
sh600021,7.3,250390.0
sh600022,1.43,314171.0
sh600023,3.65,171550.0
sh600025,4.48,203840.0
sh600026,6.37,336973.0
sh600027,3.39,1019034.0
sh600028,4.01,5814500.0
sh600029,5.88,687372.0
sh600030,28.19,5987556.000000001
sh600031,32.8,8840000.0
sh600033,2.62,52924.0
sh600035,2.88,29376.0
sh600036,42.35,11099935.0
sh600037,9.9,7804170.0
sh600038,60.0,13464000.0
sh600039,4.45,148185.0
sh600048,15.65,2432010.0
sh600050,4.5,2677050.0
sh600051,8.85,52215.0
sh600052,2.98,8344.0
sh600053,19.49,103297.0
sh600054,8.76,259296.0
sh600055,11.01,210291.0
sh600056,14.68,86612.0
sh600057,6.06,522978.0
sh600058,7.03,37962.0
sh600059,15.29,51620000.0
sh600060,11.2,1317120.0
sh600061,13.44,465024.0
sh600062,12.1,150040.0
sh600063,3.6,106560.00000000001
sh600064,10.16,177800.0
sh600066,17.33,2864649.0
sh600067,3.76,58279.99999999999
sh600068,6.56,213200.0
sh600070,8.55,65835.0
sh600071,12.12,629028.0
sh600072,13.92,4430736.0
sh600073,10.86,2466306.0
sh600075,5.65,109045.0
sh600076,3.6,6120.0
sh600077,3.23,34238.0
sh600078,4.12,0.0
sh600079,31.71,1426950.0
sh600080,5.38,0.0
sh600081,14.16,1186608.0
sh600082,2.99,36179.0
sh600083,6.21,0.0
sh600084,2.37,819309.0
sh600085,24.12,820080.0000000001
sh600086,0.86,0.0
sh600088,11.8,140000.0
sh600089,9.8,10023440.0
sh600090,1.45,210000.0
sh600091,1.77,0.0
sh600093,8.25,153450.0
sh600094,4.08,70584.0
sh600095,13.98,1653834.0
sh600096,6.0,453000.0
sh600097,11.6,2011439.9999999998
sh600098,6.22,416739.99999999994
sh600099,6.25,116250.0
sh600100,6.21,226665.0
sh600101,5.9,118590.00000000001
sh600103,1.96,297332.0
sh600104,24.51,9857922.0
sh600105,3.27,1198782.0
sh600106,2.65,64394.99999999999
sh600107,8.64,57888.0
sh600108,3.81,11250930.0
sh600109,15.35,3507475.0
sh600110,8.68,7930916.0
sh600111,12.55,5474310.000000001
sh600112,1.16,209612.0
sh600113,6.54,574212.0
sh600114,7.9,290720.0
sh600115,4.53,782331.0
sh600116,8.26,265146.0
sh600117,3.93,205146.0
sh600118,31.42,5134028.000000001
sh600119,7.69,15380.000000000002
sh600120,6.1,230579.99999999997
sh600121,6.9,33510000.0
sh600122,1.08,1302480.0
sh600123,5.76,1637568.0
sh600125,5.72,13610000.0
sh600126,5.34,69420.0
sh600127,11.78,5841702.0
sh600128,6.58,67774.0
sh600129,13.43,33575.0
sh600130,3.76,17295.999999999996
sh600131,14.33,200620.0
sh600132,116.82,724283.9999999999
sh600133,5.62,38216.0
sh600135,6.95,740870.0
sh600136,6.71,410000.0
sh600137,13.73,0.0
sh600138,10.28,455404.0
sh600139,3.16,42976.0
sh600141,11.86,361730.0
sh600143,17.45,2158565.0
sh600145,1.37,96037.00000000001
sh600146,1.1,1531090.0000000002
sh600148,14.14,12726.0
sh600149,4.69,115843.0
sh600150,17.78,446278.00000000006
sh600151,8.12,586264.0
