,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell,inst_sell,cost
sz000719,6.98,9074.0,0.0,0.0,0.0,0.0,7.0071554615721166
sz300139,7.06,530912.0,0.0,0.0,0.0,0.0,7.017616229825844
sh600728,9.27,413442.0,0.0,0.0,0.0,0.0,9.21690597522373
sz300294,38.25,2857275.0,0.0,0.0,0.0,0.0,39.03982294785522
sh601658,4.66,2293186.0,0.0,0.0,0.0,0.0,4.631321713911393
sz300801,20.95,1248620.0,0.0,0.0,0.0,0.0,20.697740000967258
sh600543,5.73,224616.0,0.0,0.0,0.0,0.0,5.746474033458987
sz002041,11.74,214842.0,0.0,0.0,0.0,0.0,11.959630049287005
sh600337,4.7,233590.0,0.0,0.0,0.0,0.0,4.6408604759167424
sz300236,59.8,3749460.0,0.0,0.0,0.0,0.0,58.68737182528782
sz002473,0.0,0.0,0.0,0.0,0.0,0.0,7.8712736755421355
sz002748,6.83,1366.0,0.0,0.0,0.0,0.0,6.790816747572816
sz002087,3.69,186345.0,0.0,0.0,0.0,0.0,3.7294322847197368
sz002112,7.56,3166128.0,0.0,0.0,0.0,0.0,7.430478260869566
sz002420,3.93,3144.0,0.0,0.0,0.0,0.0,3.936600938498402
sz002830,12.4,105400.0,0.0,0.0,0.0,0.0,12.363661663286004
sh603666,111.12,402699.0,0.0,0.0,0.0,0.0,104.70630792622464
sz002236,18.55,17681693.0,0.0,0.0,0.0,0.0,18.521693922760182
sh600161,44.49,27041022.0,0.0,0.0,0.0,0.0,45.230869638764815
sh600458,6.53,112969.0,0.0,0.0,0.0,0.0,6.5816589836561405
sz002282,8.25,121275.0,0.0,0.0,0.0,0.0,8.227228493150685
sz002479,6.17,57998.0,0.0,0.0,0.0,0.0,6.129110582125081
sh603515,27.24,70824.0,0.0,0.0,0.0,0.0,27.26047723891699
sh600847,11.25,669375.0,0.0,0.0,0.0,0.0,11.018346235835297
sz002059,4.45,1335.0,0.0,0.0,0.0,0.0,4.416163571011208
sh600623,5.23,45501.0,0.0,0.0,0.0,0.0,5.207410633697866
sh603355,22.26,182532.0,0.0,0.0,0.0,0.0,22.231854586765124
sz002128,8.05,254388.0,0.0,0.0,0.0,0.0,8.091031579318988
sh600706,7.28,56056.0,0.0,0.0,0.0,0.0,7.2898555365254305
sh603131,17.63,199219.0,0.0,0.0,0.0,0.0,17.38696538691068
sz002760,22.65,86070.0,0.0,0.0,0.0,0.0,22.16535608690063
sz300260,18.36,2471256.0,0.0,0.0,0.0,0.0,18.684938431119203
sz002522,7.03,2414805.0,0.0,0.0,0.0,0.0,6.978232176748386
sh603823,20.02,607807.0,0.0,0.0,0.0,0.0,20.388612353717782
sz300130,13.38,1455744.0,0.0,0.0,0.0,0.0,13.210846599472495
sz002645,8.51,226366.0,0.0,0.0,0.0,0.0,8.432588406127213
sz000633,0.0,0.0,0.0,0.0,0.0,0.0,3.60936194240542
sh603676,10.75,56975.0,0.0,0.0,0.0,0.0,11.082048825999065
sz002853,21.7,362390.0,0.0,0.0,0.0,0.0,21.69697141421473
sz002700,3.7,14060.0,0.0,0.0,0.0,0.0,3.705691472799253
sz300826,38.75,275125.0,0.0,0.0,0.0,0.0,38.46156046528642
sz300719,11.18,2372396.0,0.0,0.0,0.0,0.0,11.040341120377018
sz300105,0.0,0.0,0.0,0.0,0.0,0.0,4.280511502223923
sz300404,15.4,672518.0,0.0,0.0,0.0,0.0,15.595191104586176
sh600081,10.52,62068.0,0.0,0.0,0.0,0.0,10.599365811698469
sz002908,13.58,494312.0,0.0,0.0,0.0,0.0,13.511050868415
sz300632,15.05,472570.0,0.0,0.0,0.0,0.0,14.842887710905682
sh601882,0.0,0.0,0.0,0.0,0.0,0.0,8.011197082888652
sz000848,7.01,306337.0,0.0,0.0,0.0,0.0,6.954673071861016
sh603569,9.91,614420.0,0.0,0.0,0.0,0.0,10.038562108932297
sz002166,7.85,253555.0,0.0,0.0,0.0,0.0,8.223210465534542
sz002017,11.87,502101.0,0.0,0.0,0.0,0.0,11.806811031337407
sz002089,2.44,610000.0,0.0,0.0,0.0,0.0,2.4460354108603797
sh600152,6.02,63812.0,0.0,0.0,0.0,0.0,6.072939169982944
sz300050,5.24,865648.0,0.0,0.0,0.0,0.0,5.186491660278214
sz300367,3.63,1182654.0,0.0,0.0,0.0,0.0,3.557031753034289
sh600252,3.26,187776.0,0.0,0.0,0.0,0.0,3.324502500548756
sh603256,11.65,669875.0,0.0,0.0,0.0,0.0,11.44667692819702
sz300527,8.51,1217058.0,0.0,0.0,0.0,0.0,8.731107417613126
sh601038,9.1,314496.0,0.0,0.0,0.0,0.0,9.318216758513495
sz300604,28.02,924660.0,0.0,0.0,0.0,0.0,27.637444025659583
sh600107,7.0,206500.0,0.0,0.0,0.0,0.0,6.92575235723181
sz300111,2.52,130284.0,0.0,0.0,0.0,0.0,2.4901620707898373
sh603466,16.62,588431.0,0.0,0.0,0.0,0.0,16.468506897038747
sh600188,8.67,437835.0,0.0,0.0,0.0,0.0,8.652102060572537
sz002903,12.88,229264.0,0.0,0.0,0.0,0.0,12.639962129442806
sz002062,4.62,158466.0,0.0,0.0,0.0,0.0,4.580032008749544
sz002012,5.66,144896.0,0.0,0.0,0.0,0.0,5.675299153948912
sz002149,6.91,71864.0,0.0,0.0,0.0,0.0,6.869270915223289
sz300830,17.09,1000363.0,0.0,0.0,0.0,0.0,17.247215478569004
sz001896,3.26,505626.0,0.0,0.0,0.0,0.0,3.273912427878659
sz002045,9.3,618450.0,0.0,0.0,0.0,0.0,9.151387612590902
sz002610,1.33,716870.0,0.0,0.0,0.0,0.0,1.330804504818693
sz002801,38.37,659964.0,0.0,0.0,0.0,0.0,37.64351585976628
sz000533,2.77,343757.0,0.0,0.0,0.0,0.0,2.734694902454374
sz002155,7.63,763000.0,0.0,0.0,0.0,0.0,7.646870066648239
sh600084,2.38,3808.0,0.0,0.0,0.0,0.0,2.377043963668475
sz002728,14.4,56160.0,0.0,0.0,0.0,0.0,14.634557421848964
sh603767,0.0,0.0,0.0,0.0,0.0,0.0,6.8383101314771855
sh600121,1.8,32760.0,0.0,0.0,0.0,0.0,1.81814047641465
sh600746,6.96,2291928.0,0.0,0.0,0.0,0.0,6.859339697954817
sz000006,6.01,4411340.0,0.0,0.0,0.0,0.0,6.140414728297266
sh600196,33.86,13273120.0,0.0,0.0,0.0,0.0,34.52072612956507
sz300489,43.2,1015200.0,0.0,0.0,0.0,0.0,41.75380428583068
sh600808,2.77,9327698.0,0.0,0.0,0.0,0.0,2.759936578825112
sz300092,7.86,291614.0,0.0,0.0,0.0,0.0,7.737741694832679
sz300550,20.45,103048.0,0.0,0.0,0.0,0.0,20.49674777183601
sz300767,68.23,934751.0,0.0,0.0,0.0,0.0,65.6978197547406
sh600829,8.09,500771.0,0.0,0.0,0.0,0.0,8.284091736630474
sh600691,1.92,28416.0,0.0,0.0,0.0,0.0,1.9203890650745
sz300278,3.94,489348.0,0.0,0.0,0.0,0.0,3.846253661394259
sz000520,3.71,16695.0,0.0,0.0,0.0,0.0,3.6942489585305816
sz002840,16.24,1157912.0,0.0,0.0,0.0,0.0,16.206960945828083
sz002960,22.8,47880.0,0.0,0.0,0.0,0.0,22.76549515669516
sz000868,4.6,190440.0,0.0,0.0,0.0,0.0,4.4868400344103
sh600567,2.95,414770.0,0.0,0.0,0.0,0.0,2.94119898304901
sz000778,3.39,1042764.0,0.0,0.0,0.0,0.0,3.43531080602495
sz000786,21.8,636560.0,0.0,0.0,0.0,0.0,21.48619690330675
sh603118,11.55,2258025.0,0.0,0.0,0.0,0.0,11.97378692307229
sh600023,3.49,164379.0,0.0,0.0,0.0,0.0,3.495393938776134
