,kaipan_price,kaipan_money
sh600000,11.05,6910670.000000001
sh600004,14.06,1564878.0
sh600006,6.39,2223719.9999999995
sh600007,12.31,54164.0
sh600008,3.05,941840.0
sh600009,60.99,5653773.0
sh600010,1.88,41930392.0
sh600011,4.43,1777759.0
sh600012,6.52,78240.0
sh600015,6.59,977956.0
sh600016,5.29,3810387.0000000005
sh600017,2.88,167040.0
sh600018,4.92,1079448.0
sh600019,8.94,13778328.0
sh600020,3.36,156912.0
sh600021,7.75,1648425.0
sh600022,1.65,12601875.0
sh600023,3.67,895479.9999999999
sh600025,5.47,14714847.0
sh600026,6.65,530005.0
sh600027,3.44,605784.0
sh600028,4.58,10482246.0
sh600029,7.05,24001725.0
sh600030,23.33,5461553.0
sh600031,35.87,23957573.0
sh600033,2.68,46364.00000000001
sh600035,2.85,20805.0
sh600036,53.9,17706150.0
sh600037,8.7,216629.99999999997
sh600038,44.93,233636.0
sh600039,5.9,782340.0
sh600048,15.0,3100500.0
sh600050,4.53,2903277.0
sh600051,8.3,14110.000000000002
sh600052,2.82,39762.0
sh600053,15.81,80631.0
sh600054,11.61,1464021.0
sh600055,12.23,51366.0
sh600056,13.71,534690.0
sh600057,6.2,195920.0
sh600058,8.07,212241.0
sh600059,11.23,304333.0
sh600060,11.56,480896.0
sh600061,12.17,497753.0
sh600062,11.87,280132.0
sh600063,4.58,1495370.0
sh600064,10.22,54166.00000000001
sh600066,15.4,1004080.0000000001
sh600067,3.38,40222.0
sh600068,7.13,981087.9999999999
sh600070,6.82,99572.0
sh600071,13.01,156120.0
sh600072,11.21,96406.0
sh600073,8.55,243675.0
sh600075,8.36,10220935.999999998
sh600076,3.89,175828.0
sh600077,2.67,52331.99999999999
sh600078,3.77,91234.0
sh600079,25.81,193575.0
sh600080,5.82,775806.0
sh600081,11.8,31860.000000000004
sh600082,2.92,17812.0
sh600083,6.14,12280.0
sh600084,2.52,22680.0
sh600085,25.65,351405.0
sh600086,0.16,0.0
sh600088,9.73,41839.00000000001
sh600089,11.28,2988071.9999999995
sh600090,1.54,303072.0
sh600091,1.72,16168.0
sh600093,7.72,103448.0
sh600094,4.16,282048.0
sh600095,8.55,413820.00000000006
sh600096,8.1,2887650.0
sh600097,9.33,12129.0
sh600098,6.19,181986.0
sh600099,6.08,32832.0
sh600100,5.96,157344.0
sh600101,5.57,35091.0
sh600103,2.23,355239.0
sh600104,20.02,2612610.0
sh600105,3.24,224208.0
sh600106,2.68,42880.0
sh600107,8.16,94656.0
sh600108,2.78,26409.999999999996
sh600109,12.5,16663750.0
sh600110,7.74,219042.0
sh600111,22.5,20081250.0
sh600112,1.32,158796.0
sh600113,6.13,7356.0
sh600114,8.25,22275.0
sh600115,5.4,9832320.000000002
sh600116,9.39,335223.0
sh600117,3.91,1577685.0
sh600118,29.2,697880.0
sh600119,6.81,0.0
sh600120,5.62,32034.000000000004
sh600121,6.31,10042365.0
sh600122,1.13,33335.0
sh600123,5.42,192410.0
sh600125,5.42,278588.0
sh600126,6.1,2924340.0
sh600127,8.97,437736.00000000006
sh600128,6.16,111496.0
sh600129,13.05,6525.0
sh600130,3.29,33558.0
sh600131,15.49,2647241.0
sh600132,91.96,1498948.0
sh600133,6.06,303606.0
sh600135,5.95,8330.0
sh600136,6.11,43381.0
sh600137,12.78,6390.0
sh600138,13.2,4340160.0
sh600139,2.99,75348.0
sh600141,14.7,3031140.0
sh600143,22.86,2903220.0
sh600145,1.33,148295.0
sh600146,1.61,330694.0
sh600148,12.84,1284.0
sh600149,4.78,11950.0
sh600150,15.01,91561.0
sh600151,9.59,1395345.0
sh600152,6.7,23450.0
sh600153,8.34,715572.0
sh600155,10.32,207432.00000000003
sh600156,3.75,4125.0
sh600157,1.41,792842.9999999999
sh600158,11.04,1013471.9999999999
sh600159,2.43,63909.0
sh600160,9.1,778050.0
sh600161,31.4,932579.9999999999
sh600162,1.86,227106.0
sh600163,4.89,687533.9999999999
sh600165,5.9,75520.0
sh600166,4.18,12601863.999999998
sh600167,10.95,194910.0
sh600168,6.84,87552.0
sh600169,2.63,3465025.0
sh600170,3.04,625936.0
sh600171,13.95,277605.0
sh600172,3.38,189280.0
sh600173,4.34,0.0
sh600176,20.59,2709644.0
sh600177,8.06,487630.0
sh600178,7.05,174840.0
sh600179,4.16,172640.0
sh600180,5.36,25728.000000000004
sh600182,15.1,1510.0
sh600183,23.63,718352.0
sh600184,10.08,61488.0
sh600185,5.79,491571.0
sh600186,2.59,138565.0
sh600187,2.4,1224960.0
sh600188,13.36,4092168.0
sh600189,11.85,4134465.0
sh600190,2.98,205321.99999999997
sh600191,3.9,132990.0
sh600192,4.18,123728.0
sh600193,5.69,0.0
sh600195,12.42,150282.0
sh600196,39.93,1705011.0
sh600197,18.05,451250.0
sh600198,6.4,505600.0
sh600199,12.15,1019385.0
sh600200,4.82,68444.0
sh600201,19.7,407789.99999999994
sh600202,3.95,23305.0
sh600203,7.72,16984.0
sh600206,12.15,218700.0
sh600207,5.78,77452.0
sh600208,3.13,297350.0
sh600209,3.83,1532.0
sh600210,4.75,87875.0
sh600211,46.22,360516.0
sh600212,3.69,1848321.0
sh600213,6.28,178980.00000000003
sh600215,5.52,1655.9999999999998
sh600216,16.35,1257315.0000000002
sh600217,5.82,783372.0
sh600218,8.81,162985.0
sh600219,4.04,3048180.0
sh600220,2.39,52580.00000000001
sh600221,1.39,4533763.0
sh600222,5.6,39200.0
sh600223,11.13,473025.0
sh600225,1.75,4550.0
sh600226,2.69,2311786.0
sh600227,3.15,5419575.0
sh600228,11.02,0.0
sh600229,6.16,616.0
sh600230,13.1,279030.0
sh600231,2.72,3065984.0000000005
sh600232,5.03,49797.0
sh600233,11.19,138756.0
sh600234,9.41,0.0
sh600235,5.8,338140.0
sh600236,5.4,6434640.0
sh600237,5.23,543920.0000000001
sh600238,8.06,48360.0
sh600239,2.36,162132.0
sh600241,2.93,293.0
sh600242,2.61,202536.0
sh600243,3.0,0.0
sh600246,6.61,163928.0
sh600247,0.65,0.0
sh600248,4.34,272986.0
sh600249,5.03,30180.0
sh600250,4.77,23849.999999999996
sh600251,6.14,88416.0
sh600252,2.81,154269.0
sh600255,2.36,19930200.0
sh600256,3.24,3229632.0000000005
sh600257,4.74,199554.00000000003
sh600258,27.0,4095900.0
sh600259,42.5,2473500.0
sh600260,8.74,181792.0
sh600261,3.92,67816.0
sh600262,15.4,0.0
sh600265,15.97,6388.0
sh600266,4.84,26620.0
sh600267,15.78,208296.0
sh600268,6.74,232530.00000000003
sh600269,3.53,67776.0
sh600271,10.98,83448.0
sh600272,6.37,0.0
sh600273,8.85,567285.0
sh600275,2.42,144232.0
sh600276,89.94,12303792.0
sh600277,3.48,17899728.0
sh600278,8.8,3520.0000000000005
sh600279,3.61,34295.0
sh600280,3.32,25232.0
sh600281,3.9,1622400.0
sh600282,3.7,1739370.0
sh600283,10.86,116202.0
sh600284,6.05,179685.0
sh600285,8.91,304722.0
sh600287,5.5,460350.0
sh600288,9.56,73612.0
sh600289,3.7,22200.0
sh600290,3.88,1658700.0
sh600291,3.38,443118.0
sh600292,7.63,2504929.0
sh600293,2.29,2748.0
sh600295,20.66,7648332.000000001
sh600297,2.66,285950.0
sh600298,49.5,519750.0
sh600299,13.25,348475.0
sh600300,3.74,95744.0
sh600301,6.66,0.0
sh600302,4.33,26413.0
sh600303,3.75,61125.0
sh600305,18.69,575652.0
sh600306,5.52,11591.999999999998
sh600307,2.18,30160082.0
sh600308,5.81,286433.0
sh600309,113.29,18013110.0
sh600310,4.23,133245.0
sh600311,1.38,27047.999999999996
sh600312,6.82,76384.0
sh600313,4.91,250901.00000000003
sh600315,43.77,783483.0000000001
sh600316,34.42,1986034.0
sh600317,2.6,0.0
sh600318,7.43,58697.0
sh600319,5.03,34204.0
sh600320,3.44,250088.0
sh600321,1.99,49949.0
sh600322,2.09,27588.0
sh600323,26.75,556400.0
sh600325,6.22,267460.0
sh600326,7.3,425589.99999999994
sh600327,4.25,155125.0
sh600328,8.84,6002360.0
sh600329,18.01,48627.00000000001
sh600330,9.23,205829.0
sh600331,2.05,87124.99999999999
sh600332,28.98,414414.00000000006
sh600333,5.13,1042416.0
sh600335,4.92,204180.0
sh600336,6.85,575400.0
sh600337,5.89,156674.0
sh600338,10.42,969060.0
sh600339,2.87,1523683.0
sh600340,6.86,2287810.0
sh600343,9.98,253492.0
sh600345,14.35,44485.0
sh600346,34.09,2846515.0
sh600348,5.17,484946.0
sh600350,6.69,135807.00000000003
sh600351,4.73,28853.000000000004
sh600352,15.31,2546053.0000000005
sh600353,4.69,469.00000000000006
sh600354,3.89,85191.00000000001
sh600355,2.18,11554.0
sh600356,7.83,5481.0
sh600358,3.25,10075.0
sh600359,7.53,35391.0
sh600360,6.42,16050.0
sh600361,3.9,26130.0
sh600362,26.4,9176640.0
sh600363,21.7,106330.0
sh600365,2.15,6664.999999999999
sh600366,7.65,2814435.0
sh600367,8.49,7261497.0
sh600368,3.63,242846.99999999997
sh600369,4.66,138402.0
sh600370,3.29,7567.0
sh600371,11.79,64844.99999999999
sh600372,14.96,294712.00000000006
sh600373,10.06,240434.0
sh600375,7.33,905254.9999999999
sh600376,5.76,52416.0
sh600377,9.61,325779.0
sh600378,22.73,711449.0
sh600379,7.24,208512.0
sh600380,11.85,252404.99999999997
sh600381,6.16,226688.0
sh600382,5.94,441936.00000000006
sh600383,12.39,774375.0
sh600385,4.62,0.0
sh600386,3.4,6800.0
sh600387,6.25,86250.0
sh600388,9.6,1555200.0
sh600389,20.29,129856.0
sh600390,6.4,192000.0
sh600391,18.5,360750.0
sh600392,17.42,6868706.000000001
sh600393,1.79,63724.0
sh600395,7.05,205154.99999999997
sh600396,2.49,449694.00000000006
sh600397,2.9,2621890.0
sh600398,7.07,255227.0
sh600399,11.9,195160.0
sh600400,3.26,53138.0
sh600403,3.93,530943.0
sh600405,5.4,591840.0
sh600406,28.63,3060546.9999999995
sh600408,3.16,42344.0
sh600409,11.98,876936.0
sh600410,7.0,64400.0
sh600415,5.01,322143.0
sh600416,18.99,112040.99999999999
sh600418,9.1,1298570.0
sh600419,14.6,80300.0
