,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell
sh603076,27.99,299493.0,0.0,0.00087425,2.825e-05
sz300240,9.4,7183480.0,0.0,0.0,0.0718348
sz000893,6.81,806985.0,237.98333333333335,3.405e-05,0.02881311
sh600185,5.92,1120064.0,0.0,0.00905965,0.00045661
sz002468,25.95,1258575.0,0.0,0.00187316,0.00187316
sh601225,10.05,7038578.0,0.0,0.16269603,0.08177445
sz000966,4.4,636240.0,0.23333333333333334,0.01110635,0.00730561
sz002424,11.36,605488.0,0.18333333333333332,0.00376022,0.0079766
sz002305,3.52,308704.0,1.2666666666666666,0.00597525,0.02174985
sh600157,2.32,6170504.0,0.3,0.03899545,0.15332599
sh603918,15.8,181700.0,0.0,0.00199104,0.00079824
sz300701,38.45,488315.0,0.1,0.00057888,0.0001554
sz000403,28.01,78456.0,0.36666666666666664,0.001111,0.00367548
sz300717,17.69,141520.0,0.2,0.00642428,0.00364658
sh600536,60.0,25404000.0,0.0,0.01480596,0.01480596
sh603477,9.48,204768.0,0.0,0.00303854,0.00010483
sz000996,17.9,35864440.0,0.0,0.0,0.3586444
sz002524,5.91,1609293.0,0.0,0.0,0.01609293
sh600896,6.6,11200860.0,8.916666666666666,0.03429136,0.15278301
sz002606,8.07,5691771.0,4.916666666666667,0.0,0.05934678
sh600487,21.86,5491079.0,0.0,0.02070538,0.01260942
sz300094,6.78,301710.0,0.0,0.0,0.00377584
sz000766,11.18,7157436.0,0.05,0.00511977,0.00517129
sz002791,15.72,55020.0,0.05,0.0,0.00370934
sh600313,3.09,1852146.0,119.91666666666667,0.27779343,0.57156619
sh600186,2.12,889340.0,0.0,0.01547591,0.00448452
sh600196,29.73,6076812.0,0.0,0.00217841,0.00611982
sh600137,17.32,301368.0,0.0,0.01227314,0.01218639
sz000528,8.27,4643109.0,0.0,0.047355,0.01872925
sh600612,45.5,482300.0,0.0,0.01761316,0.0014209
sh600814,6.43,301715.0,0.0,0.00562567,0.0009106
sz000639,10.32,710016.0,0.5666666666666667,0.00529184,0.010034
sz002845,22.99,503481.0,0.0,0.00142793,0.00271801
sh603818,9.04,252216.0,0.31666666666666665,0.00248409,0.00607588
sh600520,15.9,593070.0,0.11666666666666667,0.0042061,0.00186603
sz002680,0,0,0,0,0
sz000564,3.93,2309268.0,0.0,0.00209793,0.01636887
sh601969,6.09,1085847.0,0.0,0.00779293,0.00405534
sh603518,18.57,579384.0,0.0,0.00370138,0.00016785
sz002877,17.56,821808.0,0.0,0.00332255,0.00332255
sz002299,25.48,7526792.0,0.0,0.06478803,0.01574608
sz000998,16.48,1153600.0,0.05,0.00502253,0.00642834
sz300347,64.3,475820.0,0.0,0.00432478,0.00517268
sh600826,13.5,9837450.0,0.16666666666666666,0.00164748,0.01139068
sh601633,9.76,4536448.0,0.0,0.01547195,0.01547195
sh603900,15.61,301273.0,0.0,0.01140085,0.00114549
sz300508,31.04,487328.0,0.0,0.00709203,0.00329543
sz300384,17.88,2651586.0,0.05,0.00352782,0.00465665
sz002640,12.14,4547644.0,0.05,0.35735369,0.06198372
sz002415,35.6,27421327.0,0.2,0.02922852,0.12461666
sh600645,22.7,1868210.0,0.05,4.574e-05,0.00730672
sz002469,5.04,105588.0,0.0,0.00729526,0.00059848
sz002827,17.7,623040.0,0.0,0.01955845,0.00826125
sz300636,22.9,2129700.0,0.0,0.0,0.021297
sz000890,6.63,584103.0,187.06666666666666,0.40184036,1.71297992
sh603026,37.68,20358504.0,6.45,0.07959303,0.48335412
sh600539,8.09,578435.0,0.0,0.0,0.00578435
sz000925,8.36,338580.0,0.15,0.00386607,0.01114291
sz002459,12.29,278983.0,0.25,0.00235957,0.00473337
sh603388,13.54,216640.0,0.0,0.00571081,0.0001359
sz300221,9.05,1491440.0,0.0,0.00844335,0.00277103
sz000970,11.4,14092167.0,0.0,0.03585468,0.00777174
sz002775,7.57,341407.0,0.0,0.00441173,0.00130644
sz300463,21.38,64140.0,0.15,0.00095285,0.00084551
sh603110,16.7,998660.0,0.21666666666666667,0.00526069,0.00516347
sz000089,9.76,5241149.0,0.0,0.0,0.05241149
sh603116,9.43,46207.0,0.0,0.00118754,3.804e-05
sh603500,14.39,506528.0,0.11666666666666667,0.00023152,0.00075244
sh600854,4.82,189426.0,0.0,0.01199048,0.00059921
sh600009,61.2,25786620.0,0.0,0.11957393,0.10186664
sz000936,10.45,6659785.0,0.1,0.0346176,0.01789868
sz300243,11.0,732600.0,0.55,0.00303207,0.01107563
sh600962,10.8,727920.0,0.0,0.00334394,0.0009342
sh600893,27.4,2321218.0,0.05,0.00274642,0.0192333
sh603556,16.31,316414.0,0.03333333333333333,0.00082193,0.00312708
sz300545,30.43,1314576.0,0.1,0.00420021,0.00340494
sz002037,9.92,1153696.0,0.0,0.02063181,0.00082475
sh603021,7.44,787896.0,0.0,0.00427274,0.00419082
sh600619,10.78,467852.0,0.0,0.00357569,0.03947929
sh600096,7.78,6550760.0,0.1,0.04546883,0.05878389
sz002537,13.2,990000.0,0.0,0.02572744,0.00719172
sh600059,8.55,1328670.0,0.0,0.0136728,0.00220746
sz000957,8.28,5580256.0,0.0,0.00743776,0.00559431
sh600217,6.26,157126.0,0.0,0.0,0.00157126
sh600023,5.05,2848200.0,0.85,0.01523075,0.02946873
sz300543,20.3,40600.0,0.05,0.00429071,0.0002884
sh600222,6.15,1170345.0,0.25,0.00259867,0.01486429
sz300627,25.0,4727500.0,0.0,0.00244434,0.00244434
sh603933,21.33,134379.0,0.0,0.00464839,0.00291131
sh601222,6.07,472853.0,0.55,0.00289379,0.0214763
sh603028,9.34,141034.0,7.866666666666666,0.01278866,0.2388809
sh600083,18.79,197295.0,0.48333333333333334,0.01069215,0.02465245
sz300392,8.78,453926.0,0.1,0.0,0.00633825
sz002732,19.44,83592.0,1.3333333333333333,0.0012288,0.00248031
sh601330,14.36,1938600.0,0.05,0.01042594,0.01947844
sz002905,19.99,991504.0,0.0,0.03674702,0.0035703
sz002750,17.18,5267388.0,54.266666666666666,0.17792725,0.86605652
sz300641,6.75,1888920.0,0.13333333333333333,0.00729596,0.03647513
sz300393,21.36,536136.0,0.0,0.00480427,0.00480427
sh603977,0,0,0,0,0
sz300521,13.19,298094.0,0.0,0.0,0.00298094
sh601966,19.2,1311360.0,0.0,0.00224752,0.00224752
sh600668,15.6,1715095.0,0.1,0.00144711,0.0118356
sh601015,6.68,2870062.0,0.0,0.02215109,0.01271373
sz300012,9.4,3197880.0,0.0,0.0,0.0319788
sh601398,5.85,26155935.0,0.0,0.4584775,0.00473017
sz300583,41.2,671560.0,0.1,0.01880162,0.00169779
sz002056,7.55,1149110.0,0.45,0.00450271,0.04749077
sz002499,9.62,353054.0,0.0,0.00648091,0.00060202
sz000628,11.35,844440.0,0.0,0.0110294,0.00137631
sz300026,3.76,916688.0,0.0,0.00284426,0.00284426
sh600302,6.47,324794.0,0.0,0.00652901,0.00644921
sh603035,14.41,2265252.0,0.0,0.00147891,0.00351265
sz300578,25.4,297180.0,0.25,0.00674832,0.01042184
sz000895,26.1,10100700.0,0.08333333333333333,0.00695992,0.01157213
sz300481,17.79,1236405.0,0.0,0.01709228,0.0019835
sh600891,5.44,1150560.0,0.3,0.00550978,0.01188478
sz300626,9.54,122112.0,0.05,0.0186656,0.00559736
sz000703,18.0,13249800.0,0.0,0.10722737,0.01307366
sz300596,40.99,5763194.0,0.0,0.0,0.05763194
sh603399,11.98,271946.0,0.7333333333333333,0.0019489,0.0245726
sz000090,7.94,392236.0,0.3,0.00993532,0.00749752
sh600136,13.17,160674.0,0.05,0.00096026,0.00136076
sh603196,10.2,124440.0,0.7166666666666667,0.00319242,0.00272662
sz300676,73.36,28868040.0,0.0,0.00728832,0.00119141
sz002687,7.18,790518.0,19.45,0.12744885,0.82240932
